trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,21,0,,,,catch,0,,,,1.24,,
2,1,True,0,15,0,10,1,,,,catch,0,,,,0.78,,
3,2,True,1,15,1,11,1,,,,catch,0,,,,0.85,,
4,2,True,0,14,0,13,1,,,,catch,0,,,,0.33,,
5,3,True,0,14,1,18,0,,,,catch,0,,,,0.82,,
6,3,True,1,15,1,38,1,,,,catch,0,,,,0.79,,
7,4,False,0,15,0,19,1,0,23,1,force,1,0,0,49,0.81,1.17,2.17
8,4,False,1,15,0,14,0,0,25,0,choice,1,0,1,25,0.63,1.04,2.56
9,4,False,1,15,0,33,0,0,38,0,force,2,0,0,49,0.58,1.17,2.17
10,4,False,1,15,0,19,0,1,3,1,choice,2,1,0,41,0.63,1.35,3.23
11,5,False,0,15,0,17,1,1,14,0,choice,2,1,0,40,0.78,1.27,3.25
12,5,False,0,15,1,14,0,1,26,0,force,1,1,1,36,0.86,0.91,1.91
13,5,False,1,15,1,28,1,1,33,1,choice,1,0,1,35,1.58,0.81,2.38
14,5,False,1,15,0,18,0,0,25,0,force,2,0,0,37,0.91,0.72,1.72
15,6,False,1,15,1,19,1,0,15,0,choice,1,1,0,39,0.97,1.17,2.96
16,6,False,0,15,1,17,0,1,35,0,force,2,1,1,24,1.07,1.2,2.2
17,6,False,0,15,0,12,1,0,16,1,force,1,1,1,39,0.91,0.98,1.98
18,6,False,0,15,0,6,1,1,2,0,choice,2,0,1,47,0.48,1.26,2.74
