trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,23,1,,,,catch,0,,,,0.42,,
2,1,True,1,15,0,20,0,,,,catch,0,,,,0.71,,
3,2,True,0,15,0,27,1,,,,catch,0,,,,0.25,,
4,2,True,0,15,1,22,0,,,,catch,0,,,,0.42,,
5,3,True,1,15,0,20,0,,,,catch,0,,,,0.75,,
6,3,True,0,15,0,6,1,,,,catch,0,,,,0.94,,
7,4,False,1,15,1,18,1,0,11,0,choice,1,0,0,25,0.66,0.83,2.4
8,4,False,1,15,0,29,0,0,39,0,force,2,0,1,28,0.78,0.88,1.88
9,4,False,0,15,0,25,1,1,8,0,force,2,0,1,49,0.34,0.92,1.92
10,4,False,0,15,0,20,1,0,25,1,choice,1,1,1,41,0.34,0.63,2.13
11,5,False,1,15,0,32,0,1,13,1,force,1,1,0,23,0.33,1.27,2.27
12,5,False,1,15,0,29,0,0,36,0,choice,2,0,0,35,0.45,1.08,2.55
13,5,False,1,15,0,27,0,0,39,0,choice,1,0,0,35,0.19,2.0,3.43
14,5,False,0,15,1,27,0,0,13,1,force,2,0,1,37,1.02,0.8,1.8
15,6,False,1,15,0,32,0,1,21,1,force,1,1,0,34,0.28,0.96,1.97
16,6,False,1,15,0,30,0,1,19,1,choice,1,0,0,13,0.39,0.97,2.5
17,6,False,1,15,1,27,1,1,21,1,force,1,1,0,39,1.87,1.02,2.03
18,6,False,0,15,1,22,0,1,21,0,choice,2,0,0,47,0.98,1.35,3.43
