trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,6,0,,,,catch,0,0,,0,0,6.36,,
2,1,True,1,15,0,22,0,,,,catch,0,0,,0,0,12.78,,
3,1,True,1,15,1,3,1,,,,catch,0,0,,0,0,3.23,,
4,1,True,1,15,1,4,1,,,,catch,0,0,,0,0,3.7,,
5,1,True,1,14,0,2,0,,,,catch,0,0,,0,0,3.53,,
6,1,True,1,15,1,5,1,,,,catch,0,0,,0,0,3.56,,
7,1,True,0,15,0,6,1,,,,catch,0,0,,0,0,2.56,,
8,1,True,1,14,0,1,0,,,,catch,0,0,,0,0,3.43,,
9,1,True,1,15,1,5,1,,,,catch,0,0,,0,0,4.46,,
10,1,True,0,15,0,8,1,,,,catch,0,0,,0,0,3.07,,
11,1,True,0,14,1,11,0,,,,catch,0,0,,0,0,3.45,,
12,1,True,0,15,0,8,1,,,,catch,0,0,,0,0,2.88,,
13,1,True,0,15,1,9,0,,,,catch,0,0,,0,0,3.56,,
14,1,True,0,15,0,10,1,,,,catch,0,0,,0,0,2.58,,
15,1,True,1,15,1,9,1,,,,catch,0,0,,0,0,2.13,,
16,1,True,0,14,0,8,1,,,,catch,0,0,,0,0,2.49,,
17,1,True,1,14,0,9,0,,,,catch,0,0,,0,0,2.47,,
18,1,True,1,15,1,9,1,,,,catch,0,0,,0,0,2.77,,
19,1,True,0,15,0,12,1,,,,catch,0,0,,0,0,2.84,,
20,1,True,1,14,1,2,1,,,,catch,0,0,,0,0,2.4,,
21,1,True,1,14,0,1,0,,,,catch,0,0,,0,0,3.07,,
22,1,True,0,15,0,7,1,,,,catch,0,0,,0,0,3.06,,
23,1,True,1,15,1,7,1,,,,catch,0,0,,0,0,2.14,,
24,1,True,1,14,1,5,1,,,,catch,0,0,,0,0,2.95,,
25,1,True,1,14,1,5,1,,,,catch,0,0,,0,0,2.36,,
26,1,True,1,13,0,5,0,,,,catch,0,0,,0,0,3.0,,
27,1,True,0,14,0,4,1,,,,catch,0,0,,0,0,2.34,,
28,1,True,1,14,1,4,1,,,,catch,0,0,,0,0,2.95,,
29,1,True,0,13,0,4,1,,,,catch,0,0,,0,0,2.3,,
30,1,True,1,13,1,5,1,,,,catch,0,0,,0,0,2.61,,
31,2,True,0,12,1,4,0,,,,catch,0,0,,0,0,3.08,,
32,2,True,1,13,1,5,1,,,,catch,0,0,,0,0,1.95,,
33,2,True,0,13,0,7,1,,,,catch,0,0,,0,0,2.18,,
34,2,True,0,12,1,6,0,,,,catch,0,0,,0,0,3.81,,
35,2,True,1,13,0,9,0,,,,catch,0,0,,0,0,2.54,,
36,2,True,0,14,0,5,1,,,,catch,0,0,,0,0,2.21,,
37,2,True,1,14,1,8,1,,,,catch,0,0,,0,0,2.28,,
