trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,1,0,,,,catch,0,0,,0,0,14.64,,
2,1,True,0,15,1,2,0,,,,catch,0,0,,0,0,3.0,,
3,1,True,0,15,1,29,0,,,,catch,0,0,,0,0,3.55,,
4,1,True,1,15,1,31,1,,,,catch,0,0,,0,0,1.74,,
5,1,True,0,15,1,41,0,,,,catch,0,0,,0,0,1.76,,
6,1,True,1,15,1,44,1,,,,catch,0,0,,0,0,2.41,,
7,1,True,0,15,1,1,0,,,,catch,0,0,,0,0,2.63,,
8,1,True,1,15,0,42,0,,,,catch,0,0,,0,0,2.13,,
9,1,True,0,15,1,29,0,,,,catch,0,0,,0,0,2.15,,
10,1,True,0,15,1,1,0,,,,catch,0,0,,0,0,2.8,,
11,1,True,0,15,1,2,0,,,,catch,0,0,,0,0,1.72,,
12,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,1.35,,
13,1,True,1,15,0,8,0,,,,catch,0,0,,0,0,1.37,,
14,1,True,0,15,1,5,0,,,,catch,0,0,,0,0,1.06,,
15,1,True,1,15,0,9,0,,,,catch,0,0,,0,0,1.14,,
16,1,True,0,15,1,3,0,,,,catch,0,0,,0,0,1.93,,
17,1,True,0,15,1,5,0,,,,catch,0,0,,0,0,1.5,,
18,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,1.05,,
19,1,True,1,15,1,16,1,,,,catch,0,0,,0,0,1.52,,
20,1,True,0,14,1,16,0,,,,catch,0,0,,0,0,1.24,,
21,1,True,0,15,1,17,0,,,,catch,0,0,,0,0,1.18,,
22,1,True,1,15,1,14,1,,,,catch,0,0,,0,0,2.55,,
23,1,True,1,15,1,15,1,,,,catch,0,0,,0,0,1.8,,
24,1,True,0,14,0,15,1,,,,catch,0,0,,0,0,1.26,,
25,1,True,1,14,1,16,1,,,,catch,0,0,,0,0,1.19,,
26,1,True,0,13,1,24,0,,,,catch,0,0,,0,0,1.09,,
27,1,True,1,14,1,24,1,,,,catch,0,0,,0,0,0.99,,
28,1,True,0,14,0,22,1,,,,catch,0,0,,0,0,1.23,,
29,1,True,1,13,0,26,0,,,,catch,0,0,,0,0,1.4,,
30,1,True,1,14,1,29,1,,,,catch,0,0,,0,0,2.11,,
31,2,True,1,14,1,23,1,,,,catch,0,0,,0,0,1.37,,
32,2,True,0,13,1,27,0,,,,catch,0,0,,0,0,1.43,,
33,2,True,0,14,0,24,1,,,,catch,0,0,,0,0,1.15,,
34,2,True,1,14,1,29,1,,,,catch,0,0,,0,0,1.28,,
35,2,True,0,13,0,26,1,,,,catch,0,0,,0,0,1.38,,
36,2,True,0,13,0,36,1,,,,catch,0,0,,0,0,1.4,,
37,2,True,0,12,0,36,1,,,,catch,0,0,,0,0,1.22,,
38,2,True,1,12,1,42,1,,,,catch,0,0,,0,0,1.67,,
39,2,True,1,11,0,41,0,,,,catch,0,0,,0,0,1.41,,
40,2,True,0,12,1,35,0,,,,catch,0,0,,0,0,1.18,,
41,2,True,1,13,1,33,1,,,,catch,0,0,,0,0,1.27,,
42,2,True,1,13,1,36,1,,,,catch,0,0,,0,0,1.49,,
43,2,True,1,12,0,32,0,,,,catch,0,0,,0,0,1.44,,
44,2,True,1,13,1,35,1,,,,catch,0,0,,0,0,1.29,,
45,2,True,1,13,1,25,1,,,,catch,0,0,,0,0,1.69,,
46,2,True,1,12,1,35,1,,,,catch,0,0,,0,0,1.01,,
47,2,True,1,12,1,32,1,,,,catch,0,0,,0,0,0.87,,
48,2,True,1,11,1,34,1,,,,catch,0,0,,0,0,1.04,,
49,2,True,1,11,0,34,0,,,,catch,0,0,,0,0,1.38,,
50,2,True,0,12,1,28,0,,,,catch,0,0,,0,0,1.08,,
51,2,True,0,13,1,33,0,,,,catch,0,0,,0,0,0.96,,
52,2,True,1,14,1,33,1,,,,catch,0,0,,0,0,0.89,,
53,2,True,1,14,1,19,1,,,,catch,0,0,,0,0,0.85,,
54,2,True,1,13,1,24,1,,,,catch,0,0,,0,0,0.87,,
55,2,True,1,13,1,23,1,,,,catch,0,0,,0,0,0.81,,
56,2,True,1,12,1,23,1,,,,catch,0,0,,0,0,0.95,,
57,2,True,0,12,1,25,0,,,,catch,0,0,,0,0,0.9,,
58,2,True,0,13,1,33,0,,,,catch,0,0,,0,0,0.95,,
59,2,True,0,14,0,34,1,,,,catch,0,0,,0,0,1.08,,
60,2,True,1,14,1,35,1,,,,catch,0,0,,0,0,1.17,,
61,3,True,0,13,1,32,0,,,,catch,0,0,,0,0,0.96,,
62,3,True,1,14,1,28,1,,,,catch,0,0,,0,0,0.82,,
63,3,True,1,14,1,33,1,,,,catch,0,0,,0,0,0.83,,
64,3,True,0,13,0,32,1,,,,catch,0,0,,0,0,1.57,,
65,3,True,0,13,0,24,1,,,,catch,0,0,,0,0,2.61,,
