trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,17,0,,,,catch,0,,,,3.72,,
2,1,True,1,15,1,22,1,,,,catch,0,,,,0.33,,
3,2,True,0,15,1,23,0,,,,catch,0,,,,0.51,,
4,2,True,1,15,0,23,0,,,,catch,0,,,,0.62,,
5,3,True,1,15,1,30,1,,,,catch,0,,,,0.39,,
6,3,True,0,15,0,22,1,,,,catch,0,,,,1.93,,
7,4,False,0,14,0,35,1,0,43,1,forceblk4,1,0,1,6,0.87,1.38,2.39
8,4,False,0,14,0,16,1,0,31,1,forceblk4,1,0,1,49,0.35,1.17,2.17
9,5,False,1,14,1,21,1,1,39,1,choice,2,0,0,20,0.99,1.14,2.86
10,5,False,1,14,1,32,1,0,6,0,force,2,1,0,49,0.51,1.54,2.54
11,5,False,1,14,1,11,1,1,24,1,choice,1,1,1,40,0.17,1.65,3.36
12,5,False,1,14,0,28,0,0,41,0,force,2,1,0,36,1.7,1.55,2.55
13,6,False,1,14,0,16,0,1,16,1,force,2,1,0,28,1.64,1.25,2.26
14,6,False,1,14,1,15,1,1,23,1,choice,1,0,0,35,0.3,1.49,3.07
15,6,False,1,14,0,16,0,0,27,0,choice,1,1,1,39,1.28,1.54,3.12
16,6,False,0,14,0,8,1,1,13,0,force,2,1,0,24,1.06,0.89,1.89
17,7,False,1,14,0,12,0,0,28,0,choice,2,1,1,18,0.31,0.73,2.5
18,7,False,0,14,0,16,1,1,6,0,force,1,0,1,32,0.84,1.52,2.52
19,7,False,0,14,0,18,1,0,23,1,force,2,0,1,32,0.5,1.25,2.25
20,7,False,0,14,0,9,1,0,21,1,choice,1,0,0,39,0.18,1.02,2.91
21,8,False,0,14,0,36,1,0,40,1,choice,2,0,0,39,0.84,1.23,2.94
22,8,False,1,14,0,15,0,0,26,0,force,1,0,1,-9,0.22,0.78,1.78
23,8,False,0,14,0,15,1,0,29,1,force,1,0,1,46,0.13,0.87,1.88
24,8,False,1,14,0,16,0,1,18,1,choice,1,1,1,30,0.42,0.65,2.21
25,9,False,0,14,1,14,0,0,22,1,force,2,0,1,49,0.73,0.9,1.9
26,9,False,1,14,0,13,0,0,26,0,choice,2,1,1,24,0.29,0.77,2.6
27,9,False,1,14,0,5,0,1,10,1,choice,2,1,1,29,0.11,0.79,2.37
28,9,False,1,14,1,15,1,1,24,1,force,1,0,1,41,0.26,0.62,1.62
29,10,False,0,14,1,15,0,0,19,1,force,2,1,0,44,0.61,0.73,1.73
30,10,False,0,14,1,7,0,0,12,1,choice,1,0,0,29,0.02,1.4,2.95
31,10,False,0,14,0,18,1,0,27,1,force,1,0,1,41,0.6,0.87,1.87
32,10,False,1,14,0,10,0,0,13,0,choice,2,1,1,49,0.16,1.0,2.56
