trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,6,0,,,,catch,0,,0,0,15.35,,
2,1,True,0,15,0,3,1,,,,catch,0,,0,0,8.87,,
3,1,True,0,15,0,33,1,,,,catch,0,,0,0,6.64,,
4,1,True,1,14,0,33,0,,,,catch,0,,0,0,11.7,,
5,1,True,1,15,0,16,0,,,,catch,0,,0,0,6.01,,
6,1,True,0,15,0,16,1,,,,catch,0,,0,0,6.67,,
7,1,True,1,15,0,16,0,,,,catch,0,,0,0,6.66,,
8,1,True,1,15,1,8,1,,,,catch,0,,0,0,6.29,,
9,1,True,0,15,0,39,1,,,,catch,0,,0,0,4.1,,
10,1,True,0,14,0,39,1,,,,catch,0,,0,0,4.1,,
11,1,True,1,14,0,17,0,,,,catch,0,,0,0,3.65,,
12,1,True,0,15,0,28,1,,,,catch,0,,0,0,3.75,,
13,1,True,1,15,0,20,0,,,,catch,0,,0,0,4.38,,
14,1,True,1,15,1,19,1,,,,catch,0,,0,0,4.03,,
15,1,True,0,15,0,44,1,,,,catch,0,,0,0,4.03,,
16,1,True,0,14,0,33,1,,,,catch,0,,0,0,3.54,,
17,1,True,0,14,0,10,1,,,,catch,0,,0,0,4.88,,
18,1,True,0,13,0,20,1,,,,catch,0,,0,0,3.85,,
19,1,True,0,13,0,45,1,,,,catch,0,,0,0,4.84,,
20,1,True,0,12,0,18,1,,,,catch,0,,0,0,5.73,,
21,1,True,1,12,1,10,1,,,,catch,0,,0,0,4.54,,
22,1,True,0,11,0,24,1,,,,catch,0,,0,0,3.8,,
23,1,True,0,11,0,7,1,,,,catch,0,,0,0,5.06,,
24,1,True,1,10,0,18,0,,,,catch,0,,0,0,5.17,,
25,1,True,0,11,0,16,1,,,,catch,0,,0,0,4.74,,
26,1,True,0,11,0,9,1,,,,catch,0,,0,0,3.7,,
27,1,True,0,10,1,3,0,,,,catch,0,,0,0,9.78,,
28,1,True,0,11,0,6,1,,,,catch,0,,0,0,5.49,,
29,1,True,0,11,0,13,1,,,,catch,0,,0,0,4.74,,
30,1,True,1,10,0,4,0,,,,catch,0,,0,0,3.81,,
31,2,True,0,11,0,17,1,,,,catch,0,,0,0,4.16,,
32,2,True,0,11,0,11,1,,,,catch,0,,0,0,4.79,,
33,2,True,1,10,1,6,1,,,,catch,0,,0,0,4.78,,
34,2,True,1,10,1,24,1,,,,catch,0,,0,0,5.38,,
35,2,True,1,9,1,11,1,,,,catch,0,,0,0,4.33,,
36,2,True,0,9,0,11,1,,,,catch,0,,0,0,6.4,,
37,2,True,0,8,0,37,1,,,,catch,0,,0,0,3.68,,
38,2,True,0,8,1,5,0,,,,catch,0,,0,0,4.68,,
39,2,True,1,9,1,30,1,,,,catch,0,,0,0,3.07,,
40,2,True,1,9,0,10,0,,,,catch,0,,0,0,5.39,,
41,2,True,0,10,1,12,0,,,,catch,0,,0,0,4.61,,
42,2,True,0,11,0,3,1,,,,catch,0,,0,0,4.29,,
43,2,True,0,11,0,2,1,,,,catch,0,,0,0,5.45,,
