trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,23,1,,,,catch,0,,0,0,2.85,,
2,1,True,1,15,1,27,1,,,,catch,0,,0,0,2.41,,
3,1,True,1,15,1,25,1,,,,catch,0,,0,0,3.54,,
4,1,True,1,14,1,26,1,,,,catch,0,,0,0,2.92,,
5,1,True,0,14,1,34,0,,,,catch,0,,0,0,4.56,,
6,1,True,1,15,0,34,0,,,,catch,0,,0,0,3.95,,
7,1,True,0,15,0,26,1,,,,catch,0,,0,0,2.38,,
8,1,True,1,15,0,28,0,,,,catch,0,,0,0,1.86,,
9,1,True,1,15,0,32,0,,,,catch,0,,0,0,2.42,,
10,1,True,0,15,1,32,0,,,,catch,0,,0,0,2.2,,
11,1,True,0,15,1,33,0,,,,catch,0,,0,0,1.91,,
12,1,True,0,15,1,30,0,,,,catch,0,,0,0,1.71,,
13,1,True,1,15,1,25,1,,,,catch,0,,0,0,3.38,,
14,1,True,0,15,1,29,0,,,,catch,0,,0,0,3.48,,
15,1,True,0,15,0,34,1,,,,catch,0,,0,0,2.06,,
16,1,True,1,15,0,31,0,,,,catch,0,,0,0,2.78,,
17,1,True,1,15,0,27,0,,,,catch,0,,0,0,3.73,,
18,1,True,1,15,0,32,0,,,,catch,0,,0,0,2.05,,
19,1,True,0,15,0,32,1,,,,catch,0,,0,0,2.06,,
20,1,True,0,15,0,31,1,,,,catch,0,,0,0,2.06,,
21,1,True,0,14,0,32,1,,,,catch,0,,0,0,2.37,,
22,1,True,0,14,0,30,1,,,,catch,0,,0,0,2.91,,
23,1,True,0,13,0,33,1,,,,catch,0,,0,0,2.19,,
24,1,True,1,13,0,34,0,,,,catch,0,,0,0,2.33,,
25,1,True,1,14,1,34,1,,,,catch,0,,0,0,2.74,,
26,1,True,1,14,1,34,1,,,,catch,0,,0,0,2.1,,
27,1,True,0,13,0,30,1,,,,catch,0,,0,0,2.37,,
28,1,True,1,13,0,33,0,,,,catch,0,,0,0,2.23,,
29,1,True,1,14,0,31,0,,,,catch,0,,0,0,2.44,,
30,1,True,0,15,0,37,1,,,,catch,0,,0,0,2.14,,
31,2,True,0,15,0,34,1,,,,catch,0,,0,0,3.06,,
32,2,True,0,14,0,31,1,,,,catch,0,,0,0,2.28,,
33,2,True,1,14,0,31,0,,,,catch,0,,0,0,2.85,,
34,2,True,1,15,0,27,0,,,,catch,0,,0,0,2.4,,
35,2,True,0,15,0,28,1,,,,catch,0,,0,0,2.6,,
36,2,True,1,15,0,33,0,,,,catch,0,,0,0,2.16,,
37,2,True,0,15,1,40,0,,,,catch,0,,0,0,3.22,,
38,2,True,0,15,1,30,0,,,,catch,0,,0,0,4.11,,
39,2,True,0,15,1,27,0,,,,catch,0,,0,0,2.66,,
40,2,True,0,15,1,10,0,,,,catch,0,,0,0,2.6,,
41,2,True,0,15,0,30,1,,,,catch,0,,0,0,1.73,,
42,2,True,0,15,0,30,1,,,,catch,0,,0,0,3.01,,
43,2,True,1,14,0,30,0,,,,catch,0,,0,0,2.18,,
44,2,True,1,15,1,29,1,,,,catch,0,,0,0,2.0,,
45,2,True,1,15,1,31,1,,,,catch,0,,0,0,5.44,,
46,2,True,0,14,0,32,1,,,,catch,0,,0,0,2.49,,
47,2,True,0,14,1,29,0,,,,catch,0,,0,0,2.99,,
48,2,True,0,15,1,11,0,,,,catch,0,,0,0,2.33,,
49,2,True,1,15,0,8,0,,,,catch,0,,0,0,2.35,,
50,2,True,1,15,0,34,0,,,,catch,0,,0,0,1.89,,
51,2,True,0,15,0,34,1,,,,catch,0,,0,0,1.89,,
52,2,True,1,15,0,33,0,,,,catch,0,,0,0,2.62,,
53,2,True,0,15,0,32,1,,,,catch,0,,0,0,3.07,,
54,2,True,0,15,0,35,1,,,,catch,0,,0,0,2.56,,
55,2,True,0,14,0,25,1,,,,catch,0,,0,0,5.43,,
56,2,True,0,14,0,29,1,,,,catch,0,,0,0,2.68,,
57,2,True,0,13,0,31,1,,,,catch,0,,0,0,4.83,,
58,2,True,0,13,0,35,1,,,,catch,0,,0,0,2.78,,
59,2,True,1,12,0,31,0,,,,catch,0,,0,0,6.14,,
60,2,True,0,13,0,29,1,,,,catch,0,,0,0,4.14,,
61,3,True,0,13,0,30,1,,,,catch,0,,0,0,2.22,,
62,3,True,1,12,0,32,0,,,,catch,0,,0,0,2.66,,
63,3,True,1,13,0,38,0,,,,catch,0,,0,0,2.18,,
64,3,True,1,14,0,34,0,,,,catch,0,,0,0,2.28,,
65,3,True,1,15,0,31,0,,,,catch,0,,0,0,2.09,,
66,3,True,1,15,1,3,1,,,,catch,0,,0,0,2.35,,
67,3,True,1,15,0,32,0,,,,catch,0,,0,0,2.34,,
68,3,True,0,15,1,36,0,,,,catch,0,,0,0,2.81,,
69,3,True,1,15,0,36,0,,,,catch,0,,0,0,4.05,,
70,3,True,0,15,0,27,1,,,,catch,0,,0,0,1.99,,
71,3,True,0,15,0,33,1,,,,catch,0,,0,0,2.76,,
72,3,True,0,14,0,33,1,,,,catch,0,,0,0,4.48,,
73,3,True,0,14,0,32,1,,,,catch,0,,0,0,2.41,,
74,3,True,0,13,0,32,1,,,,catch,0,,0,0,2.49,,
75,3,True,1,13,0,35,0,,,,catch,0,,0,0,2.62,,
76,3,True,0,14,0,30,1,,,,catch,0,,0,0,3.61,,
77,3,True,1,14,1,18,1,,,,catch,0,,0,0,3.54,,
78,3,True,1,13,0,28,0,,,,catch,0,,0,0,4.49,,
79,3,True,0,14,0,30,1,,,,catch,0,,0,0,2.74,,
80,3,True,1,14,0,28,0,,,,catch,0,,0,0,2.14,,
81,3,True,1,15,0,28,0,,,,catch,0,,0,0,2.45,,
82,3,True,0,15,0,30,1,,,,catch,0,,0,0,2.63,,
83,3,True,1,15,1,32,1,,,,catch,0,,0,0,3.15,,
84,3,True,1,14,0,25,0,,,,catch,0,,0,0,2.34,,
85,3,True,0,15,0,37,1,,,,catch,0,,0,0,2.44,,
86,3,True,0,15,0,10,1,,,,catch,0,,0,0,2.85,,
87,3,True,1,14,0,25,0,,,,catch,0,,0,0,2.4,,
88,3,True,0,15,1,33,0,,,,catch,0,,0,0,2.46,,
89,3,True,1,15,1,25,1,,,,catch,0,,0,0,2.56,,
90,3,True,1,15,1,34,1,,,,catch,0,,0,0,2.18,,
91,4,False,0,14,0,33,1,0,33,1,choice,2,0,1,0,4.08,8.46,11.42
92,4,False,1,14,0,29,0,0,29,0,force,2,0,0,0,3.9,4.12,5.13
93,4,False,0,14,0,27,1,0,28,1,choice,2,0,1,0,3.36,3.52,7.55
94,4,False,1,14,0,23,0,0,22,0,choice,2,0,0,0,4.18,3.59,5.85
95,4,False,0,14,1,31,0,1,31,0,force,2,1,0,0,3.02,2.98,3.99
96,4,False,0,14,0,32,1,0,33,1,choice,2,0,1,0,3.36,2.84,5.26
97,4,False,1,14,0,34,0,0,29,0,force,2,0,0,0,3.73,3.36,4.37
98,4,False,0,14,0,30,1,1,27,0,choice,2,1,0,0,2.65,4.27,8.13
99,4,False,1,14,1,29,1,1,29,1,force,1,1,1,0,3.6,3.82,4.83
100,4,False,1,14,0,28,0,0,29,0,force,1,1,1,0,2.86,3.47,4.48
101,4,False,1,14,0,31,0,0,28,0,choice,1,0,0,0,3.68,2.05,5.03
102,4,False,1,14,0,18,0,1,23,1,choice,2,1,1,0,2.37,3.5,6.64
103,4,False,0,14,0,28,1,0,30,1,force,2,0,1,0,2.38,2.11,3.11
104,4,False,1,14,0,27,0,0,23,0,force,2,0,0,0,3.4,3.34,4.34
105,4,False,0,14,0,12,1,0,23,1,choice,1,0,1,0,3.04,2.08,4.55
106,4,False,0,14,0,29,1,0,23,1,choice,2,0,1,0,2.19,3.29,6.11
107,4,False,0,14,0,26,1,0,27,1,choice,2,0,1,0,2.17,3.19,5.47
108,4,False,0,14,1,21,0,1,21,0,force,1,0,1,0,2.18,2.59,3.6
109,4,False,1,14,0,34,0,0,30,0,force,1,0,0,0,2.0,2.01,3.02
110,4,False,1,14,0,29,0,0,29,0,choice,2,1,1,0,2.65,2.59,5.13
111,4,False,0,14,0,29,1,0,25,1,choice,1,1,0,0,2.72,1.77,4.36
112,4,False,1,14,0,28,0,0,27,0,choice,1,1,1,0,2.84,2.62,4.71
113,4,False,1,14,0,30,0,0,25,0,choice,2,0,0,0,2.4,2.67,5.8
114,4,False,0,14,0,27,1,0,27,1,choice,2,0,1,0,2.68,2.2,4.78
115,4,False,1,14,0,27,0,0,23,0,choice,1,0,0,0,2.28,1.96,4.29
116,4,False,0,14,1,31,0,1,27,0,force,1,0,1,0,4.07,2.42,3.42
117,4,False,0,14,1,26,0,1,25,0,choice,2,0,1,0,2.38,2.58,4.74
118,4,False,0,14,0,23,1,0,16,1,choice,2,1,0,0,3.07,2.48,4.92
119,4,False,0,14,0,27,1,0,24,1,choice,1,0,1,0,2.33,2.01,4.05
120,4,False,1,14,0,33,0,0,28,0,choice,1,0,0,0,2.35,1.89,4.06
121,4,False,1,14,0,31,0,0,25,0,choice,2,0,0,0,2.58,3.74,6.27
122,4,False,0,14,0,21,1,0,27,1,choice,1,1,0,0,2.02,2.23,4.31
123,4,False,0,14,0,30,1,0,27,1,force,2,1,0,0,2.59,2.61,3.61
124,4,False,1,14,0,29,0,0,18,0,choice,1,1,1,0,2.91,1.7,4.01
125,4,False,0,14,0,25,1,0,24,1,choice,2,0,1,0,3.11,2.21,4.4
126,4,False,1,14,0,18,0,1,26,1,choice,2,1,1,0,1.94,2.82,5.32
