trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,45,0,,,,catch,0,,0,0,16.73,,
2,1,True,0,15,0,44,1,,,,catch,0,,0,0,13.97,,
3,1,True,1,15,0,38,0,,,,catch,0,,0,0,10.45,,
4,1,True,0,15,0,43,1,,,,catch,0,,0,0,11.66,,
5,1,True,1,15,1,43,1,,,,catch,0,,0,0,10.63,,
6,1,True,1,14,1,45,1,,,,catch,0,,0,0,8.69,,
7,1,True,0,14,0,44,1,,,,catch,0,,0,0,7.74,,
8,1,True,1,13,1,45,1,,,,catch,0,,0,0,10.2,,
9,1,True,0,13,0,45,1,,,,catch,0,,0,0,7.19,,
10,1,True,1,12,1,45,1,,,,catch,0,,0,0,9.04,,
11,1,True,0,12,1,50,0,,,,catch,0,,0,0,6.1,,
12,1,True,1,13,1,47,1,,,,catch,0,,0,0,9.58,,
13,1,True,1,13,0,46,0,,,,catch,0,,0,0,9.33,,
14,1,True,0,14,0,48,1,,,,catch,0,,0,0,8.24,,
15,1,True,1,14,0,50,0,,,,catch,0,,0,0,8.29,,
16,1,True,1,15,0,50,0,,,,catch,0,,0,0,6.86,,
17,1,True,1,15,0,3,0,,,,catch,0,,0,0,4.97,,
18,1,True,0,15,1,43,0,,,,catch,0,,0,0,7.22,,
19,1,True,1,15,1,46,1,,,,catch,0,,0,0,6.15,,
20,1,True,1,15,1,47,1,,,,catch,0,,0,0,7.11,,
21,1,True,1,14,1,47,1,,,,catch,0,,0,0,6.29,,
22,1,True,0,14,1,47,0,,,,catch,0,,0,0,6.24,,
23,1,True,1,15,0,46,0,,,,catch,0,,0,0,6.95,,
24,1,True,1,15,0,46,0,,,,catch,0,,0,0,6.06,,
25,1,True,0,15,1,9,0,,,,catch,0,,0,0,4.41,,
26,1,True,0,15,0,5,1,,,,catch,0,,0,0,4.22,,
27,1,True,1,15,1,44,1,,,,catch,0,,0,0,5.67,,
28,1,True,0,14,1,14,0,,,,catch,0,,0,0,4.38,,
29,1,True,0,15,0,17,1,,,,catch,0,,0,0,6.37,,
30,1,True,0,15,0,22,1,,,,catch,0,,0,0,5.22,,
31,2,True,0,14,1,34,0,,,,catch,0,,0,0,4.0,,
32,2,True,0,15,1,43,0,,,,catch,0,,0,0,3.23,,
33,2,True,1,15,1,50,1,,,,catch,0,,0,0,3.14,,
34,2,True,0,15,0,50,1,,,,catch,0,,0,0,3.63,,
35,2,True,0,14,0,50,1,,,,catch,0,,0,0,3.42,,
36,2,True,0,14,0,50,1,,,,catch,0,,0,0,3.43,,
37,2,True,0,13,0,48,1,,,,catch,0,,0,0,4.11,,
38,2,True,0,13,0,48,1,,,,catch,0,,0,0,3.57,,
39,2,True,0,12,0,47,1,,,,catch,0,,0,0,3.79,,
40,2,True,1,12,0,50,0,,,,catch,0,,0,0,3.73,,
41,2,True,0,13,0,50,1,,,,catch,0,,0,0,5.31,,
42,2,True,0,13,0,50,1,,,,catch,0,,0,0,3.87,,
43,2,True,1,12,1,50,1,,,,catch,0,,0,0,2.95,,
44,2,True,1,12,1,50,1,,,,catch,0,,0,0,3.37,,
45,2,True,0,11,1,50,0,,,,catch,0,,0,0,2.71,,
46,2,True,0,12,0,48,1,,,,catch,0,,0,0,3.54,,
47,2,True,0,12,1,49,0,,,,catch,0,,0,0,3.24,,
48,2,True,1,13,1,50,1,,,,catch,0,,0,0,2.87,,
49,2,True,0,13,1,50,0,,,,catch,0,,0,0,2.94,,
50,2,True,0,14,0,46,1,,,,catch,0,,0,0,4.9,,
51,2,True,1,14,1,3,1,,,,catch,0,,0,0,7.93,,
52,2,True,1,13,0,10,0,,,,catch,0,,0,0,2.87,,
53,2,True,0,14,1,48,0,,,,catch,0,,0,0,3.37,,
54,2,True,0,15,1,50,0,,,,catch,0,,0,0,2.99,,
55,2,True,1,15,1,50,1,,,,catch,0,,0,0,2.97,,
56,2,True,1,15,0,32,0,,,,catch,0,,0,0,2.85,,
57,2,True,1,15,1,50,1,,,,catch,0,,0,0,3.12,,
