trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,2,0,,,,catch,0,,0,0,13.99,,
2,1,True,0,15,1,9,0,,,,catch,0,,0,0,5.27,,
3,1,True,0,15,0,16,1,,,,catch,0,,0,0,3.09,,
4,1,True,0,15,0,22,1,,,,catch,0,,0,0,3.1,,
5,1,True,0,14,1,22,0,,,,catch,0,,0,0,2.7,,
6,1,True,1,15,0,16,0,,,,catch,0,,0,0,2.66,,
7,1,True,0,15,1,3,0,,,,catch,0,,0,0,4.21,,
8,1,True,0,15,0,10,1,,,,catch,0,,0,0,2.39,,
9,1,True,0,15,0,26,1,,,,catch,0,,0,0,2.18,,
10,1,True,1,14,0,3,0,,,,catch,0,,0,0,2.59,,
11,1,True,1,15,1,29,1,,,,catch,0,,0,0,2.37,,
12,1,True,0,15,0,16,1,,,,catch,0,,0,0,1.93,,
13,1,True,1,14,0,25,0,,,,catch,0,,0,0,1.41,,
14,1,True,0,15,1,24,0,,,,catch,0,,0,0,1.74,,
15,1,True,0,15,0,17,1,,,,catch,0,,0,0,1.62,,
16,1,True,1,15,0,21,0,,,,catch,0,,0,0,2.19,,
17,1,True,1,15,1,21,1,,,,catch,0,,0,0,1.38,,
18,1,True,0,15,1,24,0,,,,catch,0,,0,0,1.93,,
19,1,True,0,15,0,21,1,,,,catch,0,,0,0,1.83,,
20,1,True,0,15,0,27,1,,,,catch,0,,0,0,2.43,,
21,1,True,0,14,1,12,0,,,,catch,0,,0,0,1.55,,
22,1,True,1,15,1,25,1,,,,catch,0,,0,0,1.91,,
23,1,True,0,15,0,23,1,,,,catch,0,,0,0,2.29,,
24,1,True,1,14,1,40,1,,,,catch,0,,0,0,1.44,,
25,1,True,0,14,0,33,1,,,,catch,0,,0,0,2.44,,
26,1,True,0,13,1,22,0,,,,catch,0,,0,0,1.35,,
27,1,True,0,14,1,31,0,,,,catch,0,,0,0,1.68,,
28,1,True,1,15,0,11,0,,,,catch,0,,0,0,3.24,,
29,1,True,1,15,1,22,1,,,,catch,0,,0,0,1.65,,
30,1,True,0,15,1,30,0,,,,catch,0,,0,0,1.72,,
31,2,True,1,15,1,27,1,,,,catch,0,,0,0,1.44,,
32,2,True,0,15,1,23,0,,,,catch,0,,0,0,1.36,,
33,2,True,0,15,1,12,0,,,,catch,0,,0,0,1.58,,
