trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,16,0,,,,catch,0,,0,0,1.95,,
2,1,True,1,15,1,6,1,,,,catch,0,,0,0,1.62,,
3,1,True,1,15,1,26,1,,,,catch,0,,0,0,2.36,,
4,1,True,1,14,1,9,1,,,,catch,0,,0,0,1.22,,
5,1,True,0,14,0,4,1,,,,catch,0,,0,0,1.94,,
6,1,True,1,13,1,8,1,,,,catch,0,,0,0,1.44,,
7,1,True,1,13,1,8,1,,,,catch,0,,0,0,1.22,,
8,1,True,0,12,0,28,1,,,,catch,0,,0,0,1.36,,
9,1,True,1,12,1,3,1,,,,catch,0,,0,0,1.5,,
10,1,True,0,11,0,14,1,,,,catch,0,,0,0,1.27,,
11,1,True,1,11,1,11,1,,,,catch,0,,0,0,1.48,,
12,1,True,1,10,1,6,1,,,,catch,0,,0,0,1.19,,
13,1,True,0,10,0,8,1,,,,catch,0,,0,0,1.91,,
14,1,True,0,9,0,20,1,,,,catch,0,,0,0,1.42,,
15,1,True,0,9,0,16,1,,,,catch,0,,0,0,1.37,,
16,1,True,0,8,0,3,1,,,,catch,0,,0,0,1.6,,
17,1,True,0,8,1,12,0,,,,catch,0,,0,0,1.32,,
18,1,True,0,9,0,11,1,,,,catch,0,,0,0,1.38,,
19,1,True,1,9,1,10,1,,,,catch,0,,0,0,1.63,,
20,1,True,0,8,0,8,1,,,,catch,0,,0,0,1.49,,
21,1,True,1,8,1,5,1,,,,catch,0,,0,0,1.44,,
22,1,True,0,7,1,9,0,,,,catch,0,,0,0,1.44,,
23,1,True,0,8,0,13,1,,,,catch,0,,0,0,1.26,,
24,1,True,0,8,1,13,0,,,,catch,0,,0,0,1.23,,
25,1,True,0,9,1,9,0,,,,catch,0,,0,0,1.22,,
26,1,True,1,10,0,18,0,,,,catch,0,,0,0,1.49,,
27,1,True,0,11,1,12,0,,,,catch,0,,0,0,1.24,,
28,1,True,1,12,1,9,1,,,,catch,0,,0,0,1.23,,
29,1,True,1,12,1,12,1,,,,catch,0,,0,0,1.18,,
30,1,True,0,11,0,30,1,,,,catch,0,,0,0,1.9,,
31,2,True,0,11,0,7,1,,,,catch,0,,0,0,1.53,,
32,2,True,0,10,0,35,1,,,,catch,0,,0,0,1.61,,
33,2,True,0,10,0,23,1,,,,catch,0,,0,0,1.51,,
34,2,True,1,9,1,21,1,,,,catch,0,,0,0,1.47,,
35,2,True,1,9,0,19,0,,,,catch,0,,0,0,1.36,,
36,2,True,0,10,0,16,1,,,,catch,0,,0,0,2.04,,
37,2,True,0,10,1,6,0,,,,catch,0,,0,0,2.36,,
38,2,True,0,11,1,10,0,,,,catch,0,,0,0,1.38,,
39,2,True,1,12,1,34,1,,,,catch,0,,0,0,1.98,,
40,2,True,0,12,0,13,1,,,,catch,0,,0,0,1.39,,
41,2,True,1,11,1,19,1,,,,catch,0,,0,0,1.32,,
42,2,True,1,11,1,10,1,,,,catch,0,,0,0,1.45,,
43,2,True,1,10,1,11,1,,,,catch,0,,0,0,1.78,,
44,2,True,1,10,1,21,1,,,,catch,0,,0,0,1.36,,
45,2,True,0,9,1,28,0,,,,catch,0,,0,0,1.28,,
46,2,True,1,10,1,12,1,,,,catch,0,,0,0,1.35,,
47,2,True,0,10,0,36,1,,,,catch,0,,0,0,1.47,,
48,2,True,1,9,1,22,1,,,,catch,0,,0,0,1.32,,
49,2,True,1,9,0,10,0,,,,catch,0,,0,0,2.42,,
50,2,True,1,10,0,10,0,,,,catch,0,,0,0,1.54,,
51,2,True,1,11,1,14,1,,,,catch,0,,0,0,1.55,,
52,2,True,0,11,1,6,0,,,,catch,0,,0,0,1.31,,
53,2,True,1,12,0,12,0,,,,catch,0,,0,0,1.36,,
54,2,True,0,13,1,20,0,,,,catch,0,,0,0,1.44,,
55,2,True,1,14,1,6,1,,,,catch,0,,0,0,1.55,,
56,2,True,1,14,1,8,1,,,,catch,0,,0,0,1.21,,
57,2,True,1,13,0,10,0,,,,catch,0,,0,0,1.65,,
58,2,True,1,14,1,32,1,,,,catch,0,,0,0,1.61,,
59,2,True,1,14,1,22,1,,,,catch,0,,0,0,1.48,,
60,2,True,0,13,0,20,1,,,,catch,0,,0,0,1.43,,
61,3,True,0,13,1,7,0,,,,catch,0,,0,0,1.23,,
