trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,12,1,,,,catch,0,0,,0,0,29.96,,
2,1,True,1,15,0,29,0,,,,catch,0,0,,0,0,5.03,,
3,1,True,0,15,0,19,1,,,,catch,0,0,,0,0,2.84,,
4,1,True,0,15,0,37,1,,,,catch,0,0,,0,0,3.52,,
5,1,True,0,14,1,29,0,,,,catch,0,0,,0,0,4.06,,
6,1,True,0,15,0,41,1,,,,catch,0,0,,0,0,2.83,,
7,1,True,0,15,1,23,0,,,,catch,0,0,,0,0,4.48,,
8,1,True,0,15,0,29,1,,,,catch,0,0,,0,0,2.41,,
9,1,True,0,15,1,21,0,,,,catch,0,0,,0,0,3.23,,
10,1,True,1,15,1,30,1,,,,catch,0,0,,0,0,4.01,,
11,1,True,0,15,0,10,1,,,,catch,0,0,,0,0,4.35,,
12,1,True,1,14,1,25,1,,,,catch,0,0,,0,0,3.02,,
13,1,True,1,14,1,32,1,,,,catch,0,0,,0,0,4.53,,
14,1,True,0,13,1,38,0,,,,catch,0,0,,0,0,3.59,,
15,1,True,0,14,1,38,0,,,,catch,0,0,,0,0,2.49,,
16,1,True,0,15,1,13,0,,,,catch,0,0,,0,0,2.37,,
17,1,True,0,15,0,37,1,,,,catch,0,0,,0,0,3.31,,
18,1,True,1,15,1,44,1,,,,catch,0,0,,0,0,2.9,,
19,1,True,1,14,1,37,1,,,,catch,0,0,,0,0,2.24,,
20,1,True,0,14,0,40,1,,,,catch,0,0,,0,0,2.35,,
21,1,True,1,13,1,42,1,,,,catch,0,0,,0,0,3.33,,
22,1,True,1,13,1,27,1,,,,catch,0,0,,0,0,3.52,,
23,1,True,0,12,1,24,0,,,,catch,0,0,,0,0,3.29,,
24,1,True,0,13,0,26,1,,,,catch,0,0,,0,0,2.7,,
25,1,True,1,13,1,25,1,,,,catch,0,0,,0,0,5.52,,
26,1,True,0,12,1,29,0,,,,catch,0,0,,0,0,2.32,,
27,1,True,1,13,0,14,0,,,,catch,0,0,,0,0,1.83,,
28,1,True,0,14,1,14,0,,,,catch,0,0,,0,0,1.99,,
29,1,True,0,15,0,32,1,,,,catch,0,0,,0,0,1.7,,
30,1,True,1,15,1,36,1,,,,catch,0,0,,0,0,2.57,,
31,2,True,1,14,1,27,1,,,,catch,0,0,,0,0,2.14,,
32,2,True,0,14,0,34,1,,,,catch,0,0,,0,0,1.79,,
33,2,True,1,13,1,46,1,,,,catch,0,0,,0,0,2.84,,
34,2,True,1,13,1,35,1,,,,catch,0,0,,0,0,2.14,,
35,2,True,1,12,1,31,1,,,,catch,0,0,,0,0,2.95,,
36,2,True,1,12,0,19,0,,,,catch,0,0,,0,0,4.76,,
37,2,True,0,13,1,37,0,,,,catch,0,0,,0,0,2.95,,
38,2,True,1,14,1,20,1,,,,catch,0,0,,0,0,3.33,,
39,2,True,1,14,0,16,0,,,,catch,0,0,,0,0,3.41,,
40,2,True,0,15,0,30,1,,,,catch,0,0,,0,0,1.92,,
41,2,True,0,15,0,31,1,,,,catch,0,0,,0,0,3.35,,
42,2,True,1,14,1,32,1,,,,catch,0,0,,0,0,3.28,,
43,2,True,0,14,0,18,1,,,,catch,0,0,,0,0,3.24,,
44,2,True,0,13,0,39,1,,,,catch,0,0,,0,0,3.12,,
45,2,True,1,13,1,33,1,,,,catch,0,0,,0,0,2.77,,
46,2,True,0,12,0,23,1,,,,catch,0,0,,0,0,3.12,,
47,2,True,1,12,1,30,1,,,,catch,0,0,,0,0,4.67,,
48,2,True,1,11,1,25,1,,,,catch,0,0,,0,0,2.1,,
49,2,True,0,11,0,25,1,,,,catch,0,0,,0,0,2.31,,
50,2,True,0,10,0,39,1,,,,catch,0,0,,0,0,2.15,,
51,2,True,0,10,0,36,1,,,,catch,0,0,,0,0,2.88,,
52,2,True,1,9,1,15,1,,,,catch,0,0,,0,0,3.94,,
53,2,True,1,9,0,16,0,,,,catch,0,0,,0,0,3.71,,
54,2,True,0,10,0,28,1,,,,catch,0,0,,0,0,2.1,,
55,2,True,0,10,0,38,1,,,,catch,0,0,,0,0,2.38,,
56,2,True,1,9,0,39,0,,,,catch,0,0,,0,0,2.14,,
57,2,True,1,10,0,25,0,,,,catch,0,0,,0,0,2.03,,
58,2,True,0,11,1,27,0,,,,catch,0,0,,0,0,2.17,,
59,2,True,1,12,0,14,0,,,,catch,0,0,,0,0,3.67,,
60,2,True,1,13,0,37,0,,,,catch,0,0,,0,0,2.52,,
61,3,False,0,14,0,31,1,0,30,1,forceblk4,1,0,0,1,0,3.07,13.3,14.31
62,3,False,0,14,0,33,1,0,34,1,forceblk4,2,0,0,1,0,2.48,5.0,6.0
63,3,False,0,14,0,24,1,0,22,1,forceblk4,1,0,0,1,0,4.23,3.64,4.65
64,3,False,0,14,1,20,0,1,18,0,forceblk4,2,0,0,1,0,2.9,2.53,3.54
65,3,False,0,14,0,30,1,0,31,1,forceblk4,1,0,1,0,0,3.71,3.05,4.05
66,3,False,1,14,1,43,1,1,43,1,forceblk4,1,0,1,1,0,3.85,3.81,4.82
67,3,False,0,14,0,21,1,0,20,1,forceblk4,1,0,0,1,0,3.6,3.0,4.0
68,3,False,0,14,0,16,1,0,16,1,forceblk4,2,0,0,1,0,2.44,3.22,4.23
69,3,False,1,14,1,16,1,1,16,1,forceblk4,1,0,1,1,0,4.2,2.51,3.52
70,3,False,0,14,0,24,1,0,24,1,forceblk4,2,0,0,1,0,3.45,6.12,7.12
71,3,False,1,14,1,34,1,1,28,1,forceblk4,2,0,1,1,0,3.34,4.78,5.79
72,3,False,1,14,1,32,1,1,25,1,forceblk4,1,0,0,0,0,2.53,6.04,7.05
73,3,False,1,14,1,23,1,1,23,1,forceblk4,1,0,1,1,0,4.23,2.58,3.59
74,3,False,1,14,1,41,1,1,41,1,forceblk4,2,0,1,1,0,2.48,2.84,3.84
75,3,False,1,14,1,34,1,1,32,1,forceblk4,2,0,1,1,0,3.02,3.91,4.92
76,3,False,0,14,0,38,1,0,38,1,forceblk4,1,0,0,1,0,3.77,2.17,3.17
77,3,False,0,14,0,32,1,0,28,1,forceblk4,1,0,1,0,0,6.52,3.61,4.62
78,3,False,0,14,0,38,1,0,41,1,forceblk4,2,0,0,1,0,2.42,2.74,3.75
79,3,False,1,14,1,42,1,1,42,1,forceblk4,1,0,1,1,0,2.25,2.11,3.12
80,3,False,1,14,1,38,1,1,37,1,forceblk4,2,0,1,1,0,2.52,2.4,3.4
81,3,False,1,14,0,21,0,0,15,0,forceblk4,2,0,0,0,0,3.9,3.95,4.96
82,3,False,1,14,1,21,1,1,21,1,forceblk4,1,0,1,1,0,5.03,2.08,3.09
83,3,False,0,14,0,32,1,0,38,1,forceblk4,2,0,0,1,0,2.32,2.56,3.56
84,3,False,1,14,1,31,1,1,31,1,forceblk4,1,0,1,1,0,5.49,2.21,3.21
85,3,False,0,14,0,39,1,0,40,1,forceblk4,1,0,0,1,0,2.88,2.15,3.15
86,3,False,1,14,0,18,0,0,15,0,forceblk4,2,0,1,1,0,3.85,2.28,3.28
87,3,False,0,14,0,32,1,0,33,1,forceblk4,2,0,0,1,0,3.16,2.82,3.82
88,3,False,0,14,1,25,0,1,25,0,forceblk4,1,0,1,0,0,4.23,3.74,4.74
89,3,False,0,14,0,21,1,0,21,1,forceblk4,2,0,0,1,0,3.48,2.49,3.5
