trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,23,0,,,,catch,0,0,,0,0,9.32,,
2,1,True,0,15,0,32,1,,,,catch,0,0,,0,0,3.0,,
3,1,True,0,15,0,35,1,,,,catch,0,0,,0,0,2.82,,
4,1,True,0,14,0,33,1,,,,catch,0,0,,0,0,2.5,,
5,1,True,1,14,0,33,0,,,,catch,0,0,,0,0,2.34,,
6,1,True,0,15,1,26,0,,,,catch,0,0,,0,0,4.05,,
7,1,True,0,15,0,28,1,,,,catch,0,0,,0,0,2.36,,
8,1,True,0,15,0,20,1,,,,catch,0,0,,0,0,4.44,,
9,1,True,0,14,0,23,1,,,,catch,0,0,,0,0,3.31,,
10,1,True,1,14,1,26,1,,,,catch,0,0,,0,0,2.21,,
11,1,True,0,13,0,27,1,,,,catch,0,0,,0,0,1.81,,
12,1,True,1,13,1,33,1,,,,catch,0,0,,0,0,1.71,,
13,1,True,1,12,1,21,1,,,,catch,0,0,,0,0,3.06,,
14,1,True,1,12,1,24,1,,,,catch,0,0,,0,0,2.69,,
15,1,True,1,11,1,27,1,,,,catch,0,0,,0,0,1.7,,
16,1,True,1,11,1,25,1,,,,catch,0,0,,0,0,1.68,,
17,1,True,1,10,0,29,0,,,,catch,0,0,,0,0,1.89,,
18,1,True,1,11,1,24,1,,,,catch,0,0,,0,0,2.28,,
19,1,True,0,11,0,27,1,,,,catch,0,0,,0,0,1.78,,
20,1,True,0,10,0,25,1,,,,catch,0,0,,0,0,1.74,,
21,1,True,1,10,1,27,1,,,,catch,0,0,,0,0,1.81,,
22,1,True,0,9,0,23,1,,,,catch,0,0,,0,0,1.58,,
23,1,True,1,9,0,23,0,,,,catch,0,0,,0,0,1.95,,
24,1,True,0,10,0,21,1,,,,catch,0,0,,0,0,2.31,,
25,1,True,1,10,0,18,0,,,,catch,0,0,,0,0,2.21,,
26,1,True,1,11,1,23,1,,,,catch,0,0,,0,0,1.64,,
27,1,True,0,11,1,21,0,,,,catch,0,0,,0,0,3.13,,
28,1,True,1,12,1,22,1,,,,catch,0,0,,0,0,1.98,,
29,1,True,1,12,1,19,1,,,,catch,0,0,,0,0,2.25,,
30,1,True,1,11,1,23,1,,,,catch,0,0,,0,0,2.06,,
31,2,True,0,11,0,25,1,,,,catch,0,0,,0,0,2.1,,
32,2,True,0,10,1,20,0,,,,catch,0,0,,0,0,2.99,,
33,2,True,0,11,0,28,1,,,,catch,0,0,,0,0,2.04,,
34,2,True,1,11,1,20,1,,,,catch,0,0,,0,0,3.74,,
35,2,True,0,10,0,36,1,,,,catch,0,0,,0,0,2.9,,
36,2,True,0,10,0,31,1,,,,catch,0,0,,0,0,2.08,,
37,2,True,1,9,1,30,1,,,,catch,0,0,,0,0,2.39,,
38,2,True,0,9,0,19,1,,,,catch,0,0,,0,0,2.01,,
39,2,True,1,8,0,37,0,,,,catch,0,0,,0,0,2.71,,
40,2,True,0,9,0,23,1,,,,catch,0,0,,0,0,2.64,,
41,2,True,0,9,0,34,1,,,,catch,0,0,,0,0,1.99,,
42,2,True,0,8,1,21,0,,,,catch,0,0,,0,0,2.09,,
43,2,True,0,9,0,21,1,,,,catch,0,0,,0,0,2.85,,
44,2,True,0,9,0,34,1,,,,catch,0,0,,0,0,2.71,,
45,2,True,0,8,0,41,1,,,,catch,0,0,,0,0,9.33,,
46,2,True,0,8,0,44,1,,,,catch,0,0,,0,0,3.32,,
47,2,True,0,7,0,46,1,,,,catch,0,0,,0,0,2.92,,
48,2,True,1,7,0,45,0,,,,catch,0,0,,0,0,2.73,,
49,2,True,1,8,1,13,1,,,,catch,0,0,,0,0,5.7,,
50,2,True,1,8,0,27,0,,,,catch,0,0,,0,0,2.73,,
51,2,True,1,9,0,31,0,,,,catch,0,0,,0,0,3.24,,
52,2,True,1,10,1,20,1,,,,catch,0,0,,0,0,3.4,,
53,2,True,0,10,0,19,1,,,,catch,0,0,,0,0,3.37,,
54,2,True,0,9,1,19,0,,,,catch,0,0,,0,0,6.06,,
55,2,True,0,10,0,23,1,,,,catch,0,0,,0,0,2.86,,
56,2,True,1,10,1,17,1,,,,catch,0,0,,0,0,4.4,,
57,2,True,1,9,1,9,1,,,,catch,0,0,,0,0,4.62,,
58,2,True,1,9,1,27,1,,,,catch,0,0,,0,0,2.78,,
59,2,True,0,8,0,29,1,,,,catch,0,0,,0,0,2.53,,
60,2,True,1,8,1,19,1,,,,catch,0,0,,0,0,3.03,,
61,3,False,1,7,0,29,0,0,29,0,forceblk4,2,0,1,1,0,4.33,9.28,10.31
62,3,False,1,7,0,28,0,0,27,0,forceblk4,1,0,0,0,0,3.45,5.57,6.59
63,3,False,1,7,1,32,1,1,32,1,forceblk4,1,0,1,1,0,3.36,3.61,4.63
64,3,False,1,7,1,33,1,1,22,1,forceblk4,2,0,0,0,0,3.66,13.35,14.37
65,3,False,0,7,1,25,0,1,28,0,forceblk4,2,0,1,0,0,3.25,3.39,4.41
66,3,False,1,7,1,24,1,1,24,1,forceblk4,1,0,1,1,0,3.12,2.84,3.86
67,3,False,1,7,0,20,0,0,21,0,forceblk4,1,0,0,0,0,4.01,3.68,4.7
68,3,False,1,7,0,21,0,0,21,0,forceblk4,2,0,1,1,0,3.64,3.38,4.4
69,3,False,1,7,0,15,0,0,14,0,forceblk4,1,0,1,1,0,3.58,4.37,5.39
70,3,False,0,7,0,15,1,0,15,1,forceblk4,2,0,0,1,0,3.06,3.75,4.77
71,3,False,1,7,0,13,0,1,16,1,forceblk4,1,0,1,1,0,6.27,4.27,5.29
72,3,False,0,7,0,14,1,0,15,1,forceblk4,2,0,0,1,0,3.83,2.92,3.94
73,3,False,1,7,0,39,0,0,18,0,forceblk4,1,0,1,1,0,4.69,6.44,7.45
74,3,False,1,7,1,24,1,1,31,1,forceblk4,2,0,1,1,0,2.82,2.77,3.78
75,3,False,0,7,0,15,1,1,18,0,forceblk4,1,0,1,0,0,3.32,3.88,4.9
76,3,False,0,7,0,22,1,0,22,1,forceblk4,2,0,0,1,0,2.81,2.48,3.5
77,3,False,0,7,0,15,1,0,15,1,forceblk4,1,0,1,0,0,4.27,2.88,3.9
78,3,False,0,7,0,29,1,0,33,1,forceblk4,2,0,1,0,0,3.23,2.74,3.75
79,3,False,1,7,1,26,1,1,17,1,forceblk4,1,0,0,0,0,3.64,2.97,3.99
80,3,False,0,7,0,37,1,0,40,1,forceblk4,1,0,0,1,0,5.11,5.31,6.33
81,3,False,0,7,0,41,1,0,37,1,forceblk4,2,0,1,0,0,3.56,4.67,5.69
82,3,False,1,7,0,29,0,0,19,0,forceblk4,1,0,1,1,0,4.68,4.87,5.89
83,3,False,0,7,1,17,0,1,17,0,forceblk4,2,0,1,0,0,5.99,3.5,4.52
84,3,False,0,7,0,40,1,0,39,1,forceblk4,2,0,1,0,0,7.23,3.91,4.92
85,3,False,0,7,1,26,0,1,26,0,forceblk4,2,0,0,1,0,3.53,3.69,4.71
86,3,False,1,7,1,33,1,1,36,1,forceblk4,1,0,1,1,0,2.87,3.18,4.2
87,3,False,0,7,0,30,1,0,30,1,forceblk4,2,0,1,0,0,4.0,7.54,8.56
88,3,False,1,7,1,21,1,0,11,0,forceblk4,1,0,0,0,0,3.14,3.22,4.24
89,3,False,1,7,1,24,1,1,18,1,forceblk4,1,0,0,0,0,3.42,4.33,5.35
90,3,False,0,7,1,36,0,1,36,0,forceblk4,1,0,0,1,0,2.7,2.57,3.6
91,3,False,1,7,0,35,0,0,34,0,forceblk4,2,0,1,1,0,4.25,2.62,3.64
92,3,False,1,7,0,25,0,0,22,0,forceblk4,2,0,1,1,0,4.99,2.6,3.62
93,3,False,0,7,0,22,1,0,21,1,forceblk4,2,0,1,0,0,3.93,3.22,4.23
94,3,False,1,7,1,15,1,0,12,0,forceblk4,1,0,0,0,0,12.51,8.61,9.63
95,3,False,0,7,1,18,0,1,17,0,forceblk4,2,0,0,1,0,3.72,3.74,4.76
96,3,False,0,7,0,15,1,0,15,1,forceblk4,1,0,0,1,0,2.99,3.3,4.32
97,3,False,0,7,1,14,0,1,14,0,forceblk4,2,0,0,1,0,81.89,2.72,3.74
98,3,False,0,7,0,15,1,0,26,1,forceblk4,1,0,0,1,0,4.49,4.1,5.12
99,3,False,0,7,0,19,1,0,19,1,forceblk4,2,0,0,1,0,3.2,3.39,4.41
100,3,False,1,7,1,40,1,1,43,1,forceblk4,1,0,1,1,0,3.87,3.64,4.66
101,3,False,0,7,1,34,0,1,34,0,forceblk4,2,0,0,1,0,2.96,3.56,4.57
102,3,False,1,7,1,28,1,1,38,1,forceblk4,1,0,1,1,0,2.89,3.18,4.2
103,3,False,0,7,1,16,0,0,14,1,forceblk4,1,0,0,1,0,3.64,3.64,4.66
104,3,False,0,7,1,11,0,1,11,0,forceblk4,2,0,0,1,0,4.76,3.71,4.72
105,3,False,1,7,1,17,1,1,26,1,forceblk4,1,0,1,1,0,2.84,3.7,4.72
106,3,False,0,7,1,14,0,1,17,0,forceblk4,2,0,1,0,0,4.83,3.98,5.0
107,3,False,1,7,1,17,1,1,26,1,forceblk4,1,0,1,1,0,2.67,3.17,4.19
108,3,False,0,7,0,20,1,0,20,1,forceblk4,2,0,0,1,0,2.89,2.84,3.85
109,3,False,1,7,1,37,1,1,45,1,forceblk4,1,0,1,1,0,3.55,3.49,4.51
110,3,False,1,7,1,20,1,1,35,1,forceblk4,1,0,1,1,0,4.13,3.76,4.78
111,3,False,1,7,1,23,1,1,26,1,forceblk4,2,0,1,1,0,2.67,4.59,5.6
112,3,False,0,7,1,41,0,1,42,0,forceblk4,2,0,0,1,0,2.86,3.2,4.22
