trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,5,0,,,,catch,0,,0,,6.56,,
2,1,True,0,15,1,15,0,,,,catch,0,,0,,3.23,,
3,1,True,1,15,0,24,0,,,,catch,0,,0,,3.01,,
4,1,True,0,15,0,31,1,,,,catch,0,,0,,2.22,,
5,1,True,1,15,0,29,0,,,,catch,0,,0,,1.86,,
6,1,True,0,15,0,14,1,,,,catch,0,,0,,1.87,,
7,1,True,0,15,0,36,1,,,,catch,0,,0,,1.97,,
8,1,True,0,14,0,31,1,,,,catch,0,,0,,2.05,,
9,1,True,0,14,0,37,1,,,,catch,0,,0,,1.84,,
10,1,True,1,13,0,23,0,,,,catch,0,,0,,2.17,,
11,1,True,0,14,0,33,1,,,,catch,0,,0,,1.48,,
12,1,True,1,14,1,19,1,,,,catch,0,,0,,1.84,,
13,1,True,0,13,0,35,1,,,,catch,0,,0,,1.6,,
14,1,True,1,13,1,14,1,,,,catch,0,,0,,1.65,,
15,1,True,1,12,0,35,0,,,,catch,0,,0,,1.63,,
16,1,True,0,13,0,16,1,,,,catch,0,,0,,1.27,,
17,1,True,1,13,0,16,0,,,,catch,0,,0,,1.55,,
18,1,True,1,14,1,14,1,,,,catch,0,,0,,2.94,,
19,1,True,0,14,0,29,1,,,,catch,0,,0,,1.44,,
20,1,True,0,13,0,41,1,,,,catch,0,,0,,1.52,,
21,1,True,1,13,0,6,0,,,,catch,0,,0,,1.97,,
22,1,True,1,14,0,28,0,,,,catch,0,,0,,1.73,,
23,1,True,0,15,0,43,1,,,,catch,0,,0,,1.33,,
24,1,True,0,15,0,19,1,,,,catch,0,,0,,1.42,,
25,1,True,0,14,0,33,1,,,,catch,0,,0,,1.44,,
26,1,True,0,14,0,43,1,,,,catch,0,,0,,1.62,,
27,1,True,0,13,0,48,1,,,,catch,0,,0,,1.63,,
28,1,True,0,13,0,20,1,,,,catch,0,,0,,1.62,,
29,1,True,1,12,0,36,0,,,,catch,0,,0,,1.27,,
