trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,30,0,,,,catch,0,,,,8.32,,
2,1,True,1,15,1,28,1,,,,catch,0,,,,4.46,,
3,1,True,1,15,0,27,0,,,,catch,0,,,,7.61,,
4,1,True,0,15,1,28,0,,,,catch,0,,,,2.91,,
5,1,True,0,15,0,21,1,,,,catch,0,,,,2.71,,
6,1,True,1,15,1,25,1,,,,catch,0,,,,1.17,,
7,1,True,0,14,0,23,1,,,,catch,0,,,,0.38,,
8,1,True,1,14,0,19,0,,,,catch,0,,,,0.73,,
9,1,True,1,15,0,24,0,,,,catch,0,,,,1.81,,
10,1,True,0,15,1,18,0,,,,catch,0,,,,0.54,,
11,1,True,1,15,0,22,0,,,,catch,0,,,,1.33,,
12,1,True,0,15,1,32,0,,,,catch,0,,,,1.01,,
13,1,True,0,15,0,23,1,,,,catch,0,,,,1.78,,
14,1,True,0,15,1,20,0,,,,catch,0,,,,1.94,,
15,1,True,0,15,0,26,1,,,,catch,0,,,,1.28,,
16,1,True,0,15,1,15,0,,,,catch,0,,,,1.63,,
17,1,True,1,15,0,19,0,,,,catch,0,,,,1.11,,
18,1,True,0,15,1,22,0,,,,catch,0,,,,0.98,,
19,1,True,1,15,1,25,1,,,,catch,0,,,,0.98,,
20,1,True,1,15,1,8,1,,,,catch,0,,,,1.2,,
21,1,True,1,14,1,18,1,,,,catch,0,,,,1.49,,
22,1,True,0,14,1,16,0,,,,catch,0,,,,1.32,,
23,1,True,1,15,1,13,1,,,,catch,0,,,,0.89,,
24,1,True,1,15,0,12,0,,,,catch,0,,,,1.23,,
25,1,True,0,15,0,24,1,,,,catch,0,,,,0.9,,
26,1,True,1,15,1,14,1,,,,catch,0,,,,1.03,,
27,1,True,0,14,1,27,0,,,,catch,0,,,,1.34,,
28,1,True,0,15,0,28,1,,,,catch,0,,,,1.08,,
29,1,True,0,15,0,26,1,,,,catch,0,,,,1.24,,
30,1,True,1,14,1,19,1,,,,catch,0,,,,1.17,,
31,2,True,0,14,1,22,0,,,,catch,0,,,,1.0,,
32,2,True,1,15,0,21,0,,,,catch,0,,,,1.09,,
33,2,True,1,15,0,22,0,,,,catch,0,,,,3.21,,
34,2,True,0,15,0,28,1,,,,catch,0,,,,1.05,,
35,2,True,0,15,0,25,1,,,,catch,0,,,,0.76,,
36,2,True,1,14,0,13,0,,,,catch,0,,,,0.68,,
37,2,True,1,15,0,35,0,,,,catch,0,,,,1.38,,
38,2,True,0,15,1,30,0,,,,catch,0,,,,0.84,,
39,2,True,1,15,1,29,1,,,,catch,0,,,,0.72,,
40,2,True,1,15,1,25,1,,,,catch,0,,,,0.75,,
41,2,True,1,14,0,28,0,,,,catch,0,,,,1.07,,
42,2,True,1,15,1,26,1,,,,catch,0,,,,0.59,,
43,2,True,0,15,0,22,1,,,,catch,0,,,,0.7,,
44,2,True,1,14,0,25,0,,,,catch,0,,,,1.06,,
45,2,True,0,15,1,24,0,,,,catch,0,,,,1.44,,
46,2,True,0,15,1,28,0,,,,catch,0,,,,1.12,,
47,2,True,0,15,0,31,1,,,,catch,0,,,,1.21,,
48,2,True,0,15,1,27,0,,,,catch,0,,,,1.26,,
49,2,True,0,15,1,28,0,,,,catch,0,,,,1.43,,
50,2,True,1,15,1,25,1,,,,catch,0,,,,0.84,,
51,2,True,0,15,1,30,0,,,,catch,0,,,,1.02,,
52,2,True,1,15,1,28,1,,,,catch,0,,,,1.08,,
53,2,True,0,15,1,30,0,,,,catch,0,,,,1.06,,
54,2,True,0,15,1,28,0,,,,catch,0,,,,1.57,,
55,2,True,0,15,0,26,1,,,,catch,0,,,,0.81,,
56,2,True,1,15,0,13,0,,,,catch,0,,,,1.63,,
57,2,True,1,15,1,27,1,,,,catch,0,,,,1.23,,
58,2,True,1,15,1,3,1,,,,catch,0,,,,4.39,,
59,2,True,1,14,0,21,0,,,,catch,0,,,,2.24,,
60,2,True,0,15,1,16,0,,,,catch,0,,,,0.37,,
61,3,True,0,15,0,16,1,,,,catch,0,,,,0.62,,
62,3,True,1,15,1,10,1,,,,catch,0,,,,0.58,,
63,3,True,0,14,0,14,1,,,,catch,0,,,,0.35,,
64,3,True,1,14,1,12,1,,,,catch,0,,,,0.49,,
65,3,True,0,13,0,15,1,,,,catch,0,,,,0.5,,
66,3,True,1,13,1,14,1,,,,catch,0,,,,0.57,,
67,3,True,0,12,0,18,1,,,,catch,0,,,,0.44,,
68,3,True,1,12,1,21,1,,,,catch,0,,,,0.91,,
69,3,True,1,11,0,16,0,,,,catch,0,,,,1.41,,
70,3,True,1,12,1,15,1,,,,catch,0,,,,0.77,,
71,3,True,0,12,0,21,1,,,,catch,0,,,,1.13,,
72,3,True,0,11,1,19,0,,,,catch,0,,,,1.03,,
73,3,True,1,12,0,19,0,,,,catch,0,,,,0.97,,
74,3,True,0,13,1,15,0,,,,catch,0,,,,1.01,,
75,3,True,0,14,0,16,1,,,,catch,0,,,,1.06,,
76,3,True,1,14,1,14,1,,,,catch,0,,,,0.9,,
77,3,True,0,13,0,13,1,,,,catch,0,,,,0.97,,
78,3,True,1,13,1,19,1,,,,catch,0,,,,0.81,,
79,3,True,1,12,0,14,0,,,,catch,0,,,,0.88,,
80,3,True,1,13,1,16,1,,,,catch,0,,,,1.05,,
81,3,True,0,13,0,15,1,,,,catch,0,,,,0.94,,
82,3,True,1,12,1,14,1,,,,catch,0,,,,0.78,,
83,3,True,1,12,0,14,0,,,,catch,0,,,,0.64,,
84,3,True,1,13,1,16,1,,,,catch,0,,,,0.58,,
85,3,True,1,13,0,18,0,,,,catch,0,,,,0.73,,
86,3,True,0,14,1,10,0,,,,catch,0,,,,0.55,,
87,3,True,0,15,0,14,1,,,,catch,0,,,,0.9,,
88,3,True,1,15,1,19,1,,,,catch,0,,,,1.01,,
89,3,True,0,14,0,16,1,,,,catch,0,,,,1.06,,
90,3,True,1,14,1,12,1,,,,catch,0,,,,2.44,,
91,4,False,1,13,1,21,1,1,17,1,choice,1,1,0,27,1.91,7.15,11.99
92,4,False,0,13,1,16,0,1,15,0,choice,2,1,0,27,3.08,2.66,4.51
93,4,False,0,13,1,14,0,1,15,0,choice,1,1,0,16,5.23,8.49,10.35
94,4,False,0,13,1,24,0,1,24,0,choice,1,1,0,17,8.31,1.18,2.95
95,4,False,0,13,1,24,0,0,10,1,force,1,0,0,,2.1,1.1,2.11
96,4,False,0,13,1,22,0,1,22,0,force,2,1,1,,1.76,6.37,7.37
97,4,False,0,13,0,11,1,1,18,0,choice,1,1,0,41,1.92,4.93,7.26
98,4,False,1,13,1,15,1,0,25,0,force,2,1,1,,0.8,1.36,2.37
99,4,False,0,13,1,19,0,1,23,0,force,1,1,1,,0.39,1.93,2.94
100,4,False,1,13,1,18,1,0,17,0,force,2,1,1,,0.67,1.15,2.16
101,4,False,1,13,1,14,1,1,16,1,choice,2,1,0,28,0.81,1.95,3.58
102,4,False,0,13,1,22,0,1,15,0,force,1,0,0,,0.44,3.98,4.98
103,4,False,0,13,0,19,1,1,13,0,choice,1,0,1,32,0.6,5.4,7.24
104,4,False,1,13,1,16,1,1,17,1,choice,2,1,0,23,0.33,6.38,7.93
