trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,37,1,,,,catch,0,0,,0,0,1.55,,
2,1,True,1,15,1,21,1,,,,catch,0,0,,0,0,0.85,,
3,1,True,0,15,0,14,1,,,,catch,0,0,,0,0,0.85,,
4,1,True,0,14,1,15,0,,,,catch,0,0,,0,0,0.85,,
5,1,True,1,15,1,50,1,,,,catch,0,0,,0,0,0.87,,
6,1,True,0,15,1,2,0,,,,catch,0,0,,0,0,0.85,,
7,1,True,1,15,1,42,1,,,,catch,0,0,,0,0,0.85,,
8,1,True,0,15,1,33,0,,,,catch,0,0,,0,0,0.86,,
9,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,0.87,,
10,1,True,1,15,1,14,1,,,,catch,0,0,,0,0,0.85,,
11,1,True,1,14,0,9,0,,,,catch,0,0,,0,0,0.87,,
12,1,True,1,15,1,33,1,,,,catch,0,0,,0,0,0.87,,
13,1,True,1,15,0,25,0,,,,catch,0,0,,0,0,0.87,,
14,1,True,0,15,0,20,1,,,,catch,0,0,,0,0,0.88,,
15,1,True,0,15,1,5,0,,,,catch,0,0,,0,0,0.87,,
16,1,True,1,15,0,14,0,,,,catch,0,0,,0,0,0.87,,
17,1,True,1,15,1,46,1,,,,catch,0,0,,0,0,0.87,,
18,1,True,0,15,0,25,1,,,,catch,0,0,,0,0,0.88,,
19,1,True,1,14,0,49,0,,,,catch,0,0,,0,0,0.88,,
20,1,True,1,15,1,6,1,,,,catch,0,0,,0,0,0.88,,
21,1,True,0,15,1,19,0,,,,catch,0,0,,0,0,0.9,,
22,1,True,0,15,0,42,1,,,,catch,0,0,,0,0,0.89,,
23,1,True,0,15,1,26,0,,,,catch,0,0,,0,0,0.89,,
24,1,True,1,15,0,6,0,,,,catch,0,0,,0,0,0.91,,
25,1,True,1,15,0,41,0,,,,catch,0,0,,0,0,0.89,,
26,1,True,0,15,1,49,0,,,,catch,0,0,,0,0,0.9,,
27,1,True,1,15,1,30,1,,,,catch,0,0,,0,0,0.91,,
28,1,True,0,15,0,12,1,,,,catch,0,0,,0,0,0.9,,
29,1,True,0,14,1,50,0,,,,catch,0,0,,0,0,0.9,,
30,1,True,0,15,0,26,1,,,,catch,0,0,,0,0,0.91,,
31,2,True,1,15,1,21,1,,,,catch,0,0,,0,0,1.61,,
32,2,True,1,14,1,15,1,,,,catch,0,0,,0,0,0.91,,
33,2,True,1,14,1,2,1,,,,catch,0,0,,0,0,0.91,,
34,2,True,0,13,1,33,0,,,,catch,0,0,,0,0,0.91,,
35,2,True,1,14,1,14,1,,,,catch,0,0,,0,0,0.92,,
36,2,True,0,14,1,33,0,,,,catch,0,0,,0,0,0.92,,
37,2,True,1,15,0,20,0,,,,catch,0,0,,0,0,0.92,,
38,2,True,0,15,0,14,1,,,,catch,0,0,,0,0,0.92,,
39,2,True,0,15,0,25,1,,,,catch,0,0,,0,0,0.92,,
40,2,True,0,14,1,6,0,,,,catch,0,0,,0,0,0.92,,
41,2,True,0,15,0,42,1,,,,catch,0,0,,0,0,0.93,,
42,2,True,0,15,0,6,1,,,,catch,0,0,,0,0,0.93,,
43,2,True,1,14,1,49,1,,,,catch,0,0,,0,0,0.93,,
44,2,True,0,14,0,12,1,,,,catch,0,0,,0,0,0.92,,
45,2,True,1,13,0,26,0,,,,catch,0,0,,0,0,0.94,,
46,2,True,1,14,1,30,1,,,,catch,0,0,,0,0,0.95,,
47,2,True,1,14,1,39,1,,,,catch,0,0,,0,0,0.94,,
48,2,True,1,13,1,35,1,,,,catch,0,0,,0,0,0.94,,
49,2,True,0,13,0,13,1,,,,catch,0,0,,0,0,0.96,,
50,2,True,1,12,0,8,0,,,,catch,0,0,,0,0,0.94,,
51,2,True,1,13,1,43,1,,,,catch,0,0,,0,0,0.94,,
52,2,True,0,13,1,1,0,,,,catch,0,0,,0,0,0.96,,
53,2,True,0,14,0,21,1,,,,catch,0,0,,0,0,0.95,,
54,2,True,1,14,1,28,1,,,,catch,0,0,,0,0,0.95,,
55,2,True,0,13,1,7,0,,,,catch,0,0,,0,0,0.97,,
56,2,True,0,14,1,19,0,,,,catch,0,0,,0,0,0.96,,
57,2,True,1,15,0,28,0,,,,catch,0,0,,0,0,0.96,,
58,2,True,0,15,0,26,1,,,,catch,0,0,,0,0,0.95,,
59,2,True,1,15,0,25,0,,,,catch,0,0,,0,0,0.96,,
60,2,True,0,15,1,31,0,,,,catch,0,0,,0,0,0.97,,
61,3,False,0,15,0,37,1,0,37,1,forceblk4,2,0,0,1,0,1.67,1.8,2.81
62,3,False,1,15,1,21,1,1,21,1,forceblk4,1,0,0,0,0,0.97,1.81,2.81
63,3,False,0,15,0,14,1,0,14,1,forceblk4,2,0,0,1,0,0.99,1.81,2.82
64,3,False,0,15,1,15,0,1,15,0,forceblk4,1,0,0,1,0,0.99,1.83,2.84
65,3,False,0,15,1,50,0,1,50,0,forceblk4,2,0,1,0,0,0.99,1.84,2.84
