trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,11,1,,,,catch,0,,,,1.39,,
2,1,True,0,15,0,15,1,,,,catch,0,,,,1.04,,
3,2,True,0,15,0,21,1,,,,catch,0,,,,0.59,,
4,2,True,1,14,0,18,0,,,,catch,0,,,,0.94,,
5,3,True,1,15,0,9,0,,,,catch,0,,,,0.67,,
6,3,True,1,15,1,5,1,,,,catch,0,,,,0.99,,
7,4,False,0,15,0,16,1,0,22,1,choice,1,0,1,25,0.88,0.89,2.52
8,4,False,1,15,1,10,1,0,16,0,choice,1,0,1,25,0.96,0.93,2.5
9,4,False,0,15,0,12,1,1,19,0,force,2,0,0,49,0.39,1.29,2.29
10,4,False,1,15,1,14,1,0,16,0,force,1,1,1,49,0.7,1.36,2.36
11,5,False,1,15,0,12,0,0,22,0,choice,2,1,0,40,0.95,0.89,2.68
12,5,False,1,15,0,19,0,1,13,1,force,1,1,1,36,0.19,0.85,1.86
13,5,False,0,15,1,12,0,0,12,1,choice,1,0,1,35,0.11,1.04,2.51
14,5,False,1,15,0,7,0,0,18,0,force,2,0,0,37,0.27,1.49,2.49
15,6,False,1,15,0,14,0,0,20,0,force,1,1,1,34,0.66,1.51,2.52
16,6,False,1,15,0,13,0,1,13,1,choice,2,0,1,13,0.5,1.42,3.03
17,6,False,1,15,0,12,0,0,32,0,choice,2,1,0,18,1.8,1.15,2.63
18,6,False,0,15,0,18,1,0,23,1,force,2,0,0,32,0.66,1.59,2.6
