trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,16,1,,,,catch,0,,0,,1.44,,
2,1,True,0,15,0,21,1,,,,catch,0,,0,,0.32,,
3,2,True,0,15,0,22,1,,,,catch,0,,0,,0.92,,
4,2,True,1,14,1,30,1,,,,catch,0,,0,,1.29,,
5,3,True,1,14,1,24,1,,,,catch,0,,0,,1.32,,
6,3,True,1,13,0,14,0,,,,catch,0,,0,,0.84,,
7,4,False,1,14,1,19,1,1,17,1,force,1,0,0,,0.95,1.31,2.31
8,4,False,1,14,0,10,0,0,20,0,choice,1,0,0,39,0.79,1.17,2.74
9,4,False,0,14,0,14,1,1,10,0,force,2,0,1,,0.48,0.83,1.83
10,4,False,0,14,1,12,0,0,9,1,choice,2,0,1,39,0.65,1.45,3.61
11,5,False,1,14,1,15,1,1,7,1,choice,2,0,0,39,0.9,1.21,2.72
12,5,False,1,14,0,9,0,0,17,0,choice,2,0,0,39,0.93,1.04,2.5
13,5,False,1,14,0,10,0,1,20,1,force,1,0,0,,0.23,0.9,1.9
14,5,False,0,14,1,16,0,1,23,0,force,2,0,1,,0.5,0.8,1.8
15,6,False,0,14,1,16,0,1,10,0,force,2,0,1,,0.95,1.57,2.57
16,6,False,1,14,0,12,0,0,17,0,choice,2,0,0,39,1.01,1.04,2.77
17,6,False,1,14,1,21,1,0,10,0,force,1,0,0,,1.0,0.88,1.89
18,6,False,1,14,0,10,0,0,20,0,choice,1,0,0,39,0.79,0.8,2.33
19,7,False,0,14,0,16,1,0,23,1,force,2,0,1,,0.4,1.5,2.5
20,7,False,0,14,0,25,1,0,14,1,choice,2,0,1,39,0.19,0.9,2.43
21,7,False,0,14,1,11,0,0,12,1,force,1,0,1,,0.32,1.16,2.16
22,7,False,1,14,0,12,0,0,33,0,choice,2,0,0,39,1.96,1.19,3.19
23,8,False,1,14,0,17,0,1,20,1,force,2,0,0,,0.19,1.01,2.01
24,8,False,0,14,0,15,1,0,24,1,choice,1,0,1,39,0.48,1.03,2.66
25,8,False,0,14,0,25,1,0,33,1,choice,2,0,1,39,0.27,0.8,2.59
26,8,False,0,14,0,17,1,1,6,0,force,1,0,1,,0.83,1.57,2.58
27,9,False,0,14,0,14,1,0,28,1,choice,2,0,1,39,0.81,1.61,3.3
28,9,False,0,14,0,11,1,1,15,0,force,2,0,1,,0.94,1.54,2.55
29,9,False,0,14,0,13,1,0,23,1,force,1,0,1,,0.37,0.8,1.81
30,9,False,0,14,0,21,1,0,26,1,choice,2,0,1,39,0.08,1.04,2.59
