trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,21,1,,,,catch,0,,0,0,0.92,,
2,1,True,1,15,1,23,1,,,,catch,0,,0,0,0.84,,
3,2,True,1,15,0,16,0,,,,catch,0,,0,0,0.72,,
4,2,True,0,15,0,21,1,,,,catch,0,,0,0,1.25,,
5,3,True,0,15,0,31,1,,,,catch,0,,0,0,0.94,,
6,3,True,0,14,0,25,1,,,,catch,0,,0,0,1.15,,
7,4,False,0,14,0,27,1,0,35,1,force,2,0,1,0,0.83,1.67,2.68
8,4,False,1,14,0,17,0,1,11,1,force,2,1,1,0,1.91,1.0,2.0
9,4,False,0,14,0,23,1,0,32,1,choice,2,0,1,0,0.71,1.33,3.22
10,4,False,1,14,0,22,0,0,27,0,choice,1,1,1,0,1.2,0.83,2.38
11,5,False,1,14,1,18,1,0,12,0,force,1,0,0,0,1.62,1.46,2.46
12,5,False,1,14,0,11,0,0,20,0,force,2,1,1,0,1.09,0.77,1.77
13,5,False,0,14,0,23,1,0,15,1,choice,2,1,0,0,0.83,1.1,3.96
14,5,False,1,14,0,17,0,0,27,0,choice,1,0,0,0,0.83,0.86,3.04
15,6,False,0,14,0,20,1,0,26,1,force,1,0,1,0,0.72,0.9,1.91
16,6,False,0,14,0,25,1,0,26,1,choice,2,0,1,0,1.71,1.4,3.1
17,6,False,0,14,0,24,1,0,31,1,force,2,0,1,0,1.58,1.01,2.02
18,6,False,0,14,0,28,1,0,17,1,choice,2,1,0,0,0.85,1.25,3.27
19,7,False,0,14,0,12,1,1,7,0,choice,1,1,0,0,1.66,1.77,4.72
20,7,False,0,14,0,20,1,0,25,1,choice,1,1,0,0,0.78,1.33,3.46
21,7,False,0,14,0,25,1,0,15,1,force,1,1,0,0,1.73,0.93,1.94
22,7,False,1,14,0,24,0,0,10,0,force,1,0,0,0,0.88,0.81,1.81
23,8,False,1,14,0,23,0,0,35,0,choice,1,1,1,0,0.69,1.24,2.7
24,8,False,0,14,0,23,1,0,35,1,force,1,0,1,0,0.77,1.42,2.42
25,8,False,1,14,0,24,0,1,3,1,choice,1,1,1,0,1.01,1.35,2.94
26,8,False,1,14,0,22,0,0,12,0,force,2,0,0,0,0.66,1.29,2.29
27,9,False,1,14,0,17,0,0,24,0,choice,2,1,1,0,0.71,1.05,3.48
28,9,False,0,14,0,15,1,0,33,1,choice,1,0,1,0,0.83,0.67,3.37
29,9,False,1,14,1,20,1,0,13,0,force,1,0,0,0,1.36,1.36,2.36
30,9,False,0,14,0,21,1,0,28,1,force,2,0,1,0,1.07,1.27,2.28
