trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,24,0,,,,catch,0,,,,2.27,,
2,1,True,1,15,1,25,1,,,,catch,0,,,,0.74,,
3,2,True,0,15,0,30,1,,,,catch,0,,,,0.42,,
4,2,True,0,14,0,9,1,,,,catch,0,,,,0.24,,
5,3,True,0,14,1,26,0,,,,catch,0,,,,1.07,,
6,3,True,1,15,1,16,1,,,,catch,0,,,,1.23,,
7,4,False,0,15,1,21,0,0,9,1,choice,1,0,0,25,1.06,1.59,3.15
8,4,False,0,15,0,16,1,0,26,1,force,1,0,1,28,0.71,0.93,1.94
9,4,False,1,15,1,19,1,0,13,0,force,2,0,1,49,1.29,1.12,2.13
10,4,False,0,15,0,18,1,0,12,1,choice,1,1,1,41,1.26,1.22,2.74
11,5,False,0,15,1,21,0,1,13,0,choice,1,1,1,40,0.88,0.86,2.47
12,5,False,1,15,1,18,1,1,25,1,force,1,1,0,36,0.79,1.16,2.17
13,5,False,0,15,1,22,0,1,4,0,choice,2,0,0,35,0.97,1.27,2.89
14,5,False,1,15,0,14,0,1,3,1,force,2,0,1,37,1.45,1.36,2.36
15,6,False,1,15,1,15,1,0,11,0,force,1,1,0,34,0.97,2.49,3.5
16,6,False,0,15,1,25,0,0,12,1,force,1,1,0,24,0.98,1.2,2.21
17,6,False,1,15,0,21,0,1,9,1,choice,1,1,1,18,1.22,1.03,2.63
18,6,False,1,15,1,19,1,1,27,1,choice,1,0,0,47,1.22,1.09,2.63
