trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,23,1,,,,catch,0,,,,0.73,,
2,1,True,1,15,1,18,1,,,,catch,0,,,,0.25,,
3,2,True,0,15,0,31,1,,,,catch,0,,,,0.53,,
4,2,True,0,14,0,40,1,,,,catch,0,,,,0.53,,
5,3,True,1,14,1,31,1,,,,catch,0,,,,0.55,,
6,3,True,0,13,0,23,1,,,,catch,0,,,,1.01,,
7,4,False,1,13,1,25,1,0,21,0,force,2,0,0,49,1.08,0.8,1.8
8,4,False,1,13,0,22,0,0,31,0,force,1,0,0,28,0.97,3.52,4.52
9,4,False,1,13,0,10,0,1,10,1,choice,2,0,1,20,0.7,1.26,2.8
10,4,False,0,13,0,10,1,1,13,0,choice,1,1,0,41,0.24,1.07,2.56
11,5,False,1,13,0,10,0,1,9,1,choice,2,1,0,40,0.69,0.93,2.44
12,5,False,1,13,1,13,1,0,9,0,force,2,1,1,36,0.8,0.99,1.99
13,5,False,0,13,0,7,1,1,12,0,force,1,1,1,28,0.71,0.92,1.92
14,5,False,0,13,0,20,1,0,27,1,choice,2,0,1,35,1.24,0.92,2.4
15,6,False,0,13,0,17,1,0,28,1,choice,2,1,0,39,0.49,0.74,2.22
16,6,False,0,13,0,5,1,1,22,0,force,2,1,1,24,0.7,1.4,2.41
17,6,False,1,13,0,15,0,0,20,0,force,1,1,1,39,0.81,0.99,1.99
18,6,False,1,13,0,11,0,1,10,1,choice,1,0,1,47,0.55,0.9,2.44
