trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,16,0,,,,catch,0,,,,0.76,,
2,1,True,1,15,1,32,1,,,,catch,0,,,,0.83,,
3,2,True,0,15,0,16,1,,,,catch,0,,,,0.5,,
4,2,True,0,14,0,31,1,,,,catch,0,,,,0.56,,
5,3,True,0,14,0,11,1,,,,catch,0,,,,0.9,,
6,3,True,1,13,1,18,1,,,,catch,0,,,,0.74,,
7,4,False,0,13,0,17,1,0,26,1,force,2,0,0,49,0.64,1.06,2.07
8,4,False,0,13,0,18,1,0,14,1,choice,1,0,1,25,1.04,0.89,2.49
9,4,False,1,13,1,15,1,1,19,1,choice,1,0,1,20,0.78,1.27,2.8
10,4,False,1,13,0,14,0,1,18,1,force,1,1,1,49,0.86,1.5,2.51
11,5,False,1,13,1,12,1,0,16,0,force,2,1,1,23,1.7,0.93,1.93
12,5,False,1,13,0,23,0,0,31,0,force,2,1,1,36,0.98,0.82,1.82
13,5,False,1,13,1,25,1,1,14,1,choice,2,0,1,35,1.56,1.25,2.94
14,5,False,1,13,0,14,0,0,32,0,choice,1,0,1,35,0.86,0.91,2.45
15,6,False,0,13,0,13,1,0,25,1,force,1,1,1,34,0.66,1.37,2.37
16,6,False,0,13,0,20,1,0,15,1,force,1,1,1,24,1.07,1.41,2.42
17,6,False,0,13,1,17,0,1,10,0,choice,2,1,0,18,0.96,1.93,3.51
18,6,False,0,13,0,7,1,0,22,1,choice,2,0,1,47,1.17,1.7,19.65
