trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,19,1,,,,catch,0,,,,0.4,,
2,1,True,1,15,0,20,0,,,,catch,0,,,,0.21,,
3,2,True,1,15,1,33,1,,,,catch,0,,,,0.91,,
4,2,True,0,15,0,22,1,,,,catch,0,,,,0.16,,
5,3,True,0,14,0,27,1,,,,catch,0,,,,0.43,,
6,3,True,1,14,1,26,1,,,,catch,0,,,,0.87,,
7,4,False,0,13,1,23,0,0,11,1,choice,2,0,1,25,0.32,0.99,2.53
8,4,False,0,13,0,11,1,0,21,1,force,2,0,0,28,0.65,1.62,2.62
9,4,False,0,13,0,26,1,0,9,1,choice,1,0,1,20,0.93,1.14,2.77
10,4,False,1,13,1,18,1,0,15,0,force,1,1,1,49,0.61,0.78,1.78
11,5,False,1,13,0,21,0,1,7,1,force,2,1,1,23,0.35,1.16,2.16
12,5,False,0,13,1,15,0,1,19,0,choice,1,0,1,35,1.23,1.0,2.59
13,5,False,0,13,1,13,0,0,16,1,choice,2,0,1,35,1.43,0.81,2.43
14,5,False,1,13,0,7,0,1,9,1,force,1,0,0,37,0.79,0.82,1.82
15,6,False,1,13,1,11,1,0,11,0,choice,1,1,0,39,0.24,0.7,2.18
16,6,False,0,13,0,14,1,1,10,0,choice,2,0,1,13,1.03,1.01,2.49
17,6,False,1,13,1,15,1,0,8,0,force,2,1,1,39,1.59,1.43,2.43
18,6,False,1,13,1,12,1,1,26,1,force,1,0,0,32,1.53,0.81,1.81
