trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,13,1,,,,catch,0,,,,0.82,,
2,1,True,0,15,0,31,1,,,,catch,0,,,,0.18,,
3,2,True,1,15,1,17,1,,,,catch,0,,,,0.95,,
4,2,True,0,14,0,17,1,,,,catch,0,,,,1.42,,
5,3,True,1,14,1,28,1,,,,catch,0,,,,2.09,,
6,3,True,1,13,0,18,0,,,,catch,0,,,,1.67,,
7,4,False,0,14,1,21,0,1,28,0,choice,1,0,0,25,0.44,2.37,3.98
8,4,False,0,14,1,32,0,0,13,1,force,1,0,0,28,1.16,1.2,2.21
9,4,False,1,14,0,17,0,0,26,0,choice,2,0,0,20,0.74,2.29,3.88
10,4,False,0,14,0,27,1,0,12,1,force,1,1,1,49,0.94,2.43,3.43
11,5,False,1,14,1,12,1,1,5,1,force,2,1,1,23,0.45,0.91,1.91
12,5,False,1,14,0,13,0,1,8,1,choice,1,0,0,35,0.79,1.6,3.1
13,5,False,0,14,1,18,0,0,9,1,choice,2,0,0,35,0.93,1.27,2.78
14,5,False,1,14,0,29,0,0,42,0,force,2,0,0,37,0.9,1.01,2.02
15,6,False,1,14,0,27,0,1,14,1,force,1,1,1,34,0.83,1.45,2.45
16,6,False,1,14,0,19,0,0,7,0,choice,1,0,0,13,0.82,1.93,3.47
17,6,False,1,14,0,28,0,0,36,0,force,1,1,1,39,0.95,1.26,2.26
18,6,False,0,14,0,32,1,1,15,0,choice,1,0,0,47,0.98,1.44,3.43
