trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,25,0,,,,catch,0,,,,0.42,,
2,1,True,1,15,0,19,0,,,,catch,0,,,,0.13,,
3,2,True,0,15,1,27,0,,,,catch,0,,,,0.25,,
4,2,True,1,15,0,11,0,,,,catch,0,,,,0.35,,
5,3,True,0,15,1,19,0,,,,catch,0,,,,1.02,,
6,3,True,0,15,1,31,0,,,,catch,0,,,,0.32,,
7,4,False,0,15,0,20,1,1,23,0,choice,1,0,1,25,0.13,1.36,2.96
8,4,False,0,15,1,18,0,1,28,0,force,1,0,0,28,1.04,0.63,1.63
9,4,False,0,15,1,20,0,1,10,0,choice,2,0,1,20,1.61,0.87,2.42
10,4,False,0,15,1,14,0,0,9,1,force,2,1,1,49,0.24,0.64,1.64
11,5,False,0,15,1,14,0,0,11,1,choice,2,1,0,40,0.58,0.73,2.61
12,5,False,1,15,1,9,1,0,21,0,force,1,1,1,36,0.17,0.77,1.78
13,5,False,0,15,1,8,0,1,14,0,choice,1,0,1,35,0.59,1.18,2.72
14,5,False,0,15,1,19,0,0,21,1,force,1,0,0,37,0.27,1.39,2.4
15,6,False,1,15,0,15,0,1,17,1,choice,1,1,0,39,0.69,1.08,2.63
16,6,False,1,15,1,17,1,1,23,1,force,2,1,1,24,0.83,1.2,2.21
17,6,False,1,15,1,27,1,1,16,1,force,1,1,1,39,0.64,0.9,1.9
18,6,False,1,15,1,14,1,0,12,0,choice,2,0,1,47,0.36,0.72,2.32
