trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,15,1,,,,catch,0,,,,1.14,,
2,1,True,0,15,1,15,0,,,,catch,0,,,,0.13,,
3,2,True,0,15,0,15,1,,,,catch,0,,,,0.6,,
4,2,True,1,15,1,10,1,,,,catch,0,,,,6.9,,
5,3,True,1,14,0,16,0,,,,catch,0,,,,0.29,,
6,3,True,0,15,0,18,1,,,,catch,0,,,,1.11,,
7,4,False,1,15,0,17,0,0,26,0,force,1,0,1,49,0.47,1.19,2.2
8,4,False,1,15,0,17,0,0,21,0,force,2,0,1,28,1.24,0.99,1.99
9,4,False,0,15,0,18,1,0,8,1,choice,1,0,0,20,0.25,1.01,2.55
10,4,False,1,15,0,8,0,1,11,1,choice,1,1,1,41,0.19,0.86,2.52
11,5,False,0,15,0,13,1,0,15,1,force,1,1,0,23,0.35,1.02,2.02
12,5,False,0,15,0,10,1,0,15,1,choice,1,0,0,35,1.14,0.81,3.7
13,5,False,0,15,0,9,1,1,30,0,choice,1,0,0,35,0.23,1.36,2.85
14,5,False,0,15,0,14,1,1,11,0,force,2,0,1,37,0.55,1.98,2.98
15,6,False,1,15,0,11,0,0,18,0,force,1,1,0,34,0.96,1.39,2.39
16,6,False,0,15,0,9,1,0,14,1,choice,2,0,0,13,0.83,1.75,3.78
17,6,False,1,15,0,11,0,1,14,1,force,2,1,0,39,0.75,1.24,2.25
18,6,False,0,15,1,14,0,0,10,1,choice,2,0,0,47,1.44,1.64,4.45
