trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,18,1,,,,catch,0,,,,0.55,,
2,1,True,0,15,0,22,1,,,,catch,0,,,,0.78,,
3,2,True,1,15,0,24,0,,,,catch,0,,,,0.75,,
4,2,True,1,15,0,31,0,,,,catch,0,,,,0.53,,
5,3,True,0,15,0,12,1,,,,catch,0,,,,0.49,,
6,3,True,0,15,0,26,1,,,,catch,0,,,,0.69,,
7,4,False,0,14,0,33,1,0,41,1,force,2,0,0,49,1.07,1.04,2.05
8,4,False,0,14,0,20,1,0,27,1,force,2,0,0,28,0.8,1.06,2.06
9,4,False,1,14,0,18,0,0,27,0,choice,1,0,1,20,0.96,1.01,2.59
10,4,False,0,14,0,21,1,0,29,1,choice,1,1,0,41,0.59,0.9,2.55
11,5,False,1,14,0,31,0,0,36,0,choice,2,1,0,40,0.68,1.17,3.12
12,5,False,0,14,0,12,1,0,22,1,force,1,1,1,36,0.58,0.93,1.93
13,5,False,1,14,0,15,0,0,4,0,force,2,1,1,28,0.71,1.56,2.56
14,5,False,1,14,0,14,0,0,20,0,choice,1,0,1,35,0.79,0.75,2.51
15,6,False,1,14,1,9,1,0,5,0,force,1,1,1,34,1.39,1.96,2.96
16,6,False,0,14,0,6,1,0,15,1,force,2,1,1,24,1.02,0.98,1.99
17,6,False,0,14,0,21,1,0,29,1,choice,1,1,0,18,0.99,1.38,3.29
18,6,False,0,14,0,18,1,0,27,1,choice,2,0,1,47,1.39,0.92,2.56
