trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,21,1,,,,catch,0,,0,0,1.15,,
2,1,True,1,15,1,19,1,,,,catch,0,,0,0,1.15,,
3,2,True,1,15,1,16,1,,,,catch,0,,0,0,0.8,,
4,2,True,0,14,0,10,1,,,,catch,0,,0,0,1.25,,
5,3,True,0,14,0,28,1,,,,catch,0,,0,0,0.86,,
6,3,True,0,13,0,20,1,,,,catch,0,,0,0,1.57,,
7,4,False,1,13,0,22,0,1,13,1,choice,1,0,0,0,0.78,10.28,16.48
8,4,False,1,13,0,23,0,1,14,1,force,2,0,0,0,1.54,5.19,6.19
9,4,False,1,13,1,23,1,1,32,1,force,1,1,1,0,0.96,1.75,2.75
10,4,False,1,13,0,17,0,0,28,0,choice,2,1,1,0,1.04,1.0,2.74
11,5,False,0,13,1,22,0,1,32,0,force,1,1,0,0,1.61,1.47,2.48
12,5,False,0,13,0,23,1,0,29,1,choice,2,1,0,0,1.35,1.22,2.95
13,5,False,1,13,1,11,1,0,12,0,force,2,1,1,0,0.86,0.89,1.89
14,5,False,1,13,1,10,1,0,14,0,choice,2,0,0,0,0.95,1.53,3.08
15,6,False,0,13,0,20,1,0,29,1,force,2,0,1,0,0.87,1.25,2.25
16,6,False,0,13,1,18,0,0,16,1,force,1,0,1,0,0.95,1.2,2.2
17,6,False,0,13,0,14,1,0,20,1,choice,1,0,1,0,1.7,2.02,4.74
18,6,False,1,13,0,16,0,0,25,0,choice,2,0,0,0,0.81,1.15,2.66
19,7,False,0,13,1,15,0,0,17,1,force,1,0,1,0,0.91,0.95,1.96
20,7,False,0,13,0,10,1,0,7,1,choice,1,1,0,0,0.93,0.9,2.54
21,7,False,1,13,0,16,0,0,26,0,choice,1,1,1,0,1.09,0.96,2.55
22,7,False,0,13,0,17,1,0,27,1,force,2,1,0,0,0.7,1.4,2.41
23,8,False,0,13,0,15,1,0,32,1,force,2,0,1,0,0.96,3.79,4.8
24,8,False,1,13,1,17,1,1,12,1,force,1,0,0,0,0.72,0.94,1.95
25,8,False,1,13,0,8,0,1,14,1,choice,1,1,1,0,0.78,1.68,3.31
26,8,False,0,13,0,10,1,1,19,0,choice,2,1,0,0,0.88,0.78,2.34
27,9,False,0,13,0,20,1,0,42,1,force,2,1,0,0,0.79,1.03,2.04
28,9,False,1,13,0,12,0,0,18,0,choice,2,1,1,0,1.2,1.02,3.1
29,9,False,1,13,0,10,0,0,18,0,choice,1,0,0,0,1.31,1.27,2.87
30,9,False,0,13,0,15,1,0,22,1,force,2,1,0,0,2.23,0.84,1.84
