trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,18,1,,,,catch,0,,0,0,1.06,,
2,1,True,0,15,0,20,1,,,,catch,0,,0,0,1.08,,
3,2,True,1,15,0,19,0,,,,catch,0,,0,0,1.1,,
4,2,True,1,15,0,31,0,,,,catch,0,,0,0,2.27,,
5,3,True,0,15,0,34,1,,,,catch,0,,0,0,0.75,,
6,3,True,0,15,0,38,1,,,,catch,0,,0,0,1.1,,
7,4,False,0,14,0,32,1,0,26,1,choice,1,1,0,0,1.22,3.19,5.2
8,4,False,0,14,0,23,1,0,22,1,force,2,1,0,0,1.23,1.28,2.28
9,4,False,0,14,1,15,0,1,21,0,force,1,1,0,0,1.12,1.02,2.03
10,4,False,1,14,1,17,1,1,36,1,choice,2,0,0,0,1.65,1.26,4.43
11,5,False,0,14,0,19,1,0,29,1,force,2,0,1,0,1.43,0.74,1.74
12,5,False,0,14,0,15,1,0,22,1,force,1,0,1,0,0.97,0.86,1.87
13,5,False,1,14,1,20,1,1,35,1,choice,1,1,1,0,1.14,0.93,2.67
14,5,False,0,14,0,21,1,0,31,1,choice,2,0,1,0,1.73,1.92,3.58
15,6,False,1,14,0,19,0,0,28,0,force,2,0,0,0,1.12,1.61,2.61
16,6,False,0,14,0,24,1,0,22,1,choice,2,1,0,0,1.7,0.84,3.47
17,6,False,1,14,1,9,1,0,11,0,force,1,0,0,0,1.26,1.21,2.21
18,6,False,0,14,0,20,1,0,27,1,choice,2,0,1,0,0.97,0.9,2.46
19,7,False,1,14,0,13,0,0,3,0,force,2,1,1,0,1.29,1.43,2.43
20,7,False,0,14,0,17,1,1,3,0,choice,2,1,0,0,1.9,1.59,3.47
21,7,False,0,14,0,20,1,0,26,1,choice,1,0,1,0,1.06,0.96,3.14
22,7,False,1,14,0,19,0,0,27,0,force,1,0,0,0,1.1,1.66,2.66
23,8,False,1,14,0,20,0,0,6,0,choice,1,1,1,0,3.05,1.56,4.82
24,8,False,1,14,0,18,0,0,23,0,force,1,0,0,0,1.75,2.98,3.98
25,8,False,1,14,0,13,0,1,7,1,force,2,1,1,0,0.92,2.2,3.21
26,8,False,1,14,0,15,0,1,12,1,choice,1,1,1,0,1.58,1.99,3.5
27,9,False,1,14,0,15,0,1,12,1,force,1,1,1,0,2.48,0.75,1.75
28,9,False,1,14,0,15,0,0,23,0,force,2,0,0,0,1.0,1.14,2.15
29,9,False,1,14,0,22,0,0,37,0,choice,2,1,1,0,0.86,1.43,4.16
30,9,False,0,14,0,15,1,0,25,1,choice,2,0,1,0,0.98,1.03,3.19
