trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,1,0,,,,catch,0,,0,0,32.17,,
2,1,True,0,15,0,1,1,,,,catch,0,,0,0,11.27,,
3,1,True,0,15,0,1,1,,,,catch,0,,0,0,46.66,,
4,1,True,1,14,1,1,1,,,,catch,0,,0,0,4.6,,
5,1,True,0,14,0,1,1,,,,catch,0,,0,0,5.59,,
6,1,True,0,13,1,1,0,,,,catch,0,,0,0,14.03,,
7,1,True,0,14,0,1,1,,,,catch,0,,0,0,5.74,,
8,1,True,0,14,0,1,1,,,,catch,0,,0,0,5.19,,
9,1,True,0,13,0,1,1,,,,catch,0,,0,0,4.96,,
10,1,True,1,13,0,2,0,,,,catch,0,,0,0,4.69,,
11,1,True,1,14,0,1,0,,,,catch,0,,0,0,4.65,,
12,1,True,1,15,1,1,1,,,,catch,0,,0,0,3.42,,
13,1,True,0,15,0,1,1,,,,catch,0,,0,0,4.12,,
14,1,True,0,14,1,1,0,,,,catch,0,,0,0,7.55,,
15,1,True,0,15,0,1,1,,,,catch,0,,0,0,10.43,,
16,1,True,1,15,0,1,0,,,,catch,0,,0,0,4.94,,
17,1,True,1,15,0,1,0,,,,catch,0,,0,0,24.06,,
18,1,True,1,15,1,2,1,,,,catch,0,,0,0,5.97,,
19,1,True,0,15,0,1,1,,,,catch,0,,0,0,5.24,,
20,1,True,0,14,1,2,0,,,,catch,0,,0,0,7.76,,
21,1,True,0,15,0,1,1,,,,catch,0,,0,0,5.11,,
22,1,True,0,15,0,1,1,,,,catch,0,,0,0,22.46,,
23,1,True,1,14,0,1,0,,,,catch,0,,0,0,6.85,,
24,1,True,1,15,0,1,0,,,,catch,0,,0,0,4.3,,
25,1,True,1,15,1,2,1,,,,catch,0,,0,0,5.97,,
26,1,True,1,15,1,2,1,,,,catch,0,,0,0,5.76,,
27,1,True,1,14,0,1,0,,,,catch,0,,0,0,5.76,,
28,1,True,1,15,1,2,1,,,,catch,0,,0,0,5.0,,
29,1,True,0,15,0,1,1,,,,catch,0,,0,0,4.2,,
30,1,True,0,14,0,1,1,,,,catch,0,,0,0,3.94,,
31,2,True,0,14,1,2,0,,,,catch,0,,0,0,9.21,,
32,2,True,1,15,0,1,0,,,,catch,0,,0,0,4.3,,
33,2,True,1,15,0,1,0,,,,catch,0,,0,0,3.46,,
34,2,True,1,15,1,2,1,,,,catch,0,,0,0,5.36,,
35,2,True,0,15,0,1,1,,,,catch,0,,0,0,4.27,,
36,2,True,0,14,0,1,1,,,,catch,0,,0,0,4.9,,
37,2,True,1,14,0,1,0,,,,catch,0,,0,0,8.92,,
38,2,True,0,15,0,4,1,,,,catch,0,,0,0,10.46,,
39,2,True,0,15,0,3,1,,,,catch,0,,0,0,3.98,,
40,2,True,0,14,0,4,1,,,,catch,0,,0,0,3.89,,
41,2,True,1,14,0,6,0,,,,catch,0,,0,0,4.05,,
42,2,True,0,15,0,5,1,,,,catch,0,,0,0,6.2,,
43,2,True,1,15,0,4,0,,,,catch,0,,0,0,3.68,,
44,2,True,0,15,1,2,0,,,,catch,0,,0,0,9.0,,
45,2,True,0,15,0,1,1,,,,catch,0,,0,0,8.27,,
46,2,True,1,15,0,1,0,,,,catch,0,,0,0,8.41,,
47,2,True,0,15,1,3,0,,,,catch,0,,0,0,4.82,,
48,2,True,0,15,0,1,1,,,,catch,0,,0,0,2.65,,
49,2,True,1,15,1,2,1,,,,catch,0,,0,0,3.76,,
50,2,True,1,14,1,2,1,,,,catch,0,,0,0,5.31,,
51,2,True,0,14,1,2,0,,,,catch,0,,0,0,3.87,,
52,2,True,1,15,1,2,1,,,,catch,0,,0,0,2.84,,
53,2,True,0,15,1,2,0,,,,catch,0,,0,0,6.81,,
54,2,True,0,15,0,3,1,,,,catch,0,,0,0,3.68,,
55,2,True,0,15,0,2,1,,,,catch,0,,0,0,3.74,,
56,2,True,0,14,1,2,0,,,,catch,0,,0,0,5.9,,
57,2,True,1,15,1,3,1,,,,catch,0,,0,0,5.43,,
58,2,True,1,15,0,1,0,,,,catch,0,,0,0,4.15,,
59,2,True,1,15,1,3,1,,,,catch,0,,0,0,3.78,,
60,2,True,1,15,0,1,0,,,,catch,0,,0,0,4.52,,
61,3,True,1,15,0,1,0,,,,catch,0,,0,0,3.94,,
62,3,True,0,15,0,2,1,,,,catch,0,,0,0,7.86,,
63,3,True,1,15,0,2,0,,,,catch,0,,0,0,6.05,,
64,3,True,0,15,0,2,1,,,,catch,0,,0,0,2.76,,
65,3,True,1,15,0,2,0,,,,catch,0,,0,0,5.3,,
66,3,True,0,15,1,2,0,,,,catch,0,,0,0,3.38,,
67,3,True,0,15,0,1,1,,,,catch,0,,0,0,4.72,,
68,3,True,1,15,1,2,1,,,,catch,0,,0,0,4.96,,
69,3,True,1,14,0,1,0,,,,catch,0,,0,0,3.68,,
70,3,True,1,15,1,2,1,,,,catch,0,,0,0,2.79,,
71,3,True,1,15,1,2,1,,,,catch,0,,0,0,4.9,,
72,3,True,0,14,0,2,1,,,,catch,0,,0,0,3.52,,
73,3,True,0,14,0,3,1,,,,catch,0,,0,0,2.97,,
