trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,5,1,,,,catch,0,,0,0,8.01,,
2,1,True,1,15,1,5,1,,,,catch,0,,0,0,4.15,,
3,1,True,0,15,0,5,1,,,,catch,0,,0,0,3.41,,
4,1,True,1,14,0,4,0,,,,catch,0,,0,0,3.86,,
5,1,True,1,15,1,7,1,,,,catch,0,,0,0,2.08,,
6,1,True,1,15,1,4,1,,,,catch,0,,0,0,2.41,,
7,1,True,1,14,1,7,1,,,,catch,0,,0,0,181.46,,
8,1,True,1,14,1,5,1,,,,catch,0,,0,0,2.55,,
9,1,True,1,13,0,7,0,,,,catch,0,,0,0,1.62,,
10,1,True,0,14,0,7,1,,,,catch,0,,0,0,1.5,,
11,1,True,0,14,1,9,0,,,,catch,0,,0,0,2.79,,
12,1,True,1,15,1,7,1,,,,catch,0,,0,0,1.85,,
13,1,True,1,15,1,5,1,,,,catch,0,,0,0,1.34,,
14,1,True,1,14,0,5,0,,,,catch,0,,0,0,1.55,,
15,1,True,0,15,1,6,0,,,,catch,0,,0,0,1.17,,
16,1,True,0,15,0,4,1,,,,catch,0,,0,0,1.49,,
17,1,True,0,15,1,3,0,,,,catch,0,,0,0,1.55,,
18,1,True,1,15,1,2,1,,,,catch,0,,0,0,1.93,,
19,1,True,0,15,0,3,1,,,,catch,0,,0,0,1.63,,
20,1,True,1,14,1,4,1,,,,catch,0,,0,0,1.5,,
21,1,True,0,14,0,4,1,,,,catch,0,,0,0,1.25,,
22,1,True,1,13,1,4,1,,,,catch,0,,0,0,1.43,,
23,1,True,1,13,1,5,1,,,,catch,0,,0,0,1.28,,
24,1,True,1,12,0,4,0,,,,catch,0,,0,0,23.71,,
25,1,True,1,13,1,5,1,,,,catch,0,,0,0,1.45,,
26,1,True,0,13,1,4,0,,,,catch,0,,0,0,1.73,,
27,1,True,1,14,1,4,1,,,,catch,0,,0,0,1.98,,
28,1,True,1,14,0,3,0,,,,catch,0,,0,0,4.08,,
29,1,True,1,15,1,2,1,,,,catch,0,,0,0,1.41,,
30,1,True,0,15,1,4,0,,,,catch,0,,0,0,1.77,,
31,2,True,1,15,1,3,1,,,,catch,0,,0,0,2.31,,
32,2,True,0,15,1,4,0,,,,catch,0,,0,0,1.55,,
33,2,True,1,15,1,4,1,,,,catch,0,,0,0,1.58,,
34,2,True,1,15,1,4,1,,,,catch,0,,0,0,1.33,,
35,2,True,0,14,1,3,0,,,,catch,0,,0,0,1.48,,
36,2,True,0,15,1,3,0,,,,catch,0,,0,0,2.54,,
37,2,True,0,15,0,4,1,,,,catch,0,,0,0,1.42,,
38,2,True,0,15,1,3,0,,,,catch,0,,0,0,2.18,,
39,2,True,0,15,0,3,1,,,,catch,0,,0,0,2.67,,
40,2,True,0,15,1,2,0,,,,catch,0,,0,0,1.64,,
41,2,True,1,15,1,4,1,,,,catch,0,,0,0,2.77,,
42,2,True,1,15,1,3,1,,,,catch,0,,0,0,1.46,,
43,2,True,0,14,1,3,0,,,,catch,0,,0,0,1.77,,
44,2,True,0,15,1,3,0,,,,catch,0,,0,0,1.5,,
45,2,True,0,15,0,2,1,,,,catch,0,,0,0,1.4,,
46,2,True,1,15,0,4,0,,,,catch,0,,0,0,1.63,,
47,2,True,1,15,1,4,1,,,,catch,0,,0,0,1.4,,
48,2,True,1,15,1,3,1,,,,catch,0,,0,0,1.83,,
49,2,True,1,14,1,3,1,,,,catch,0,,0,0,1.79,,
50,2,True,0,14,1,3,0,,,,catch,0,,0,0,2.43,,
51,2,True,1,15,0,2,0,,,,catch,0,,0,0,1.79,,
52,2,True,0,15,1,5,0,,,,catch,0,,0,0,3.84,,
53,2,True,1,15,1,5,1,,,,catch,0,,0,0,2.22,,
54,2,True,1,15,1,5,1,,,,catch,0,,0,0,1.33,,
55,2,True,1,14,0,2,0,,,,catch,0,,0,0,1.95,,
56,2,True,1,15,1,4,1,,,,catch,0,,0,0,2.84,,
57,2,True,0,15,0,3,1,,,,catch,0,,0,0,3.81,,
58,2,True,1,14,1,2,1,,,,catch,0,,0,0,1.43,,
59,2,True,1,14,0,3,0,,,,catch,0,,0,0,1.54,,
60,2,True,0,15,0,2,1,,,,catch,0,,0,0,2.55,,
61,3,True,1,15,1,3,1,,,,catch,0,,0,0,1.71,,
62,3,True,1,14,0,3,0,,,,catch,0,,0,0,1.82,,
63,3,True,0,15,1,4,0,,,,catch,0,,0,0,2.14,,
64,3,True,1,15,1,3,1,,,,catch,0,,0,0,1.74,,
65,3,True,0,15,1,3,0,,,,catch,0,,0,0,1.96,,
66,3,True,0,15,0,2,1,,,,catch,0,,0,0,1.85,,
67,3,True,1,15,1,4,1,,,,catch,0,,0,0,2.13,,
68,3,True,1,14,1,2,1,,,,catch,0,,0,0,1.61,,
69,3,True,0,14,0,3,1,,,,catch,0,,0,0,2.63,,
70,3,True,0,13,1,2,0,,,,catch,0,,0,0,5.27,,
71,3,True,0,14,0,3,1,,,,catch,0,,0,0,3.31,,
72,3,True,1,14,0,4,0,,,,catch,0,,0,0,1.61,,
73,3,True,0,15,1,4,0,,,,catch,0,,0,0,1.94,,
74,3,True,0,15,1,3,0,,,,catch,0,,0,0,1.62,,
75,3,True,0,15,0,2,1,,,,catch,0,,0,0,2.35,,
76,3,True,0,15,0,2,1,,,,catch,0,,0,0,3.85,,
77,3,True,1,14,1,3,1,,,,catch,0,,0,0,2.32,,
78,3,True,1,14,0,3,0,,,,catch,0,,0,0,2.22,,
79,3,True,0,15,0,2,1,,,,catch,0,,0,0,3.59,,
80,3,True,1,15,1,3,1,,,,catch,0,,0,0,1.37,,
81,3,True,1,14,1,3,1,,,,catch,0,,0,0,0.9,,
82,3,True,0,14,1,3,0,,,,catch,0,,0,0,1.08,,
83,3,True,1,15,1,3,1,,,,catch,0,,0,0,1.36,,
84,3,True,0,15,0,5,1,,,,catch,0,,0,0,1.19,,
85,3,True,0,14,0,4,1,,,,catch,0,,0,0,1.26,,
86,3,True,1,14,1,3,1,,,,catch,0,,0,0,2.12,,
87,3,True,0,13,0,3,1,,,,catch,0,,0,0,1.55,,
88,3,True,1,13,0,2,0,,,,catch,0,,0,0,0.81,,
89,3,True,0,14,0,1,1,,,,catch,0,,0,0,1.06,,
90,3,True,1,14,1,4,1,,,,catch,0,,0,0,1.06,,
91,4,False,0,13,1,5,0,0,22,1,choice,2,0,1,0,1.86,9.32,12.83
92,4,False,0,13,1,4,0,0,22,1,force,1,0,1,0,2.31,3.43,4.44
93,4,False,0,13,1,9,0,0,25,1,choice,2,1,0,0,2.46,11.73,20.68
94,4,False,1,13,1,6,1,0,17,0,choice,2,0,0,0,5.33,6.2,10.3
95,4,False,1,13,1,4,1,1,12,1,force,2,1,1,0,1.99,2.8,3.81
96,4,False,0,13,1,7,0,1,10,0,choice,1,1,0,0,1.59,2.0,4.23
97,4,False,0,13,1,5,0,1,12,0,choice,2,1,0,0,2.67,3.52,5.86
98,4,False,1,13,1,7,1,1,6,1,force,1,1,1,0,3.8,2.26,3.26
99,4,False,1,13,0,4,0,1,7,1,force,2,1,1,0,2.21,1.56,2.57
100,4,False,0,13,1,8,0,0,8,1,choice,2,0,1,0,1.62,1.71,4.5
101,4,False,1,13,0,10,0,0,9,0,force,1,0,0,0,4.29,3.58,4.58
102,4,False,0,13,1,11,0,0,12,1,force,2,0,1,0,1.62,2.39,3.4
103,4,False,0,13,1,4,0,0,6,1,force,1,0,1,0,1.75,1.63,2.63
104,4,False,0,13,1,4,0,0,8,1,force,2,0,1,0,1.99,3.24,4.24
105,4,False,1,13,0,6,0,0,7,0,force,1,0,0,0,1.45,2.15,3.15
106,4,False,0,13,1,5,0,0,8,1,choice,2,0,1,0,1.41,1.85,4.23
107,4,False,0,13,0,7,1,0,8,1,force,2,0,1,0,1.36,3.01,4.02
108,4,False,1,13,1,7,1,1,7,1,force,1,1,1,0,1.61,1.58,2.58
109,4,False,1,13,1,6,1,1,5,1,choice,2,1,1,0,1.51,1.19,3.11
110,4,False,1,13,0,8,0,0,8,0,choice,2,0,0,0,1.56,1.44,4.68
111,4,False,0,13,1,4,0,1,6,0,choice,1,1,0,0,6.04,2.02,3.86
112,4,False,0,13,0,5,1,1,5,0,choice,1,1,0,0,1.92,1.95,3.9
113,4,False,1,13,1,4,1,1,6,1,choice,2,1,1,0,1.58,1.68,3.63
114,4,False,1,13,0,6,0,1,7,1,force,2,1,1,0,2.05,1.38,2.39
115,4,False,1,13,1,6,1,1,8,1,choice,1,1,1,0,1.32,1.35,3.41
116,4,False,1,13,0,5,0,0,3,0,choice,1,0,0,0,1.57,2.39,4.7
117,4,False,0,13,1,6,0,1,8,0,force,1,1,0,0,3.42,1.53,2.53
118,4,False,1,13,1,6,1,1,8,1,choice,2,1,1,0,1.78,2.26,4.81
119,4,False,0,13,1,5,0,0,6,1,force,2,0,1,0,7.1,1.88,2.89
120,4,False,0,13,1,4,0,1,5,0,choice,2,1,0,0,1.4,1.58,3.87
121,4,False,0,13,1,6,0,0,10,1,choice,1,0,1,0,1.7,2.84,5.61
122,4,False,0,13,1,8,0,0,6,1,choice,1,0,1,0,1.81,1.83,3.64
123,4,False,1,13,1,6,1,0,4,0,choice,1,0,0,0,11.55,1.48,3.71
124,4,False,0,13,0,4,1,0,3,1,choice,1,0,1,0,2.35,2.23,4.1
125,4,False,0,13,0,12,1,1,9,0,choice,2,1,0,0,1.59,2.01,3.92
126,4,False,1,13,0,5,0,0,7,0,force,1,0,0,0,2.93,1.39,2.4
127,4,False,0,13,1,8,0,0,5,1,choice,1,0,1,0,2.34,1.05,3.01
128,4,False,1,13,0,5,0,0,5,0,choice,2,0,0,0,1.6,1.79,4.12
129,4,False,1,13,0,4,0,0,7,0,choice,2,0,0,0,2.11,2.31,5.26
130,4,False,0,13,0,5,1,1,3,0,choice,2,1,0,0,3.01,1.99,3.8
131,4,False,1,13,1,5,1,1,2,1,force,2,1,1,0,13.35,1.62,2.63
132,4,False,1,13,1,6,1,0,5,0,choice,2,0,0,0,1.37,1.9,3.62
133,4,False,1,13,0,7,0,1,7,1,force,1,1,1,0,1.94,1.37,2.37
134,4,False,0,13,1,6,0,1,5,0,choice,1,1,0,0,1.49,1.33,3.11
135,4,False,1,13,1,5,1,0,3,0,choice,1,0,0,0,1.74,1.32,4.51
136,4,False,0,13,1,2,0,0,5,1,choice,2,0,1,0,1.25,1.75,3.47
137,4,False,0,13,0,5,1,0,5,1,force,2,0,1,0,1.33,1.62,2.62
138,4,False,0,13,1,1,0,1,5,0,choice,1,1,0,0,2.0,2.09,4.16
139,4,False,1,13,1,4,1,1,5,1,force,1,1,1,0,1.69,1.68,2.69
140,4,False,1,13,0,5,0,1,5,1,choice,2,1,1,0,13.74,1.61,3.69
141,4,False,0,13,1,6,0,0,5,1,choice,1,0,1,0,1.16,32.8,35.81
142,4,False,1,13,0,5,0,0,5,0,choice,1,0,0,0,1.67,1.18,3.19
143,4,False,1,13,1,4,1,0,4,0,force,2,0,0,0,1.07,1.92,2.92
144,4,False,0,13,0,4,1,0,4,1,choice,2,0,1,0,2.5,2.76,5.5
145,4,False,0,13,1,5,0,1,5,0,choice,1,1,0,0,1.63,1.02,2.7
146,4,False,1,13,1,5,1,0,5,0,choice,1,0,0,0,1.12,1.86,4.18
147,4,False,0,13,1,5,0,1,5,0,choice,1,1,0,0,1.52,1.7,3.51
148,4,False,1,13,1,6,1,1,4,1,choice,2,1,1,0,2.98,1.24,3.07
149,4,False,1,13,1,7,1,0,6,0,choice,2,0,0,0,1.16,1.42,3.22
150,4,False,1,13,1,4,1,1,5,1,choice,1,1,1,0,1.23,1.21,2.97
151,5,False,0,13,1,4,0,1,5,0,choice,2,1,0,0,2.1,1.54,3.49
152,5,False,0,13,1,6,0,1,4,0,choice,2,1,0,0,1.71,1.43,3.15
153,5,False,1,13,1,8,1,0,4,0,choice,2,0,0,0,1.82,1.63,3.24
154,5,False,1,13,1,5,1,0,5,0,choice,1,0,0,0,1.22,1.14,3.0
155,5,False,0,13,1,6,0,0,4,1,choice,1,0,1,0,2.81,1.64,4.72
156,5,False,0,13,1,4,0,0,2,1,choice,2,0,1,0,1.55,1.24,3.34
157,5,False,1,13,0,5,0,1,4,1,choice,2,1,1,0,1.33,1.41,3.07
158,5,False,0,13,0,4,1,1,5,0,choice,1,1,0,0,1.28,1.28,3.09
159,5,False,1,13,1,5,1,0,3,0,force,1,0,0,0,1.37,1.28,2.29
160,5,False,0,13,0,5,1,0,6,1,choice,1,0,1,0,1.96,1.42,3.52
161,5,False,0,13,0,4,1,0,5,1,force,1,0,1,0,49.64,1.7,2.71
162,5,False,0,13,1,4,0,1,5,0,force,2,1,0,0,1.89,1.7,2.71
163,5,False,0,13,0,3,1,0,3,1,choice,1,0,1,0,1.77,1.24,3.44
164,5,False,0,13,1,5,0,1,6,0,choice,2,1,0,0,1.56,1.19,2.96
165,5,False,0,13,0,3,1,1,3,0,force,2,1,0,0,1.4,1.44,2.45
166,5,False,0,13,0,5,1,0,5,1,choice,1,0,1,0,19.32,1.89,4.3
167,5,False,0,13,1,4,0,0,4,1,choice,2,0,1,0,1.44,1.49,3.91
168,5,False,0,13,0,5,1,1,5,0,force,2,0,1,0,2.07,1.61,2.62
169,5,False,1,13,0,5,0,1,5,1,choice,2,1,1,0,1.54,2.09,3.88
170,5,False,0,13,1,5,0,0,3,1,choice,2,0,1,0,1.11,1.53,3.65
171,5,False,1,13,0,7,0,1,5,1,choice,2,1,1,0,1.4,1.24,3.78
172,5,False,0,13,0,4,1,1,3,0,choice,2,1,0,0,2.24,1.59,4.29
173,5,False,0,13,1,3,0,1,4,0,choice,1,1,0,0,4.98,3.15,7.98
174,5,False,1,13,0,3,0,0,4,0,force,1,0,0,0,2.63,1.69,2.7
175,5,False,0,13,1,3,0,0,2,1,force,2,0,1,0,3.41,7.8,8.81
176,5,False,0,13,0,6,1,1,6,0,choice,2,1,0,0,2.42,1.57,3.55
177,5,False,0,13,1,5,0,0,2,1,choice,2,0,1,0,1.48,1.84,4.74
178,5,False,1,13,0,2,0,1,3,1,force,1,1,1,0,3.19,1.52,2.53
179,5,False,0,13,0,3,1,0,3,1,choice,2,0,1,0,27.83,3.21,5.97
180,5,False,1,13,1,3,1,0,3,0,choice,1,0,0,0,64.76,2.24,4.83
181,5,False,0,13,0,3,1,0,4,1,force,2,0,1,0,2.23,1.9,2.91
182,5,False,1,13,1,4,1,0,3,0,choice,2,0,0,0,1.04,2.35,4.67
183,5,False,1,13,0,5,0,0,3,0,choice,1,0,0,0,1.31,1.73,4.88
184,5,False,0,13,0,7,1,0,5,1,choice,2,0,1,0,2.57,2.58,10.95
185,5,False,0,13,1,4,0,0,5,1,choice,1,0,1,0,2.28,1.4,3.7
186,5,False,0,13,0,4,1,1,4,0,force,1,1,0,0,1.13,2.64,3.64
187,5,False,1,13,1,5,1,0,4,0,choice,2,0,0,0,2.08,1.57,4.63
188,5,False,0,13,1,4,0,0,3,1,choice,2,0,1,0,1.37,1.48,4.17
189,5,False,1,13,0,4,0,0,3,0,force,2,0,0,0,1.35,2.41,3.42
190,5,False,1,13,0,4,0,1,5,1,force,1,1,1,0,1.93,1.55,2.55
191,5,False,0,13,1,4,0,0,2,1,choice,1,0,1,0,2.13,2.23,4.52
192,5,False,0,13,0,4,1,1,4,0,force,2,1,0,0,4.07,4.26,5.27
193,5,False,0,13,0,2,1,1,4,0,choice,2,1,0,0,2.19,1.89,4.25
194,5,False,0,13,0,6,1,0,5,1,force,1,0,1,0,55.07,1.53,2.53
195,5,False,1,13,1,7,1,0,6,0,force,2,0,0,0,2.47,1.26,2.26
