trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,1,1,,,,catch,0,,0,0,26.38,,
2,1,True,1,15,0,1,0,,,,catch,0,,0,0,11.49,,
3,1,True,1,15,1,1,1,,,,catch,0,,0,0,4.21,,
4,1,True,1,15,1,1,1,,,,catch,0,,0,0,4.78,,
5,1,True,1,14,0,7,0,,,,catch,0,,0,0,4.72,,
6,1,True,1,15,1,1,1,,,,catch,0,,0,0,5.22,,
7,1,True,0,15,1,2,0,,,,catch,0,,0,0,3.64,,
8,1,True,1,15,0,1,0,,,,catch,0,,0,0,1.8,,
9,1,True,1,15,1,2,1,,,,catch,0,,0,0,6.25,,
10,1,True,0,15,0,5,1,,,,catch,0,,0,0,3.35,,
11,1,True,1,14,1,6,1,,,,catch,0,,0,0,3.06,,
12,1,True,0,14,0,7,1,,,,catch,0,,0,0,3.54,,
13,1,True,1,13,1,2,1,,,,catch,0,,0,0,4.52,,
14,1,True,0,13,1,6,0,,,,catch,0,,0,0,4.52,,
15,1,True,0,14,1,4,0,,,,catch,0,,0,0,2.97,,
16,1,True,1,15,0,1,0,,,,catch,0,,0,0,2.16,,
17,1,True,1,15,1,1,1,,,,catch,0,,0,0,2.28,,
18,1,True,1,15,1,4,1,,,,catch,0,,0,0,3.8,,
19,1,True,0,14,1,5,0,,,,catch,0,,0,0,3.13,,
20,1,True,1,15,0,1,0,,,,catch,0,,0,0,4.09,,
21,1,True,0,15,1,1,0,,,,catch,0,,0,0,2.32,,
22,1,True,1,15,1,2,1,,,,catch,0,,0,0,3.3,,
23,1,True,1,15,1,2,1,,,,catch,0,,0,0,2.17,,
24,1,True,1,14,1,2,1,,,,catch,0,,0,0,4.31,,
25,1,True,0,14,1,2,0,,,,catch,0,,0,0,2.24,,
26,1,True,0,15,0,1,1,,,,catch,0,,0,0,2.27,,
27,1,True,1,15,1,1,1,,,,catch,0,,0,0,2.09,,
28,1,True,1,14,1,5,1,,,,catch,0,,0,0,3.35,,
29,1,True,0,14,1,4,0,,,,catch,0,,0,0,3.1,,
30,1,True,0,15,0,2,1,,,,catch,0,,0,0,3.45,,
31,2,True,0,15,1,4,0,,,,catch,0,,0,0,3.22,,
32,2,True,1,15,1,1,1,,,,catch,0,,0,0,3.19,,
33,2,True,0,15,1,4,0,,,,catch,0,,0,0,2.72,,
34,2,True,0,15,1,4,0,,,,catch,0,,0,0,2.53,,
35,2,True,0,15,1,4,0,,,,catch,0,,0,0,3.51,,
36,2,True,0,15,0,1,1,,,,catch,0,,0,0,2.16,,
37,2,True,0,15,0,2,1,,,,catch,0,,0,0,2.66,,
38,2,True,1,14,1,4,1,,,,catch,0,,0,0,2.8,,
39,2,True,0,14,1,6,0,,,,catch,0,,0,0,3.27,,
40,2,True,1,15,1,4,1,,,,catch,0,,0,0,2.04,,
41,2,True,1,15,1,10,1,,,,catch,0,,0,0,2.5,,
42,2,True,0,14,1,8,0,,,,catch,0,,0,0,2.15,,
43,2,True,1,15,1,4,1,,,,catch,0,,0,0,3.15,,
44,2,True,1,15,1,8,1,,,,catch,0,,0,0,3.17,,
45,2,True,1,14,1,14,1,,,,catch,0,,0,0,2.98,,
46,2,True,1,14,1,4,1,,,,catch,0,,0,0,5.48,,
47,2,True,1,13,0,2,0,,,,catch,0,,0,0,2.81,,
48,2,True,1,14,0,2,0,,,,catch,0,,0,0,2.22,,
49,2,True,1,15,1,4,1,,,,catch,0,,0,0,2.09,,
50,2,True,1,15,0,5,0,,,,catch,0,,0,0,2.78,,
51,2,True,1,15,1,4,1,,,,catch,0,,0,0,2.69,,
52,2,True,1,15,0,4,0,,,,catch,0,,0,0,2.35,,
53,2,True,0,15,1,1,0,,,,catch,0,,0,0,5.72,,
54,2,True,0,15,0,1,1,,,,catch,0,,0,0,2.4,,
55,2,True,0,15,1,2,0,,,,catch,0,,0,0,2.94,,
56,2,True,1,15,1,10,1,,,,catch,0,,0,0,2.66,,
57,2,True,1,15,1,2,1,,,,catch,0,,0,0,3.26,,
58,2,True,0,14,0,1,1,,,,catch,0,,0,0,5.72,,
59,2,True,1,14,1,10,1,,,,catch,0,,0,0,2.39,,
60,2,True,1,13,1,18,1,,,,catch,0,,0,0,2.86,,
61,3,True,0,13,0,1,1,,,,catch,0,,0,0,2.8,,
62,3,True,1,12,1,5,1,,,,catch,0,,0,0,2.42,,
63,3,True,1,12,1,11,1,,,,catch,0,,0,0,2.36,,
64,3,True,0,11,0,1,1,,,,catch,0,,0,0,3.67,,
65,3,True,0,11,1,2,0,,,,catch,0,,0,0,3.94,,
66,3,True,0,12,1,5,0,,,,catch,0,,0,0,2.11,,
67,3,True,1,13,1,4,1,,,,catch,0,,0,0,2.85,,
68,3,True,0,13,1,5,0,,,,catch,0,,0,0,2.54,,
69,3,True,1,14,1,8,1,,,,catch,0,,0,0,2.11,,
70,3,True,0,14,1,13,0,,,,catch,0,,0,0,2.39,,
71,3,True,0,15,0,1,1,,,,catch,0,,0,0,3.05,,
