trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,50,1,,,,catch,0,,0,0,21.17,,
2,1,True,1,15,1,29,1,,,,catch,0,,0,0,11.65,,
3,1,True,0,15,1,30,0,,,,catch,0,,0,0,6.16,,
4,1,True,1,15,0,20,0,,,,catch,0,,0,0,2.02,,
5,1,True,1,15,1,14,1,,,,catch,0,,0,0,12.45,,
6,1,True,0,15,1,24,0,,,,catch,0,,0,0,3.46,,
7,1,True,0,15,0,28,1,,,,catch,0,,0,0,1.47,,
8,1,True,1,15,0,1,0,,,,catch,0,,0,0,5.59,,
9,1,True,0,15,1,22,0,,,,catch,0,,0,0,1.44,,
10,1,True,0,15,0,24,1,,,,catch,0,,0,0,1.39,,
11,1,True,1,15,1,25,1,,,,catch,0,,0,0,2.11,,
12,1,True,0,14,1,26,0,,,,catch,0,,0,0,1.17,,
13,1,True,0,15,0,25,1,,,,catch,0,,0,0,1.51,,
14,1,True,0,15,0,22,1,,,,catch,0,,0,0,1.49,,
15,1,True,1,14,0,21,0,,,,catch,0,,0,0,1.74,,
16,1,True,0,15,1,28,0,,,,catch,0,,0,0,2.72,,
17,1,True,1,15,0,13,0,,,,catch,0,,0,0,1.13,,
18,1,True,1,15,1,20,1,,,,catch,0,,0,0,1.33,,
19,1,True,0,15,0,24,1,,,,catch,0,,0,0,1.64,,
20,1,True,1,14,0,23,0,,,,catch,0,,0,0,1.34,,
21,1,True,0,15,1,26,0,,,,catch,0,,0,0,1.83,,
22,1,True,1,15,1,23,1,,,,catch,0,,0,0,1.3,,
23,1,True,1,15,1,22,1,,,,catch,0,,0,0,1.13,,
24,1,True,1,14,1,21,1,,,,catch,0,,0,0,1.72,,
25,1,True,1,14,1,20,1,,,,catch,0,,0,0,1.18,,
26,1,True,1,13,0,16,0,,,,catch,0,,0,0,1.47,,
27,1,True,0,14,0,18,1,,,,catch,0,,0,0,1.48,,
28,1,True,1,14,1,20,1,,,,catch,0,,0,0,1.78,,
29,1,True,0,13,0,23,1,,,,catch,0,,0,0,1.98,,
30,1,True,1,13,1,17,1,,,,catch,0,,0,0,1.81,,
31,2,True,1,12,1,22,1,,,,catch,0,,0,0,2.51,,
