trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,37,0,,,,catch,0,,0,0,16.97,,
2,1,True,1,15,0,47,0,,,,catch,0,,0,0,10.71,,
3,1,True,1,15,1,4,1,,,,catch,0,,0,0,16.22,,
4,1,True,0,15,1,20,0,,,,catch,0,,0,0,9.17,,
5,1,True,0,15,0,9,1,,,,catch,0,,0,0,6.7,,
6,1,True,1,15,1,4,1,,,,catch,0,,0,0,25.59,,
7,1,True,0,14,1,31,0,,,,catch,0,,0,0,9.42,,
8,1,True,1,15,1,22,1,,,,catch,0,,0,0,4.09,,
9,1,True,0,15,0,19,1,,,,catch,0,,0,0,5.43,,
10,1,True,0,14,0,10,1,,,,catch,0,,0,0,3.83,,
11,1,True,0,14,0,12,1,,,,catch,0,,0,0,4.21,,
12,1,True,1,13,1,21,1,,,,catch,0,,0,0,3.02,,
13,1,True,1,13,1,16,1,,,,catch,0,,0,0,4.41,,
14,1,True,1,12,0,21,0,,,,catch,0,,0,0,4.51,,
15,1,True,0,13,0,25,1,,,,catch,0,,0,0,4.78,,
16,1,True,0,13,0,18,1,,,,catch,0,,0,0,3.32,,
17,1,True,0,12,1,15,0,,,,catch,0,,0,0,3.7,,
18,1,True,0,13,1,9,0,,,,catch,0,,0,0,4.7,,
19,1,True,1,14,1,14,1,,,,catch,0,,0,0,5.03,,
20,1,True,0,14,0,27,1,,,,catch,0,,0,0,3.74,,
21,1,True,0,13,0,33,1,,,,catch,0,,0,0,6.32,,
22,1,True,1,13,1,14,1,,,,catch,0,,0,0,4.15,,
23,1,True,1,12,1,12,1,,,,catch,0,,0,0,3.0,,
24,1,True,1,12,0,13,0,,,,catch,0,,0,0,3.25,,
25,1,True,0,13,0,16,1,,,,catch,0,,0,0,2.92,,
26,1,True,1,13,0,15,0,,,,catch,0,,0,0,3.69,,
27,1,True,0,14,0,45,1,,,,catch,0,,0,0,5.43,,
28,1,True,0,14,1,40,0,,,,catch,0,,0,0,5.22,,
29,1,True,0,15,1,37,0,,,,catch,0,,0,0,2.78,,
30,1,True,0,15,0,18,1,,,,catch,0,,0,0,4.52,,
31,2,True,0,15,1,11,0,,,,catch,0,,0,0,2.53,,
32,2,True,1,15,0,12,0,,,,catch,0,,0,0,3.06,,
33,2,True,1,15,1,27,1,,,,catch,0,,0,0,2.89,,
34,2,True,0,15,0,14,1,,,,catch,0,,0,0,3.13,,
35,2,True,1,14,1,23,1,,,,catch,0,,0,0,2.59,,
36,2,True,0,14,1,20,0,,,,catch,0,,0,0,2.84,,
37,2,True,0,15,0,26,1,,,,catch,0,,0,0,3.57,,
38,2,True,1,15,1,21,1,,,,catch,0,,0,0,2.78,,
39,2,True,1,14,1,22,1,,,,catch,0,,0,0,2.7,,
40,2,True,0,14,0,17,1,,,,catch,0,,0,0,2.68,,
41,2,True,1,13,1,37,1,,,,catch,0,,0,0,4.29,,
42,2,True,0,13,1,36,0,,,,catch,0,,0,0,2.42,,
43,2,True,1,14,1,35,1,,,,catch,0,,0,0,2.42,,
44,2,True,0,14,0,23,1,,,,catch,0,,0,0,2.85,,
45,2,True,1,13,0,35,0,,,,catch,0,,0,0,2.72,,
46,2,True,0,14,0,21,1,,,,catch,0,,0,0,2.64,,
47,2,True,1,14,1,19,1,,,,catch,0,,0,0,2.35,,
48,2,True,0,13,0,27,1,,,,catch,0,,0,0,4.34,,
49,2,True,0,13,1,21,0,,,,catch,0,,0,0,2.94,,
50,2,True,1,14,1,8,1,,,,catch,0,,0,0,2.77,,
51,2,True,0,14,0,16,1,,,,catch,0,,0,0,2.86,,
52,2,True,1,13,1,21,1,,,,catch,0,,0,0,2.55,,
53,2,True,1,13,1,28,1,,,,catch,0,,0,0,2.77,,
54,2,True,1,12,0,7,0,,,,catch,0,,0,0,4.39,,
55,2,True,1,13,0,17,0,,,,catch,0,,0,0,2.45,,
56,2,True,0,14,1,25,0,,,,catch,0,,0,0,2.54,,
57,2,True,0,15,0,29,1,,,,catch,0,,0,0,4.05,,
58,2,True,1,15,1,15,1,,,,catch,0,,0,0,2.68,,
59,2,True,1,14,0,18,0,,,,catch,0,,0,0,6.33,,
60,2,True,1,15,1,46,1,,,,catch,0,,0,0,4.12,,
61,3,True,0,15,0,39,1,,,,catch,0,,0,0,2.87,,
62,3,True,1,14,1,29,1,,,,catch,0,,0,0,3.6,,
63,3,True,1,14,1,35,1,,,,catch,0,,0,0,2.95,,
64,3,True,1,13,1,11,1,,,,catch,0,,0,0,3.51,,
65,3,True,0,13,1,8,0,,,,catch,0,,0,0,2.44,,
66,3,True,0,14,1,6,0,,,,catch,0,,0,0,2.52,,
67,3,True,0,15,0,14,1,,,,catch,0,,0,0,3.51,,
68,3,True,0,15,0,5,1,,,,catch,0,,0,0,3.4,,
69,3,True,1,14,1,10,1,,,,catch,0,,0,0,2.69,,
70,3,True,1,14,1,17,1,,,,catch,0,,0,0,2.81,,
71,3,True,1,13,0,8,0,,,,catch,0,,0,0,3.18,,
72,3,True,0,14,0,4,1,,,,catch,0,,0,0,3.32,,
73,3,True,0,14,0,5,1,,,,catch,0,,0,0,2.81,,
74,3,True,1,13,1,9,1,,,,catch,0,,0,0,3.41,,
75,3,True,0,13,0,2,1,,,,catch,0,,0,0,4.32,,
76,3,True,1,12,1,2,1,,,,catch,0,,0,0,2.62,,
77,3,True,1,12,1,2,1,,,,catch,0,,0,0,3.79,,
78,3,True,1,11,1,9,1,,,,catch,0,,0,0,3.58,,
79,3,True,1,11,0,21,0,,,,catch,0,,0,0,4.1,,
80,3,True,0,12,0,1,1,,,,catch,0,,0,0,4.26,,
81,3,True,0,12,0,3,1,,,,catch,0,,0,0,2.81,,
82,3,True,1,11,0,1,0,,,,catch,0,,0,0,4.91,,
83,3,True,0,12,0,8,1,,,,catch,0,,0,0,2.88,,
84,3,True,1,12,1,17,1,,,,catch,0,,0,0,2.53,,
85,3,True,0,11,0,1,1,,,,catch,0,,0,0,3.37,,
86,3,True,1,11,1,14,1,,,,catch,0,,0,0,2.67,,
87,3,True,1,10,0,3,0,,,,catch,0,,0,0,5.8,,
88,3,True,0,11,0,12,1,,,,catch,0,,0,0,3.58,,
89,3,True,1,11,1,19,1,,,,catch,0,,0,0,2.72,,
90,3,True,0,10,1,2,0,,,,catch,0,,0,0,5.17,,
91,4,False,1,11,1,18,1,0,33,0,choice,2,0,0,0,5.18,10.59,17.35
92,4,False,1,11,0,16,0,0,26,0,force,1,0,0,0,3.49,7.75,8.78
93,4,False,0,11,0,29,1,1,10,0,force,1,1,0,0,2.85,9.27,10.29
94,4,False,1,11,0,20,0,1,18,1,choice,2,1,1,0,3.71,3.6,6.55
95,4,False,0,11,1,8,0,1,16,0,choice,2,1,0,0,3.15,3.58,7.38
96,4,False,0,11,0,11,1,0,21,1,choice,1,0,1,0,3.16,2.83,5.95
97,4,False,1,11,0,17,0,0,25,0,choice,1,0,0,0,2.6,4.72,8.09
98,4,False,0,11,1,9,0,1,15,0,force,2,1,0,0,3.14,3.46,4.47
99,4,False,1,11,1,9,1,1,12,1,choice,2,1,1,0,2.9,2.49,5.19
100,4,False,1,11,0,9,0,0,12,0,force,1,1,1,0,3.09,7.19,8.21
101,4,False,1,11,1,14,1,1,14,1,choice,1,0,0,0,2.46,12.46,15.6
102,4,False,0,11,0,11,1,0,19,1,choice,2,0,1,0,3.15,3.61,6.37
103,4,False,0,11,1,16,0,1,12,0,choice,1,0,1,0,2.9,3.76,6.72
104,4,False,1,11,1,10,1,1,12,1,choice,1,1,1,0,2.47,5.95,8.89
105,4,False,0,11,0,23,1,0,27,1,force,1,0,1,0,2.69,5.89,6.91
106,4,False,1,11,1,14,1,1,12,1,choice,2,0,0,0,2.45,4.58,7.25
107,4,False,0,11,1,10,0,1,12,0,choice,2,0,1,0,2.73,4.32,7.07
108,4,False,1,11,0,23,0,0,31,0,force,2,0,0,0,2.51,3.76,4.78
109,4,False,0,11,0,19,1,0,27,1,force,1,0,1,0,2.69,2.93,3.95
110,4,False,0,11,1,24,0,1,28,0,choice,2,1,0,0,4.64,3.47,6.32
111,4,False,1,11,1,16,1,1,15,1,choice,1,0,0,0,2.62,3.62,6.16
112,4,False,1,11,0,19,0,1,21,1,force,2,1,1,0,2.96,4.41,5.43
113,4,False,0,11,0,23,1,0,24,1,force,1,0,1,0,2.67,3.72,4.74
114,4,False,1,11,1,16,1,1,24,1,choice,1,0,0,0,2.72,3.08,5.63
115,4,False,0,11,0,31,1,1,25,0,choice,2,1,0,0,3.18,3.51,6.14
116,4,False,0,11,0,27,1,0,29,1,force,2,0,1,0,2.36,5.6,6.62
117,4,False,1,11,1,15,1,1,23,1,choice,2,1,1,0,2.54,2.95,5.66
118,4,False,1,11,0,24,0,0,30,0,choice,1,0,0,0,2.36,3.13,5.79
119,4,False,1,11,0,2,0,0,25,0,choice,2,0,0,0,3.03,2.88,5.25
120,4,False,1,11,1,15,1,1,24,1,choice,1,1,1,0,2.5,3.56,6.4
121,4,False,0,11,0,11,1,0,27,1,choice,1,0,1,0,3.07,3.03,5.56
122,4,False,1,11,0,25,0,0,14,0,force,1,1,1,0,2.7,6.85,7.87
123,4,False,1,11,1,17,1,1,29,1,choice,2,1,1,0,3.21,4.17,7.29
124,4,False,1,11,1,19,1,1,25,1,choice,2,1,1,0,2.83,3.69,6.37
125,4,False,0,11,0,14,1,0,25,1,force,2,0,1,0,2.77,4.22,5.24
126,4,False,1,11,1,12,1,1,23,1,force,1,0,0,0,3.69,5.23,6.25
127,4,False,1,11,1,20,1,1,25,1,choice,2,1,1,0,3.77,3.17,6.2
128,4,False,0,11,1,22,0,1,26,0,force,2,1,0,0,3.0,3.06,4.08
129,4,False,1,11,1,14,1,1,23,1,choice,2,1,1,0,2.32,2.58,5.32
130,4,False,1,11,0,22,0,0,11,0,force,1,0,0,0,2.9,5.2,6.22
131,4,False,1,11,1,12,1,1,21,1,choice,2,1,1,0,4.21,3.02,5.82
132,4,False,1,11,0,22,0,0,13,0,choice,1,1,1,0,2.63,4.37,7.08
133,4,False,1,11,0,23,0,0,12,0,choice,2,1,1,0,2.42,8.38,11.1
134,4,False,1,11,0,19,0,1,26,1,choice,2,1,1,0,2.49,5.12,7.67
135,4,False,1,11,0,24,0,1,9,1,choice,2,1,1,0,3.25,5.8,8.48
136,4,False,0,11,0,30,1,0,33,1,choice,1,1,0,0,2.61,4.4,7.06
137,4,False,1,11,0,25,0,1,24,1,choice,2,1,1,0,2.55,4.44,7.14
138,4,False,0,11,1,10,0,1,12,0,force,2,0,1,0,3.81,4.81,5.83
139,4,False,1,11,1,8,1,1,13,1,choice,1,0,0,0,2.71,3.83,6.4
140,4,False,0,11,0,8,1,0,16,1,choice,2,0,1,0,5.06,3.22,6.07
141,4,False,0,11,0,27,1,0,43,1,force,2,0,1,0,3.69,3.35,4.38
142,4,False,0,11,0,47,1,0,48,1,choice,1,1,0,0,2.86,3.53,6.64
143,4,False,0,11,1,26,0,1,34,0,choice,2,0,1,0,2.75,3.65,6.63
144,4,False,1,11,0,21,0,0,34,0,choice,2,0,0,0,2.38,2.9,6.15
145,4,False,0,11,1,28,0,1,42,0,choice,2,1,0,0,2.75,3.43,6.12
