trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,9,1,,,,catch,0,,0,0,20.65,,
2,1,True,1,15,0,43,0,,,,catch,0,,0,0,2.36,,
3,1,True,0,15,1,14,0,,,,catch,0,,0,0,1.77,,
4,1,True,0,15,0,49,1,,,,catch,0,,0,0,2.77,,
5,1,True,1,15,1,48,1,,,,catch,0,,0,0,2.77,,
6,1,True,1,14,1,11,1,,,,catch,0,,0,0,3.05,,
7,1,True,0,14,0,50,1,,,,catch,0,,0,0,3.28,,
8,1,True,0,13,0,50,1,,,,catch,0,,0,0,2.33,,
9,1,True,1,13,0,50,0,,,,catch,0,,0,0,2.89,,
10,1,True,0,14,0,50,1,,,,catch,0,,0,0,2.21,,
11,1,True,0,14,0,50,1,,,,catch,0,,0,0,2.23,,
12,1,True,1,13,0,48,0,,,,catch,0,,0,0,2.16,,
13,1,True,1,14,0,49,0,,,,catch,0,,0,0,2.33,,
14,1,True,0,15,0,47,1,,,,catch,0,,0,0,1.92,,
15,1,True,1,15,1,43,1,,,,catch,0,,0,0,1.9,,
16,1,True,0,14,0,33,1,,,,catch,0,,0,0,1.82,,
17,1,True,0,14,0,3,1,,,,catch,0,,0,0,2.31,,
18,1,True,1,13,0,13,0,,,,catch,0,,0,0,3.54,,
19,1,True,0,14,0,29,1,,,,catch,0,,0,0,2.03,,
20,1,True,1,14,1,32,1,,,,catch,0,,0,0,1.65,,
21,1,True,0,13,0,45,1,,,,catch,0,,0,0,1.81,,
22,1,True,0,13,0,46,1,,,,catch,0,,0,0,1.89,,
23,1,True,0,12,0,47,1,,,,catch,0,,0,0,4.35,,
24,1,True,1,12,0,45,0,,,,catch,0,,0,0,1.87,,
25,1,True,0,13,0,43,1,,,,catch,0,,0,0,1.77,,
26,1,True,0,13,1,37,0,,,,catch,0,,0,0,1.57,,
27,1,True,1,14,0,38,0,,,,catch,0,,0,0,1.65,,
28,1,True,0,15,0,33,1,,,,catch,0,,0,0,1.89,,
29,1,True,1,15,1,31,1,,,,catch,0,,0,0,1.61,,
