trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,2,0,,,,catch,0,,0,0,9.25,,
2,1,True,1,15,1,2,1,,,,catch,0,,0,0,3.85,,
3,1,True,0,15,0,4,1,,,,catch,0,,0,0,2.01,,
4,1,True,0,14,1,6,0,,,,catch,0,,0,0,3.33,,
5,1,True,1,15,0,9,0,,,,catch,0,,0,0,2.13,,
6,1,True,1,15,0,5,0,,,,catch,0,,0,0,1.64,,
7,1,True,0,15,0,5,1,,,,catch,0,,0,0,2.65,,
8,1,True,0,15,0,25,1,,,,catch,0,,0,0,3.57,,
9,1,True,1,14,1,5,1,,,,catch,0,,0,0,2.55,,
10,1,True,0,14,0,17,1,,,,catch,0,,0,0,2.45,,
11,1,True,1,13,0,5,0,,,,catch,0,,0,0,1.85,,
12,1,True,1,14,0,14,0,,,,catch,0,,0,0,1.16,,
13,1,True,0,15,0,40,1,,,,catch,0,,0,0,2.48,,
14,1,True,1,15,0,5,0,,,,catch,0,,0,0,1.97,,
15,1,True,1,15,1,10,1,,,,catch,0,,0,0,1.92,,
16,1,True,0,15,0,29,1,,,,catch,0,,0,0,1.9,,
17,1,True,0,14,0,43,1,,,,catch,0,,0,0,1.95,,
18,1,True,1,14,0,19,0,,,,catch,0,,0,0,2.31,,
19,1,True,1,15,1,28,1,,,,catch,0,,0,0,1.7,,
20,1,True,1,15,1,6,1,,,,catch,0,,0,0,1.88,,
21,1,True,1,14,0,9,0,,,,catch,0,,0,0,2.47,,
22,1,True,1,15,1,8,1,,,,catch,0,,0,0,1.35,,
23,1,True,1,15,1,10,1,,,,catch,0,,0,0,1.15,,
24,1,True,0,14,0,9,1,,,,catch,0,,0,0,1.2,,
25,1,True,0,14,0,21,1,,,,catch,0,,0,0,1.83,,
26,1,True,1,13,0,12,0,,,,catch,0,,0,0,1.73,,
27,1,True,0,14,0,15,1,,,,catch,0,,0,0,1.74,,
28,1,True,0,14,0,33,1,,,,catch,0,,0,0,1.68,,
29,1,True,0,13,0,50,1,,,,catch,0,,0,0,3.5,,
30,1,True,0,13,0,26,1,,,,catch,0,,0,0,2.05,,
31,2,True,1,12,0,7,0,,,,catch,0,,0,0,3.76,,
32,2,True,0,13,0,10,1,,,,catch,0,,0,0,1.88,,
33,2,True,0,13,0,7,1,,,,catch,0,,0,0,1.34,,
34,2,True,1,12,1,9,1,,,,catch,0,,0,0,1.49,,
35,2,True,0,12,0,23,1,,,,catch,0,,0,0,1.68,,
36,2,True,1,11,1,7,1,,,,catch,0,,0,0,1.91,,
37,2,True,1,11,0,26,0,,,,catch,0,,0,0,1.43,,
38,2,True,0,12,0,17,1,,,,catch,0,,0,0,1.29,,
39,2,True,1,12,0,30,0,,,,catch,0,,0,0,1.4,,
40,2,True,0,13,0,7,1,,,,catch,0,,0,0,1.37,,
41,2,True,1,13,1,8,1,,,,catch,0,,0,0,2.36,,
42,2,True,1,12,0,8,0,,,,catch,0,,0,0,1.26,,
43,2,True,1,13,0,15,0,,,,catch,0,,0,0,1.15,,
44,2,True,1,14,0,8,0,,,,catch,0,,0,0,1.56,,
45,2,True,1,15,1,7,1,,,,catch,0,,0,0,1.48,,
46,2,True,1,15,0,7,0,,,,catch,0,,0,0,1.65,,
47,2,True,0,15,0,15,1,,,,catch,0,,0,0,1.49,,
48,2,True,1,15,1,15,1,,,,catch,0,,0,0,1.64,,
49,2,True,1,14,1,15,1,,,,catch,0,,0,0,1.47,,
50,2,True,0,14,0,14,1,,,,catch,0,,0,0,1.76,,
51,2,True,0,13,0,21,1,,,,catch,0,,0,0,1.39,,
52,2,True,0,13,0,11,1,,,,catch,0,,0,0,1.94,,
53,2,True,1,12,1,27,1,,,,catch,0,,0,0,1.57,,
54,2,True,1,12,1,11,1,,,,catch,0,,0,0,1.67,,
55,2,True,1,11,1,10,1,,,,catch,0,,0,0,1.4,,
