trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,2,0,,,,catch,0,,0,0,16.09,,
2,1,True,0,15,0,15,1,,,,catch,0,,0,0,7.61,,
3,1,True,0,15,1,10,0,,,,catch,0,,0,0,12.31,,
4,1,True,1,15,0,29,0,,,,catch,0,,0,0,4.24,,
5,1,True,0,15,1,13,0,,,,catch,0,,0,0,4.34,,
6,1,True,0,15,0,23,1,,,,catch,0,,0,0,4.5,,
7,1,True,1,15,0,19,0,,,,catch,0,,0,0,4.63,,
8,1,True,1,15,1,16,1,,,,catch,0,,0,0,7.51,,
9,1,True,1,15,0,9,0,,,,catch,0,,0,0,5.25,,
10,1,True,0,15,0,14,1,,,,catch,0,,0,0,2.84,,
11,1,True,1,15,0,23,0,,,,catch,0,,0,0,5.07,,
12,1,True,1,15,1,23,1,,,,catch,0,,0,0,3.18,,
13,1,True,0,15,0,26,1,,,,catch,0,,0,0,3.47,,
14,1,True,0,14,0,19,1,,,,catch,0,,0,0,3.02,,
15,1,True,1,14,1,19,1,,,,catch,0,,0,0,3.04,,
16,1,True,1,13,1,10,1,,,,catch,0,,0,0,2.91,,
17,1,True,1,13,0,3,0,,,,catch,0,,0,0,3.22,,
18,1,True,1,14,1,18,1,,,,catch,0,,0,0,3.83,,
19,1,True,1,14,1,26,1,,,,catch,0,,0,0,2.46,,
20,1,True,1,13,1,15,1,,,,catch,0,,0,0,2.67,,
21,1,True,1,13,0,9,0,,,,catch,0,,0,0,3.79,,
22,1,True,1,14,1,11,1,,,,catch,0,,0,0,2.63,,
23,1,True,0,14,1,18,0,,,,catch,0,,0,0,2.94,,
24,1,True,0,15,0,16,1,,,,catch,0,,0,0,2.84,,
25,1,True,0,15,1,21,0,,,,catch,0,,0,0,2.42,,
26,1,True,1,15,0,13,0,,,,catch,0,,0,0,3.65,,
27,1,True,1,15,1,22,1,,,,catch,0,,0,0,2.37,,
28,1,True,1,15,1,9,1,,,,catch,0,,0,0,3.14,,
29,1,True,0,14,1,7,0,,,,catch,0,,0,0,2.21,,
30,1,True,1,15,0,1,0,,,,catch,0,,0,0,6.22,,
31,2,True,0,15,1,9,0,,,,catch,0,,0,0,3.52,,
32,2,True,0,15,0,4,1,,,,catch,0,,0,0,2.73,,
33,2,True,1,15,1,20,1,,,,catch,0,,0,0,2.28,,
34,2,True,0,14,1,12,0,,,,catch,0,,0,0,2.17,,
35,2,True,1,15,0,1,0,,,,catch,0,,0,0,2.77,,
36,2,True,1,15,1,5,1,,,,catch,0,,0,0,3.12,,
37,2,True,0,15,0,10,1,,,,catch,0,,0,0,4.02,,
38,2,True,1,14,0,18,0,,,,catch,0,,0,0,3.13,,
39,2,True,0,15,0,21,1,,,,catch,0,,0,0,3.31,,
40,2,True,0,15,0,19,1,,,,catch,0,,0,0,2.28,,
41,2,True,0,14,1,22,0,,,,catch,0,,0,0,2.29,,
42,2,True,1,15,1,15,1,,,,catch,0,,0,0,3.5,,
43,2,True,0,15,0,25,1,,,,catch,0,,0,0,2.6,,
44,2,True,1,14,1,38,1,,,,catch,0,,0,0,3.37,,
45,2,True,0,14,0,11,1,,,,catch,0,,0,0,2.64,,
46,2,True,1,13,1,35,1,,,,catch,0,,0,0,2.17,,
47,2,True,1,13,1,25,1,,,,catch,0,,0,0,2.09,,
48,2,True,1,12,1,39,1,,,,catch,0,,0,0,2.11,,
49,2,True,0,12,1,4,0,,,,catch,0,,0,0,4.74,,
50,2,True,0,13,1,10,0,,,,catch,0,,0,0,3.88,,
51,2,True,0,14,1,16,0,,,,catch,0,,0,0,2.18,,
52,2,True,1,15,1,39,1,,,,catch,0,,0,0,3.81,,
53,2,True,1,15,1,14,1,,,,catch,0,,0,0,2.47,,
54,2,True,0,14,0,9,1,,,,catch,0,,0,0,2.94,,
55,2,True,0,14,1,34,0,,,,catch,0,,0,0,4.48,,
56,2,True,1,15,1,39,1,,,,catch,0,,0,0,2.85,,
57,2,True,0,15,1,33,0,,,,catch,0,,0,0,3.63,,
58,2,True,1,15,1,39,1,,,,catch,0,,0,0,2.58,,
59,2,True,1,15,1,21,1,,,,catch,0,,0,0,3.51,,
60,2,True,1,14,1,40,1,,,,catch,0,,0,0,3.04,,
61,3,True,0,14,1,22,0,,,,catch,0,,0,0,8.82,,
62,3,True,1,15,1,2,1,,,,catch,0,,0,0,1.7,,
63,3,True,1,15,0,7,0,,,,catch,0,,0,0,1.67,,
64,3,True,1,15,1,11,1,,,,catch,0,,0,0,4.23,,
65,3,True,1,15,1,32,1,,,,catch,0,,0,0,1.7,,
66,3,True,1,14,0,20,0,,,,catch,0,,0,0,1.88,,
67,3,True,0,15,0,9,1,,,,catch,0,,0,0,2.05,,
68,3,True,1,15,1,42,1,,,,catch,0,,0,0,1.82,,
69,3,True,0,14,0,4,1,,,,catch,0,,0,0,3.01,,
70,3,True,0,14,0,11,1,,,,catch,0,,0,0,4.44,,
71,3,True,0,13,0,31,1,,,,catch,0,,0,0,2.19,,
72,3,True,0,13,0,7,1,,,,catch,0,,0,0,3.82,,
73,3,True,1,12,1,26,1,,,,catch,0,,0,0,1.64,,
74,3,True,0,12,1,8,0,,,,catch,0,,0,0,1.75,,
