trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,8,1,,,,catch,0,,0,0,11.71,,
2,1,True,1,15,1,39,1,,,,catch,0,,0,0,16.1,,
3,1,True,0,15,0,37,1,,,,catch,0,,0,0,6.36,,
4,1,True,0,14,1,31,0,,,,catch,0,,0,0,11.93,,
5,1,True,0,15,0,40,1,,,,catch,0,,0,0,7.4,,
6,1,True,0,15,1,41,0,,,,catch,0,,0,0,4.02,,
7,1,True,1,15,1,50,1,,,,catch,0,,0,0,4.31,,
8,1,True,1,15,1,50,1,,,,catch,0,,0,0,3.48,,
9,1,True,0,14,1,41,0,,,,catch,0,,0,0,3.64,,
10,1,True,0,15,0,50,1,,,,catch,0,,0,0,4.35,,
11,1,True,1,15,1,50,1,,,,catch,0,,0,0,2.9,,
12,1,True,1,14,1,42,1,,,,catch,0,,0,0,4.14,,
13,1,True,1,14,1,28,1,,,,catch,0,,0,0,5.35,,
14,1,True,1,13,0,44,0,,,,catch,0,,0,0,3.12,,
15,1,True,0,14,1,40,0,,,,catch,0,,0,0,5.02,,
16,1,True,1,15,1,48,1,,,,catch,0,,0,0,2.86,,
17,1,True,1,15,1,50,1,,,,catch,0,,0,0,4.1,,
18,1,True,0,14,0,47,1,,,,catch,0,,0,0,4.67,,
19,1,True,1,14,1,42,1,,,,catch,0,,0,0,3.1,,
20,1,True,1,13,1,43,1,,,,catch,0,,0,0,3.62,,
21,1,True,0,13,0,42,1,,,,catch,0,,0,0,3.68,,
22,1,True,1,12,1,32,1,,,,catch,0,,0,0,3.91,,
23,1,True,1,12,1,45,1,,,,catch,0,,0,0,2.92,,
24,1,True,0,11,0,43,1,,,,catch,0,,0,0,4.7,,
25,1,True,0,11,1,40,0,,,,catch,0,,0,0,5.95,,
26,1,True,1,12,0,44,0,,,,catch,0,,0,0,3.06,,
27,1,True,1,13,1,44,1,,,,catch,0,,0,0,2.47,,
28,1,True,0,13,0,47,1,,,,catch,0,,0,0,2.79,,
29,1,True,1,12,1,43,1,,,,catch,0,,0,0,2.42,,
30,1,True,0,12,0,47,1,,,,catch,0,,0,0,4.54,,
31,2,True,1,11,0,43,0,,,,catch,0,,0,0,2.96,,
32,2,True,0,12,1,44,0,,,,catch,0,,0,0,2.35,,
33,2,True,0,13,1,42,0,,,,catch,0,,0,0,2.48,,
34,2,True,0,14,1,48,0,,,,catch,0,,0,0,2.97,,
35,2,True,1,15,0,44,0,,,,catch,0,,0,0,2.92,,
36,2,True,1,15,1,50,1,,,,catch,0,,0,0,2.65,,
37,2,True,0,15,0,50,1,,,,catch,0,,0,0,2.41,,
38,2,True,0,14,1,47,0,,,,catch,0,,0,0,2.56,,
39,2,True,1,15,1,38,1,,,,catch,0,,0,0,2.69,,
40,2,True,1,15,1,46,1,,,,catch,0,,0,0,2.68,,
41,2,True,1,14,1,33,1,,,,catch,0,,0,0,5.69,,
42,2,True,0,14,0,43,1,,,,catch,0,,0,0,2.94,,
43,2,True,0,13,0,50,1,,,,catch,0,,0,0,2.68,,
44,2,True,0,13,1,50,0,,,,catch,0,,0,0,2.84,,
45,2,True,1,14,1,50,1,,,,catch,0,,0,0,2.53,,
46,2,True,0,14,1,45,0,,,,catch,0,,0,0,2.56,,
47,2,True,0,15,0,50,1,,,,catch,0,,0,0,2.52,,
