trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,3,1,,,,catch,0,,0,0,15.82,,
2,1,True,1,15,1,5,1,,,,catch,0,,0,0,7.71,,
3,1,True,1,15,1,5,1,,,,catch,0,,0,0,7.36,,
4,1,True,0,14,1,3,0,,,,catch,0,,0,0,6.76,,
5,1,True,1,15,0,1,0,,,,catch,0,,0,0,6.05,,
6,1,True,0,15,1,4,0,,,,catch,0,,0,0,6.01,,
7,1,True,0,15,1,13,0,,,,catch,0,,0,0,4.19,,
8,1,True,1,15,1,5,1,,,,catch,0,,0,0,4.81,,
9,1,True,1,15,1,2,1,,,,catch,0,,0,0,5.22,,
10,1,True,0,14,1,4,0,,,,catch,0,,0,0,7.07,,
11,1,True,1,15,0,2,0,,,,catch,0,,0,0,4.56,,
12,1,True,0,15,0,2,1,,,,catch,0,,0,0,2.59,,
13,1,True,0,15,1,4,0,,,,catch,0,,0,0,5.49,,
14,1,True,1,15,0,3,0,,,,catch,0,,0,0,13.6,,
15,1,True,0,15,0,10,1,,,,catch,0,,0,0,2.37,,
16,1,True,1,15,0,4,0,,,,catch,0,,0,0,5.09,,
17,1,True,1,15,1,1,1,,,,catch,0,,0,0,5.41,,
18,1,True,0,15,1,4,0,,,,catch,0,,0,0,4.25,,
19,1,True,0,15,1,3,0,,,,catch,0,,0,0,5.55,,
20,1,True,0,15,0,7,1,,,,catch,0,,0,0,5.69,,
21,1,True,0,15,1,2,0,,,,catch,0,,0,0,4.21,,
22,1,True,1,15,1,4,1,,,,catch,0,,0,0,3.18,,
23,1,True,1,15,0,6,0,,,,catch,0,,0,0,2.72,,
24,1,True,1,15,1,6,1,,,,catch,0,,0,0,3.01,,
25,1,True,0,15,0,2,1,,,,catch,0,,0,0,4.41,,
26,1,True,1,14,1,4,1,,,,catch,0,,0,0,5.04,,
27,1,True,1,14,1,2,1,,,,catch,0,,0,0,3.47,,
28,1,True,0,13,1,2,0,,,,catch,0,,0,0,6.83,,
29,1,True,0,14,0,2,1,,,,catch,0,,0,0,4.97,,
30,1,True,0,14,1,2,0,,,,catch,0,,0,0,1.42,,
31,2,True,1,15,1,2,1,,,,catch,0,,0,0,1.88,,
32,2,True,0,15,1,4,0,,,,catch,0,,0,0,2.01,,
33,2,True,0,15,1,4,0,,,,catch,0,,0,0,1.75,,
34,2,True,1,15,1,5,1,,,,catch,0,,0,0,1.47,,
35,2,True,0,15,1,2,0,,,,catch,0,,0,0,1.8,,
36,2,True,0,15,0,4,1,,,,catch,0,,0,0,2.15,,
37,2,True,1,15,0,2,0,,,,catch,0,,0,0,2.17,,
38,2,True,1,15,1,1,1,,,,catch,0,,0,0,4.12,,
39,2,True,1,15,0,5,0,,,,catch,0,,0,0,2.15,,
40,2,True,1,15,0,2,0,,,,catch,0,,0,0,4.31,,
41,2,True,0,15,1,2,0,,,,catch,0,,0,0,3.51,,
42,2,True,0,15,1,2,0,,,,catch,0,,0,0,2.33,,
43,2,True,1,15,1,10,1,,,,catch,0,,0,0,2.4,,
44,2,True,0,15,1,2,0,,,,catch,0,,0,0,4.54,,
45,2,True,0,15,1,7,0,,,,catch,0,,0,0,2.98,,
46,2,True,1,15,1,14,1,,,,catch,0,,0,0,2.56,,
47,2,True,0,15,1,2,0,,,,catch,0,,0,0,3.78,,
48,2,True,1,15,1,12,1,,,,catch,0,,0,0,1.98,,
49,2,True,1,15,0,3,0,,,,catch,0,,0,0,1.85,,
50,2,True,1,15,1,14,1,,,,catch,0,,0,0,2.19,,
51,2,True,0,15,1,2,0,,,,catch,0,,0,0,3.24,,
52,2,True,1,15,0,18,0,,,,catch,0,,0,0,2.86,,
53,2,True,1,15,1,25,1,,,,catch,0,,0,0,2.06,,
54,2,True,0,15,1,4,0,,,,catch,0,,0,0,2.48,,
55,2,True,0,15,0,21,1,,,,catch,0,,0,0,1.7,,
56,2,True,0,15,0,6,1,,,,catch,0,,0,0,2.04,,
57,2,True,0,14,0,1,1,,,,catch,0,,0,0,2.43,,
58,2,True,0,14,0,2,1,,,,catch,0,,0,0,1.64,,
59,2,True,0,13,0,2,1,,,,catch,0,,0,0,1.92,,
60,2,True,1,13,0,1,0,,,,catch,0,,0,0,2.33,,
61,3,True,1,14,1,2,1,,,,catch,0,,0,0,2.21,,
62,3,True,0,14,0,18,1,,,,catch,0,,0,0,1.83,,
63,3,True,0,13,0,2,1,,,,catch,0,,0,0,1.92,,
64,3,True,1,13,1,2,1,,,,catch,0,,0,0,1.73,,
65,3,True,1,12,1,20,1,,,,catch,0,,0,0,1.8,,
66,3,True,1,12,1,21,1,,,,catch,0,,0,0,1.73,,
67,3,True,1,11,1,8,1,,,,catch,0,,0,0,2.99,,
68,3,True,0,11,0,1,1,,,,catch,0,,0,0,2.51,,
69,3,True,0,10,0,1,1,,,,catch,0,,0,0,1.91,,
70,3,True,1,10,0,1,0,,,,catch,0,,0,0,1.89,,
71,3,True,1,11,1,1,1,,,,catch,0,,0,0,1.54,,
72,3,True,0,11,1,12,0,,,,catch,0,,0,0,1.3,,
73,3,True,0,12,0,17,1,,,,catch,0,,0,0,1.64,,
