trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,2,0,,,,catch,0,,0,0,4.26,,
2,1,True,1,15,0,3,0,,,,catch,0,,0,0,2.15,,
3,1,True,0,15,0,18,1,,,,catch,0,,0,0,2.51,,
4,1,True,0,15,0,35,1,,,,catch,0,,0,0,1.71,,
5,1,True,0,14,0,40,1,,,,catch,0,,0,0,1.97,,
6,1,True,0,14,1,19,0,,,,catch,0,,0,0,1.65,,
7,1,True,1,15,1,15,1,,,,catch,0,,0,0,1.67,,
8,1,True,0,15,1,39,0,,,,catch,0,,0,0,1.85,,
9,1,True,1,15,0,24,0,,,,catch,0,,0,0,1.74,,
10,1,True,1,15,1,41,1,,,,catch,0,,0,0,1.91,,
11,1,True,0,15,1,11,0,,,,catch,0,,0,0,3.63,,
12,1,True,1,15,1,3,1,,,,catch,0,,0,0,1.26,,
13,1,True,1,15,1,13,1,,,,catch,0,,0,0,2.01,,
14,1,True,1,14,0,26,0,,,,catch,0,,0,0,1.35,,
15,1,True,1,15,1,26,1,,,,catch,0,,0,0,1.85,,
16,1,True,0,15,1,40,0,,,,catch,0,,0,0,1.39,,
17,1,True,0,15,0,22,1,,,,catch,0,,0,0,2.68,,
18,1,True,1,15,1,9,1,,,,catch,0,,0,0,1.51,,
19,1,True,1,14,0,30,0,,,,catch,0,,0,0,1.98,,
20,1,True,1,15,0,20,0,,,,catch,0,,0,0,1.59,,
21,1,True,0,15,0,12,1,,,,catch,0,,0,0,1.32,,
22,1,True,0,15,1,5,0,,,,catch,0,,0,0,1.46,,
23,1,True,1,15,1,22,1,,,,catch,0,,0,0,1.26,,
24,1,True,0,15,1,22,0,,,,catch,0,,0,0,1.84,,
25,1,True,1,15,1,16,1,,,,catch,0,,0,0,1.12,,
26,1,True,0,15,0,39,1,,,,catch,0,,0,0,1.95,,
27,1,True,0,14,0,24,1,,,,catch,0,,0,0,1.27,,
28,1,True,0,14,1,17,0,,,,catch,0,,0,0,1.36,,
29,1,True,1,15,1,10,1,,,,catch,0,,0,0,1.04,,
30,1,True,0,15,1,20,0,,,,catch,0,,0,0,1.15,,
31,2,True,1,15,0,18,0,,,,catch,0,,0,0,2.14,,
32,2,True,0,15,0,6,1,,,,catch,0,,0,0,2.28,,
33,2,True,1,15,1,25,1,,,,catch,0,,0,0,1.41,,
34,2,True,0,14,1,32,0,,,,catch,0,,0,0,2.16,,
35,2,True,1,15,1,42,1,,,,catch,0,,0,0,2.6,,
36,2,True,0,15,0,28,1,,,,catch,0,,0,0,1.66,,
37,2,True,1,14,1,4,1,,,,catch,0,,0,0,1.33,,
38,2,True,1,14,1,17,1,,,,catch,0,,0,0,1.1,,
39,2,True,1,13,1,21,1,,,,catch,0,,0,0,1.3,,
40,2,True,0,13,0,16,1,,,,catch,0,,0,0,1.05,,
41,2,True,1,12,1,30,1,,,,catch,0,,0,0,1.81,,
42,2,True,0,12,1,41,0,,,,catch,0,,0,0,1.36,,
43,2,True,0,13,1,8,0,,,,catch,0,,0,0,1.16,,
44,2,True,1,14,1,9,1,,,,catch,0,,0,0,1.49,,
45,2,True,0,14,0,15,1,,,,catch,0,,0,0,1.79,,
46,2,True,0,13,1,15,0,,,,catch,0,,0,0,1.74,,
47,2,True,0,14,0,26,1,,,,catch,0,,0,0,1.18,,
48,2,True,0,14,1,23,0,,,,catch,0,,0,0,1.96,,
49,2,True,0,15,1,14,0,,,,catch,0,,0,0,1.01,,
50,2,True,0,15,1,9,0,,,,catch,0,,0,0,1.08,,
51,2,True,1,15,1,16,1,,,,catch,0,,0,0,1.05,,
52,2,True,1,15,1,13,1,,,,catch,0,,0,0,0.91,,
53,2,True,1,14,0,36,0,,,,catch,0,,0,0,1.54,,
54,2,True,0,15,0,20,1,,,,catch,0,,0,0,1.13,,
55,2,True,0,15,1,12,0,,,,catch,0,,0,0,0.97,,
56,2,True,1,15,1,40,1,,,,catch,0,,0,0,2.38,,
57,2,True,0,15,0,7,1,,,,catch,0,,0,0,1.0,,
58,2,True,1,14,0,17,0,,,,catch,0,,0,0,1.04,,
59,2,True,0,15,0,31,1,,,,catch,0,,0,0,1.05,,
60,2,True,1,15,1,35,1,,,,catch,0,,0,0,1.29,,
61,3,True,0,14,1,6,0,,,,catch,0,,0,0,2.32,,
62,3,True,0,15,1,21,0,,,,catch,0,,0,0,0.92,,
63,3,True,1,15,1,7,1,,,,catch,0,,0,0,1.08,,
64,3,True,1,15,0,30,0,,,,catch,0,,0,0,0.84,,
65,3,True,1,15,0,12,0,,,,catch,0,,0,0,1.15,,
66,3,True,0,15,0,23,1,,,,catch,0,,0,0,0.83,,
67,3,True,0,15,0,13,1,,,,catch,0,,0,0,0.81,,
68,3,True,0,14,1,22,0,,,,catch,0,,0,0,0.8,,
69,3,True,1,15,1,33,1,,,,catch,0,,0,0,0.74,,
70,3,True,0,15,0,18,1,,,,catch,0,,0,0,0.94,,
71,3,True,1,14,0,10,0,,,,catch,0,,0,0,0.83,,
72,3,True,1,15,1,13,1,,,,catch,0,,0,0,0.83,,
73,3,True,1,15,1,11,1,,,,catch,0,,0,0,1.07,,
74,3,True,1,14,0,18,0,,,,catch,0,,0,0,2.38,,
75,3,True,0,15,0,10,1,,,,catch,0,,0,0,0.86,,
76,3,True,1,15,1,11,1,,,,catch,0,,0,0,0.76,,
77,3,True,0,14,1,9,0,,,,catch,0,,0,0,1.18,,
78,3,True,1,15,0,28,0,,,,catch,0,,0,0,0.81,,
79,3,True,0,15,0,14,1,,,,catch,0,,0,0,0.89,,
80,3,True,0,15,1,14,0,,,,catch,0,,0,0,0.77,,
81,3,True,0,15,1,6,0,,,,catch,0,,0,0,0.82,,
82,3,True,1,15,1,25,1,,,,catch,0,,0,0,1.11,,
83,3,True,0,15,1,31,0,,,,catch,0,,0,0,1.96,,
84,3,True,1,15,1,26,1,,,,catch,0,,0,0,0.82,,
85,3,True,0,15,0,35,1,,,,catch,0,,0,0,0.81,,
86,3,True,0,14,0,8,1,,,,catch,0,,0,0,0.84,,
87,3,True,0,14,0,14,1,,,,catch,0,,0,0,0.82,,
88,3,True,1,13,0,23,0,,,,catch,0,,0,0,0.76,,
89,3,True,0,14,0,43,1,,,,catch,0,,0,0,1.0,,
90,3,True,1,14,1,3,1,,,,catch,0,,0,0,0.9,,
91,4,False,0,13,1,13,0,0,38,1,choice,2,0,1,0,1.87,6.82,9.55
92,4,False,1,13,0,16,0,0,5,0,force,1,1,1,0,1.58,5.22,6.23
93,4,False,0,13,1,23,0,1,45,0,choice,2,1,0,0,1.72,4.03,5.81
94,4,False,0,13,1,13,0,1,23,0,choice,1,1,0,0,2.81,1.55,3.22
95,4,False,1,13,0,8,0,1,33,1,choice,2,1,1,0,1.29,3.14,4.98
96,4,False,0,13,0,11,1,1,9,0,choice,1,1,0,0,2.6,1.92,3.87
97,4,False,0,13,1,21,0,1,22,0,choice,2,1,0,0,2.31,2.74,4.79
98,4,False,0,13,1,6,0,0,27,1,force,2,0,1,0,1.24,2.82,3.82
99,4,False,1,13,0,23,0,1,12,1,force,1,1,1,0,1.86,1.97,2.97
100,4,False,1,13,1,37,1,1,36,1,force,1,1,1,0,1.84,2.31,3.31
101,4,False,1,13,1,25,1,1,42,1,force,2,1,1,0,1.45,1.58,2.58
102,4,False,0,13,0,31,1,1,18,0,choice,1,0,1,0,1.7,3.11,4.98
103,4,False,1,13,0,8,0,0,23,0,choice,2,0,0,0,3.34,2.08,3.88
104,4,False,1,13,1,22,1,0,11,0,force,1,0,0,0,1.56,1.76,2.76
105,4,False,1,13,1,25,1,0,10,0,choice,2,0,0,0,1.9,3.85,5.71
106,4,False,1,13,0,17,0,0,28,0,choice,2,0,0,0,1.27,4.66,6.52
107,4,False,0,13,0,12,1,0,19,1,force,1,0,1,0,1.92,1.87,2.87
108,4,False,0,13,1,16,0,0,19,1,choice,2,0,1,0,1.31,1.49,3.6
109,4,False,0,13,1,27,0,0,34,1,choice,2,0,1,0,1.4,2.76,4.57
110,4,False,1,13,0,19,0,0,21,0,choice,1,0,0,0,1.23,2.4,4.32
111,4,False,1,13,0,15,0,1,15,1,force,2,1,1,0,1.09,1.22,2.22
112,4,False,1,13,1,15,1,1,19,1,force,1,1,1,0,1.65,5.15,6.15
113,4,False,0,13,1,32,0,1,29,0,choice,1,1,0,0,1.73,2.73,7.18
114,4,False,0,13,1,5,0,1,15,0,choice,1,1,0,0,1.15,1.6,3.61
115,4,False,1,13,0,8,0,1,15,1,choice,2,1,1,0,1.03,1.05,2.72
116,4,False,0,13,1,21,0,1,18,0,choice,1,1,0,0,1.19,2.54,4.39
117,4,False,0,13,1,30,0,1,28,0,choice,1,0,1,0,1.21,2.72,4.42
118,4,False,1,13,0,9,0,0,42,0,force,2,0,0,0,1.51,2.03,3.03
119,4,False,0,13,0,15,1,1,11,0,choice,2,1,0,0,1.17,0.74,2.79
120,4,False,1,13,0,15,0,1,9,1,choice,1,1,1,0,1.03,0.77,2.36
121,4,False,0,13,0,18,1,1,15,0,choice,2,1,0,0,1.16,0.74,2.33
122,4,False,0,13,0,20,1,0,23,1,choice,2,0,1,0,1.13,1.74,3.51
123,4,False,0,13,1,45,0,1,28,0,choice,1,0,1,0,1.78,3.29,5.02
124,4,False,1,13,1,26,1,1,46,1,force,2,1,1,0,1.68,2.09,3.09
125,4,False,1,13,1,29,1,0,27,0,choice,2,0,0,0,1.45,1.69,3.6
126,4,False,1,13,0,15,0,0,17,0,choice,1,0,0,0,1.06,1.38,18.04
127,4,False,1,13,1,9,1,0,26,0,choice,2,0,0,0,1.33,1.75,3.42
