trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,1,0,,,,catch,0,0,,0,0,18.64,,
2,1,True,0,15,1,5,0,,,,catch,0,0,,0,0,6.62,,
3,1,True,0,15,1,14,0,,,,catch,0,0,,0,0,3.7,,
4,1,True,1,15,0,9,0,,,,catch,0,0,,0,0,2.25,,
5,1,True,0,15,1,19,0,,,,catch,0,0,,0,0,2.08,,
6,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,1.85,,
7,1,True,1,15,0,11,0,,,,catch,0,0,,0,0,1.86,,
8,1,True,0,15,1,5,0,,,,catch,0,0,,0,0,2.78,,
9,1,True,0,15,0,4,1,,,,catch,0,0,,0,0,3.97,,
10,1,True,0,15,1,15,0,,,,catch,0,0,,0,0,2.24,,
11,1,True,0,15,1,11,0,,,,catch,0,0,,0,0,2.13,,
12,1,True,1,15,0,15,0,,,,catch,0,0,,0,0,1.93,,
13,1,True,1,15,0,9,0,,,,catch,0,0,,0,0,1.5,,
14,1,True,1,15,0,2,0,,,,catch,0,0,,0,0,2.3,,
15,1,True,1,15,1,11,1,,,,catch,0,0,,0,0,1.82,,
16,1,True,1,15,1,10,1,,,,catch,0,0,,0,0,1.31,,
17,1,True,1,14,1,8,1,,,,catch,0,0,,0,0,1.83,,
18,1,True,0,14,0,17,1,,,,catch,0,0,,0,0,1.76,,
19,1,True,0,13,0,18,1,,,,catch,0,0,,0,0,1.5,,
20,1,True,1,13,1,18,1,,,,catch,0,0,,0,0,2.13,,
21,1,True,1,12,1,15,1,,,,catch,0,0,,0,0,1.35,,
22,1,True,0,12,1,9,0,,,,catch,0,0,,0,0,2.76,,
23,1,True,0,13,1,11,0,,,,catch,0,0,,0,0,1.37,,
24,1,True,0,14,0,14,1,,,,catch,0,0,,0,0,1.46,,
25,1,True,0,14,0,14,1,,,,catch,0,0,,0,0,1.97,,
26,1,True,0,13,1,11,0,,,,catch,0,0,,0,0,1.59,,
27,1,True,1,14,1,15,1,,,,catch,0,0,,0,0,1.51,,
28,1,True,0,14,0,10,1,,,,catch,0,0,,0,0,1.82,,
29,1,True,0,13,0,19,1,,,,catch,0,0,,0,0,1.52,,
30,1,True,0,13,0,9,1,,,,catch,0,0,,0,0,3.22,,
31,2,True,0,12,1,8,0,,,,catch,0,0,,0,0,2.13,,
32,2,True,1,13,1,14,1,,,,catch,0,0,,0,0,1.95,,
33,2,True,0,13,0,9,1,,,,catch,0,0,,0,0,1.98,,
34,2,True,1,12,0,11,0,,,,catch,0,0,,0,0,1.43,,
35,2,True,0,13,1,22,0,,,,catch,0,0,,0,0,1.64,,
36,2,True,0,14,0,17,1,,,,catch,0,0,,0,0,2.57,,
37,2,True,1,14,0,10,0,,,,catch,0,0,,0,0,1.47,,
38,2,True,1,15,1,15,1,,,,catch,0,0,,0,0,1.94,,
39,2,True,1,15,0,7,0,,,,catch,0,0,,0,0,1.63,,
40,2,True,0,15,0,12,1,,,,catch,0,0,,0,0,1.37,,
41,2,True,1,15,1,10,1,,,,catch,0,0,,0,0,2.82,,
42,2,True,0,14,1,11,0,,,,catch,0,0,,0,0,1.44,,
43,2,True,1,15,0,10,0,,,,catch,0,0,,0,0,2.03,,
44,2,True,1,15,0,16,0,,,,catch,0,0,,0,0,1.34,,
45,2,True,0,15,0,19,1,,,,catch,0,0,,0,0,1.32,,
46,2,True,0,15,1,18,0,,,,catch,0,0,,0,0,2.05,,
47,2,True,1,15,0,13,0,,,,catch,0,0,,0,0,2.21,,
48,2,True,0,15,0,19,1,,,,catch,0,0,,0,0,1.18,,
49,2,True,1,15,0,9,0,,,,catch,0,0,,0,0,2.55,,
50,2,True,1,15,1,14,1,,,,catch,0,0,,0,0,1.77,,
51,2,True,1,15,0,5,0,,,,catch,0,0,,0,0,1.76,,
52,2,True,0,15,1,12,0,,,,catch,0,0,,0,0,1.9,,
53,2,True,0,15,0,17,1,,,,catch,0,0,,0,0,2.01,,
54,2,True,1,15,1,13,1,,,,catch,0,0,,0,0,1.4,,
55,2,True,0,14,0,19,1,,,,catch,0,0,,0,0,1.72,,
56,2,True,0,14,0,15,1,,,,catch,0,0,,0,0,1.14,,
57,2,True,1,13,1,22,1,,,,catch,0,0,,0,0,1.5,,
58,2,True,1,13,1,16,1,,,,catch,0,0,,0,0,1.73,,
59,2,True,1,12,1,14,1,,,,catch,0,0,,0,0,2.24,,
60,2,True,0,12,0,15,1,,,,catch,0,0,,0,0,1.79,,
61,3,True,1,11,1,11,1,,,,catch,0,0,,0,0,1.59,,
62,3,True,1,11,1,14,1,,,,catch,0,0,,0,0,1.2,,
63,3,True,1,10,1,12,1,,,,catch,0,0,,0,0,1.05,,
64,3,True,0,10,0,24,1,,,,catch,0,0,,0,0,1.32,,
65,3,True,1,9,0,13,0,,,,catch,0,0,,0,0,1.27,,
66,3,True,0,10,0,14,1,,,,catch,0,0,,0,0,2.11,,
67,3,True,0,10,1,13,0,,,,catch,0,0,,0,0,1.67,,
68,3,True,0,11,0,12,1,,,,catch,0,0,,0,0,1.45,,
69,3,True,1,11,0,10,0,,,,catch,0,0,,0,0,1.15,,
70,3,True,0,12,0,12,1,,,,catch,0,0,,0,0,1.51,,
71,3,True,1,12,1,16,1,,,,catch,0,0,,0,0,1.24,,
72,3,True,0,11,0,10,1,,,,catch,0,0,,0,0,1.25,,
73,3,True,0,11,0,12,1,,,,catch,0,0,,0,0,1.22,,
74,3,True,0,10,0,15,1,,,,catch,0,0,,0,0,2.49,,
75,3,True,0,10,1,19,0,,,,catch,0,0,,0,0,1.24,,
76,3,True,0,11,0,11,1,,,,catch,0,0,,0,0,2.04,,
77,3,True,0,11,0,9,1,,,,catch,0,0,,0,0,1.71,,
78,3,True,1,10,1,12,1,,,,catch,0,0,,0,0,1.45,,
79,3,True,0,10,0,14,1,,,,catch,0,0,,0,0,1.16,,
80,3,True,1,9,1,15,1,,,,catch,0,0,,0,0,2.01,,
81,3,True,1,9,1,12,1,,,,catch,0,0,,0,0,1.54,,
82,3,True,0,8,0,9,1,,,,catch,0,0,,0,0,1.3,,
