trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,9.04,,
2,1,True,0,15,1,11,0,,,,catch,0,0,,0,0,4.02,,
3,1,True,1,15,0,9,0,,,,catch,0,0,,0,0,4.89,,
4,1,True,0,15,1,16,0,,,,catch,0,0,,0,0,3.85,,
5,1,True,1,15,1,17,1,,,,catch,0,0,,0,0,1.66,,
6,1,True,0,15,0,16,1,,,,catch,0,0,,0,0,1.93,,
7,1,True,0,14,0,22,1,,,,catch,0,0,,0,0,2.02,,
8,1,True,1,14,1,18,1,,,,catch,0,0,,0,0,2.1,,
9,1,True,1,13,1,19,1,,,,catch,0,0,,0,0,1.58,,
10,1,True,0,13,0,17,1,,,,catch,0,0,,0,0,1.65,,
11,1,True,1,12,0,25,0,,,,catch,0,0,,0,0,1.56,,
12,1,True,0,13,1,22,0,,,,catch,0,0,,0,0,3.26,,
13,1,True,0,14,0,30,1,,,,catch,0,0,,0,0,2.03,,
14,1,True,1,14,1,26,1,,,,catch,0,0,,0,0,1.44,,
15,1,True,1,13,1,16,1,,,,catch,0,0,,0,0,1.38,,
16,1,True,1,13,0,25,0,,,,catch,0,0,,0,0,1.67,,
17,1,True,1,14,1,18,1,,,,catch,0,0,,0,0,0.92,,
18,1,True,0,14,0,18,1,,,,catch,0,0,,0,0,1.06,,
19,1,True,0,13,1,19,0,,,,catch,0,0,,0,0,1.14,,
20,1,True,0,14,1,20,0,,,,catch,0,0,,0,0,0.84,,
21,1,True,0,15,0,25,1,,,,catch,0,0,,0,0,0.94,,
22,1,True,1,15,1,23,1,,,,catch,0,0,,0,0,1.18,,
23,1,True,0,14,0,19,1,,,,catch,0,0,,0,0,1.05,,
24,1,True,0,14,0,37,1,,,,catch,0,0,,0,0,1.7,,
25,1,True,0,13,0,29,1,,,,catch,0,0,,0,0,2.71,,
26,1,True,1,13,1,24,1,,,,catch,0,0,,0,0,1.72,,
27,1,True,1,12,1,19,1,,,,catch,0,0,,0,0,2.09,,
28,1,True,1,12,0,27,0,,,,catch,0,0,,0,0,1.19,,
29,1,True,0,13,1,23,0,,,,catch,0,0,,0,0,2.79,,
30,1,True,0,14,1,25,0,,,,catch,0,0,,0,0,0.9,,
31,2,True,0,15,1,23,0,,,,catch,0,0,,0,0,1.4,,
32,2,True,0,15,0,26,1,,,,catch,0,0,,0,0,1.11,,
33,2,True,1,15,1,18,1,,,,catch,0,0,,0,0,1.2,,
34,2,True,1,14,1,23,1,,,,catch,0,0,,0,0,0.96,,
35,2,True,1,14,0,23,0,,,,catch,0,0,,0,0,1.22,,
36,2,True,1,15,1,22,1,,,,catch,0,0,,0,0,1.07,,
37,2,True,1,15,1,25,1,,,,catch,0,0,,0,0,0.91,,
38,2,True,0,14,1,25,0,,,,catch,0,0,,0,0,1.26,,
39,2,True,0,15,0,22,1,,,,catch,0,0,,0,0,2.01,,
40,2,True,0,15,0,23,1,,,,catch,0,0,,0,0,1.03,,
41,2,True,0,14,0,26,1,,,,catch,0,0,,0,0,1.51,,
42,2,True,1,14,1,41,1,,,,catch,0,0,,0,0,1.39,,
43,2,True,1,13,1,34,1,,,,catch,0,0,,0,0,1.7,,
44,2,True,1,13,0,29,0,,,,catch,0,0,,0,0,5.36,,
45,2,True,1,14,1,30,1,,,,catch,0,0,,0,0,0.98,,
46,2,True,0,14,0,29,1,,,,catch,0,0,,0,0,1.21,,
47,2,True,0,13,0,29,1,,,,catch,0,0,,0,0,1.48,,
48,2,True,1,13,1,34,1,,,,catch,0,0,,0,0,1.07,,
49,2,True,1,12,1,42,1,,,,catch,0,0,,0,0,1.16,,
50,2,True,0,12,1,23,0,,,,catch,0,0,,0,0,1.27,,
51,2,True,0,13,0,30,1,,,,catch,0,0,,0,0,0.98,,
52,2,True,1,13,1,35,1,,,,catch,0,0,,0,0,1.4,,
53,2,True,1,12,1,33,1,,,,catch,0,0,,0,0,1.42,,
54,2,True,0,12,1,27,0,,,,catch,0,0,,0,0,0.98,,
55,2,True,0,13,0,32,1,,,,catch,0,0,,0,0,1.02,,
56,2,True,0,13,1,35,0,,,,catch,0,0,,0,0,1.27,,
57,2,True,0,14,0,30,1,,,,catch,0,0,,0,0,0.92,,
58,2,True,0,14,1,32,0,,,,catch,0,0,,0,0,1.23,,
59,2,True,1,15,1,30,1,,,,catch,0,0,,0,0,1.13,,
