trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,5,1,,,,catch,0,0,,0,0,13.47,,
2,1,True,1,15,0,19,0,,,,catch,0,0,,0,0,3.01,,
3,1,True,1,15,0,29,0,,,,catch,0,0,,0,0,3.08,,
4,1,True,1,15,0,18,0,,,,catch,0,0,,0,0,3.78,,
5,1,True,1,15,0,41,0,,,,catch,0,0,,0,0,2.01,,
6,1,True,0,15,0,10,1,,,,catch,0,0,,0,0,3.98,,
7,1,True,1,15,0,29,0,,,,catch,0,0,,0,0,2.66,,
8,1,True,0,15,1,22,0,,,,catch,0,0,,0,0,1.74,,
9,1,True,0,15,1,16,0,,,,catch,0,0,,0,0,4.88,,
10,1,True,1,15,0,22,0,,,,catch,0,0,,0,0,2.21,,
11,1,True,0,15,0,21,1,,,,catch,0,0,,0,0,1.63,,
12,1,True,1,15,1,36,1,,,,catch,0,0,,0,0,2.24,,
13,1,True,0,14,0,39,1,,,,catch,0,0,,0,0,2.66,,
14,1,True,0,14,0,1,1,,,,catch,0,0,,0,0,2.42,,
15,1,True,0,13,0,19,1,,,,catch,0,0,,0,0,1.78,,
16,1,True,0,13,1,24,0,,,,catch,0,0,,0,0,2.18,,
17,1,True,1,14,1,28,1,,,,catch,0,0,,0,0,2.01,,
18,1,True,1,14,0,31,0,,,,catch,0,0,,0,0,2.5,,
19,1,True,0,15,0,16,1,,,,catch,0,0,,0,0,1.36,,
20,1,True,1,15,1,25,1,,,,catch,0,0,,0,0,1.31,,
21,1,True,0,14,0,5,1,,,,catch,0,0,,0,0,1.77,,
22,1,True,1,14,1,12,1,,,,catch,0,0,,0,0,1.91,,
23,1,True,1,13,0,38,0,,,,catch,0,0,,0,0,1.43,,
24,1,True,1,14,0,21,0,,,,catch,0,0,,0,0,1.34,,
25,1,True,1,15,1,34,1,,,,catch,0,0,,0,0,1.24,,
26,1,True,0,15,1,7,0,,,,catch,0,0,,0,0,2.02,,
27,1,True,1,15,1,6,1,,,,catch,0,0,,0,0,2.05,,
28,1,True,1,15,1,24,1,,,,catch,0,0,,0,0,1.72,,
29,1,True,0,14,0,18,1,,,,catch,0,0,,0,0,1.54,,
30,1,True,1,14,1,17,1,,,,catch,0,0,,0,0,1.4,,
31,2,True,1,13,0,25,0,,,,catch,0,0,,0,0,1.46,,
32,2,True,1,14,1,32,1,,,,catch,0,0,,0,0,2.02,,
33,2,True,1,14,0,43,0,,,,catch,0,0,,0,0,2.0,,
34,2,True,1,15,1,4,1,,,,catch,0,0,,0,0,2.15,,
35,2,True,0,15,0,23,1,,,,catch,0,0,,0,0,1.23,,
36,2,True,1,14,1,30,1,,,,catch,0,0,,0,0,2.61,,
