trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,2,1,,,,catch,0,0,,0,0,25.56,,
2,1,True,0,15,0,8,1,,,,catch,0,0,,0,0,10.76,,
3,1,True,0,15,0,31,1,,,,catch,0,0,,0,0,7.68,,
4,1,True,1,14,0,3,0,,,,catch,0,0,,0,0,5.66,,
5,1,True,0,15,0,35,1,,,,catch,0,0,,0,0,3.66,,
6,1,True,0,15,0,32,1,,,,catch,0,0,,0,0,3.96,,
7,1,True,1,14,0,31,0,,,,catch,0,0,,0,0,3.38,,
8,1,True,1,15,0,23,0,,,,catch,0,0,,0,0,7.06,,
9,1,True,1,15,1,9,1,,,,catch,0,0,,0,0,4.03,,
10,1,True,0,15,0,36,1,,,,catch,0,0,,0,0,4.06,,
11,1,True,0,14,0,24,1,,,,catch,0,0,,0,0,3.96,,
12,1,True,0,14,0,25,1,,,,catch,0,0,,0,0,2.77,,
13,1,True,0,13,0,11,1,,,,catch,0,0,,0,0,4.2,,
14,1,True,1,13,1,2,1,,,,catch,0,0,,0,0,3.67,,
15,1,True,1,12,0,23,0,,,,catch,0,0,,0,0,3.55,,
16,1,True,1,13,0,12,0,,,,catch,0,0,,0,0,4.22,,
17,1,True,0,14,0,31,1,,,,catch,0,0,,0,0,3.35,,
18,1,True,1,14,0,10,0,,,,catch,0,0,,0,0,4.19,,
19,1,True,1,15,0,18,0,,,,catch,0,0,,0,0,3.92,,
20,1,True,1,15,0,4,0,,,,catch,0,0,,0,0,3.69,,
21,1,True,1,15,0,13,0,,,,catch,0,0,,0,0,3.9,,
22,1,True,1,15,0,16,0,,,,catch,0,0,,0,0,3.32,,
23,1,True,1,15,0,10,0,,,,catch,0,0,,0,0,4.22,,
24,1,True,1,15,0,2,0,,,,catch,0,0,,0,0,8.08,,
25,1,True,1,15,0,16,0,,,,catch,0,0,,0,0,3.0,,
26,1,True,0,15,0,15,1,,,,catch,0,0,,0,0,5.5,,
27,1,True,1,15,0,1,0,,,,catch,0,0,,0,0,4.86,,
28,1,True,1,15,1,2,1,,,,catch,0,0,,0,0,3.21,,
29,1,True,0,15,0,10,1,,,,catch,0,0,,0,0,3.59,,
30,1,True,1,14,0,2,0,,,,catch,0,0,,0,0,4.94,,
31,2,True,1,15,0,13,0,,,,catch,0,0,,0,0,3.27,,
32,2,True,0,15,0,15,1,,,,catch,0,0,,0,0,4.33,,
33,2,True,1,15,0,6,0,,,,catch,0,0,,0,0,4.08,,
34,2,True,1,15,0,1,0,,,,catch,0,0,,0,0,3.83,,
35,2,True,1,15,0,6,0,,,,catch,0,0,,0,0,3.95,,
36,2,True,0,15,0,27,1,,,,catch,0,0,,0,0,3.38,,
37,2,True,1,15,0,20,0,,,,catch,0,0,,0,0,3.36,,
38,2,True,1,15,0,10,0,,,,catch,0,0,,0,0,3.96,,
39,2,True,1,15,0,4,0,,,,catch,0,0,,0,0,3.32,,
40,2,True,1,15,0,8,0,,,,catch,0,0,,0,0,2.55,,
41,2,True,1,15,1,8,1,,,,catch,0,0,,0,0,3.42,,
42,2,True,0,15,0,10,1,,,,catch,0,0,,0,0,3.54,,
43,2,True,0,14,1,4,0,,,,catch,0,0,,0,0,3.33,,
44,2,True,1,15,0,9,0,,,,catch,0,0,,0,0,4.25,,
45,2,True,0,15,0,30,1,,,,catch,0,0,,0,0,3.22,,
46,2,True,1,15,1,12,1,,,,catch,0,0,,0,0,3.45,,
47,2,True,0,14,0,35,1,,,,catch,0,0,,0,0,2.6,,
48,2,True,1,14,0,22,0,,,,catch,0,0,,0,0,4.64,,
49,2,True,0,15,0,23,1,,,,catch,0,0,,0,0,3.22,,
50,2,True,1,15,1,4,1,,,,catch,0,0,,0,0,3.48,,
51,2,True,0,14,0,16,1,,,,catch,0,0,,0,0,2.78,,
52,2,True,0,14,0,33,1,,,,catch,0,0,,0,0,2.65,,
53,2,True,1,13,0,32,0,,,,catch,0,0,,0,0,2.67,,
54,2,True,0,14,0,39,1,,,,catch,0,0,,0,0,2.9,,
55,2,True,0,14,0,16,1,,,,catch,0,0,,0,0,3.42,,
56,2,True,1,13,0,2,0,,,,catch,0,0,,0,0,6.61,,
57,2,True,0,14,0,7,1,,,,catch,0,0,,0,0,2.85,,
58,2,True,1,14,0,15,0,,,,catch,0,0,,0,0,2.44,,
59,2,True,0,15,0,2,1,,,,catch,0,0,,0,0,5.06,,
60,2,True,0,15,0,12,1,,,,catch,0,0,,0,0,2.44,,
61,3,True,1,14,0,10,0,,,,catch,0,0,,0,0,4.25,,
62,3,True,0,15,0,14,1,,,,catch,0,0,,0,0,7.96,,
63,3,True,0,15,0,10,1,,,,catch,0,0,,0,0,2.68,,
64,3,True,1,14,0,2,0,,,,catch,0,0,,0,0,3.33,,
65,3,True,1,15,0,2,0,,,,catch,0,0,,0,0,3.16,,
66,3,True,0,15,0,8,1,,,,catch,0,0,,0,0,3.71,,
67,3,True,0,15,0,11,1,,,,catch,0,0,,0,0,4.22,,
68,3,True,0,14,0,17,1,,,,catch,0,0,,0,0,3.54,,
69,3,True,0,14,0,14,1,,,,catch,0,0,,0,0,3.3,,
70,3,True,1,13,0,2,0,,,,catch,0,0,,0,0,5.15,,
71,3,True,1,14,0,5,0,,,,catch,0,0,,0,0,3.06,,
72,3,True,0,15,0,9,1,,,,catch,0,0,,0,0,2.84,,
73,3,True,1,15,0,1,0,,,,catch,0,0,,0,0,6.55,,
74,3,True,1,15,1,1,1,,,,catch,0,0,,0,0,4.47,,
75,3,True,1,15,0,1,0,,,,catch,0,0,,0,0,3.96,,
76,3,True,1,15,0,1,0,,,,catch,0,0,,0,0,4.5,,
77,3,True,1,15,1,5,1,,,,catch,0,0,,0,0,4.47,,
78,3,True,1,15,1,2,1,,,,catch,0,0,,0,0,3.47,,
79,3,True,0,14,0,4,1,,,,catch,0,0,,0,0,3.36,,
80,3,True,0,14,0,8,1,,,,catch,0,0,,0,0,2.67,,
81,3,True,1,13,0,3,0,,,,catch,0,0,,0,0,4.22,,
82,3,True,1,14,1,3,1,,,,catch,0,0,,0,0,3.44,,
83,3,True,1,14,1,2,1,,,,catch,0,0,,0,0,4.1,,
84,3,True,1,13,1,2,1,,,,catch,0,0,,0,0,3.95,,
85,3,True,0,13,0,5,1,,,,catch,0,0,,0,0,2.89,,
86,3,True,1,12,0,8,0,,,,catch,0,0,,0,0,2.67,,
87,3,True,1,13,1,5,1,,,,catch,0,0,,0,0,3.73,,
88,3,True,0,13,0,12,1,,,,catch,0,0,,0,0,3.09,,
