trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,13,1,,,,catch,0,0,,0,0,3.4,,
2,1,True,0,15,0,4,1,,,,catch,0,0,,0,0,2.52,,
3,1,True,1,15,1,2,1,,,,catch,0,0,,0,0,3.32,,
4,1,True,1,14,1,2,1,,,,catch,0,0,,0,0,2.56,,
5,1,True,1,14,1,7,1,,,,catch,0,0,,0,0,1.94,,
6,1,True,0,13,1,7,0,,,,catch,0,0,,0,0,1.57,,
7,1,True,1,14,1,7,1,,,,catch,0,0,,0,0,2.47,,
8,1,True,1,14,1,11,1,,,,catch,0,0,,0,0,2.46,,
9,1,True,1,13,0,9,0,,,,catch,0,0,,0,0,2.03,,
10,1,True,0,14,1,3,0,,,,catch,0,0,,0,0,1.93,,
11,1,True,0,15,1,4,0,,,,catch,0,0,,0,0,2.05,,
12,1,True,0,15,0,3,1,,,,catch,0,0,,0,0,1.67,,
13,1,True,0,15,1,8,0,,,,catch,0,0,,0,0,1.35,,
14,1,True,0,15,0,9,1,,,,catch,0,0,,0,0,1.86,,
15,1,True,1,15,1,7,1,,,,catch,0,0,,0,0,1.22,,
16,1,True,1,14,0,7,0,,,,catch,0,0,,0,0,1.87,,
17,1,True,1,15,1,10,1,,,,catch,0,0,,0,0,1.56,,
18,1,True,1,15,0,3,0,,,,catch,0,0,,0,0,1.94,,
19,1,True,0,15,1,8,0,,,,catch,0,0,,0,0,1.45,,
20,1,True,0,15,0,5,1,,,,catch,0,0,,0,0,1.5,,
21,1,True,1,15,1,6,1,,,,catch,0,0,,0,0,1.24,,
22,1,True,1,14,1,8,1,,,,catch,0,0,,0,0,1.16,,
23,1,True,1,14,1,7,1,,,,catch,0,0,,0,0,1.21,,
24,1,True,1,13,1,7,1,,,,catch,0,0,,0,0,1.34,,
25,1,True,0,13,1,8,0,,,,catch,0,0,,0,0,1.3,,
26,1,True,1,14,0,8,0,,,,catch,0,0,,0,0,1.6,,
27,1,True,1,15,1,17,1,,,,catch,0,0,,0,0,1.41,,
28,1,True,1,15,1,20,1,,,,catch,0,0,,0,0,1.47,,
29,1,True,0,14,0,14,1,,,,catch,0,0,,0,0,1.73,,
30,1,True,1,14,1,17,1,,,,catch,0,0,,0,0,1.51,,
31,2,True,0,13,1,13,0,,,,catch,0,0,,0,0,1.32,,
32,2,True,1,14,1,10,1,,,,catch,0,0,,0,0,1.37,,
33,2,True,0,14,0,10,1,,,,catch,0,0,,0,0,1.35,,
34,2,True,0,13,1,10,0,,,,catch,0,0,,0,0,1.28,,
35,2,True,1,14,1,11,1,,,,catch,0,0,,0,0,1.5,,
36,2,True,0,14,0,13,1,,,,catch,0,0,,0,0,1.26,,
37,2,True,0,13,1,22,0,,,,catch,0,0,,0,0,1.28,,
38,2,True,0,14,0,13,1,,,,catch,0,0,,0,0,1.44,,
39,2,True,0,14,1,22,0,,,,catch,0,0,,0,0,1.27,,
40,2,True,1,15,0,7,0,,,,catch,0,0,,0,0,1.7,,
41,2,True,1,15,1,10,1,,,,catch,0,0,,0,0,1.29,,
