trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,3,1,,,,catch,0,0,,0,0,5.31,,
2,1,True,0,15,1,13,0,,,,catch,0,0,,0,0,3.64,,
3,1,True,1,15,1,8,1,,,,catch,0,0,,0,0,2.35,,
4,1,True,1,15,0,3,0,,,,catch,0,0,,0,0,3.49,,
5,1,True,0,15,1,5,0,,,,catch,0,0,,0,0,2.22,,
6,1,True,1,15,1,5,1,,,,catch,0,0,,0,0,2.32,,
7,1,True,1,15,1,20,1,,,,catch,0,0,,0,0,2.37,,
8,1,True,0,14,0,23,1,,,,catch,0,0,,0,0,2.0,,
9,1,True,1,14,1,16,1,,,,catch,0,0,,0,0,2.17,,
10,1,True,0,13,0,8,1,,,,catch,0,0,,0,0,3.16,,
11,1,True,1,13,1,24,1,,,,catch,0,0,,0,0,2.05,,
12,1,True,1,12,1,19,1,,,,catch,0,0,,0,0,2.35,,
13,1,True,0,12,0,9,1,,,,catch,0,0,,0,0,2.28,,
14,1,True,0,11,1,16,0,,,,catch,0,0,,0,0,2.05,,
15,1,True,0,12,1,17,0,,,,catch,0,0,,0,0,2.2,,
16,1,True,0,13,1,12,0,,,,catch,0,0,,0,0,2.3,,
17,1,True,0,14,1,15,0,,,,catch,0,0,,0,0,1.91,,
18,1,True,0,15,1,8,0,,,,catch,0,0,,0,0,1.79,,
19,1,True,1,15,1,3,1,,,,catch,0,0,,0,0,1.85,,
20,1,True,1,15,1,9,1,,,,catch,0,0,,0,0,2.23,,
21,1,True,0,14,1,7,0,,,,catch,0,0,,0,0,2.09,,
22,1,True,1,15,1,7,1,,,,catch,0,0,,0,0,2.71,,
23,1,True,1,15,1,20,1,,,,catch,0,0,,0,0,2.33,,
24,1,True,1,14,0,17,0,,,,catch,0,0,,0,0,2.16,,
25,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,1.98,,
26,1,True,1,15,0,19,0,,,,catch,0,0,,0,0,2.29,,
27,1,True,0,15,1,6,0,,,,catch,0,0,,0,0,1.83,,
28,1,True,0,15,0,4,1,,,,catch,0,0,,0,0,1.96,,
29,1,True,1,15,1,7,1,,,,catch,0,0,,0,0,2.39,,
30,1,True,0,14,0,15,1,,,,catch,0,0,,0,0,1.94,,
31,2,True,0,14,0,9,1,,,,catch,0,0,,0,0,1.97,,
32,2,True,0,13,1,10,0,,,,catch,0,0,,0,0,2.85,,
33,2,True,0,14,0,24,1,,,,catch,0,0,,0,0,2.11,,
34,2,True,1,14,0,14,0,,,,catch,0,0,,0,0,3.08,,
35,2,True,1,15,1,4,1,,,,catch,0,0,,0,0,2.11,,
36,2,True,1,15,0,2,0,,,,catch,0,0,,0,0,2.15,,
37,2,True,0,15,0,5,1,,,,catch,0,0,,0,0,2.6,,
38,2,True,0,15,0,16,1,,,,catch,0,0,,0,0,3.02,,
39,2,True,0,14,1,9,0,,,,catch,0,0,,0,0,2.05,,
40,2,True,1,15,0,7,0,,,,catch,0,0,,0,0,2.05,,
41,2,True,0,15,0,2,1,,,,catch,0,0,,0,0,4.42,,
42,2,True,1,15,1,8,1,,,,catch,0,0,,0,0,2.67,,
43,2,True,1,14,0,11,0,,,,catch,0,0,,0,0,2.61,,
44,2,True,0,15,1,4,0,,,,catch,0,0,,0,0,2.44,,
45,2,True,0,15,1,3,0,,,,catch,0,0,,0,0,1.83,,
46,2,True,0,15,0,4,1,,,,catch,0,0,,0,0,1.96,,
47,2,True,0,15,0,19,1,,,,catch,0,0,,0,0,2.48,,
48,2,True,1,14,1,2,1,,,,catch,0,0,,0,0,2.45,,
49,2,True,1,14,1,14,1,,,,catch,0,0,,0,0,2.13,,
50,2,True,1,13,1,9,1,,,,catch,0,0,,0,0,1.97,,
51,2,True,1,13,1,6,1,,,,catch,0,0,,0,0,2.61,,
52,2,True,0,12,0,16,1,,,,catch,0,0,,0,0,2.23,,
