trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,4,0,,,,catch,0,0,,0,0,17.63,,
2,1,True,0,15,1,25,0,,,,catch,0,0,,0,0,6.89,,
3,1,True,1,15,1,35,1,,,,catch,0,0,,0,0,5.69,,
4,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,6.67,,
5,1,True,0,14,1,37,0,,,,catch,0,0,,0,0,3.89,,
6,1,True,1,15,0,8,0,,,,catch,0,0,,0,0,10.81,,
7,1,True,0,15,1,31,0,,,,catch,0,0,,0,0,3.82,,
8,1,True,1,15,1,9,1,,,,catch,0,0,,0,0,3.79,,
9,1,True,0,15,0,25,1,,,,catch,0,0,,0,0,4.28,,
10,1,True,1,14,1,37,1,,,,catch,0,0,,0,0,3.31,,
11,1,True,1,14,0,4,0,,,,catch,0,0,,0,0,3.2,,
12,1,True,0,15,0,33,1,,,,catch,0,0,,0,0,4.52,,
13,1,True,1,15,1,40,1,,,,catch,0,0,,0,0,3.89,,
14,1,True,0,14,1,21,0,,,,catch,0,0,,0,0,5.09,,
15,1,True,1,15,1,6,1,,,,catch,0,0,,0,0,3.55,,
16,1,True,1,15,1,17,1,,,,catch,0,0,,0,0,3.06,,
17,1,True,1,14,0,34,0,,,,catch,0,0,,0,0,3.21,,
18,1,True,1,15,1,22,1,,,,catch,0,0,,0,0,3.27,,
19,1,True,0,15,0,39,1,,,,catch,0,0,,0,0,3.01,,
20,1,True,0,14,0,2,1,,,,catch,0,0,,0,0,7.68,,
21,1,True,1,14,1,23,1,,,,catch,0,0,,0,0,5.17,,
22,1,True,1,13,1,43,1,,,,catch,0,0,,0,0,4.76,,
23,1,True,1,13,1,34,1,,,,catch,0,0,,0,0,3.29,,
24,1,True,1,12,1,30,1,,,,catch,0,0,,0,0,3.35,,
25,1,True,1,12,0,27,0,,,,catch,0,0,,0,0,2.82,,
26,1,True,1,13,1,26,1,,,,catch,0,0,,0,0,2.33,,
27,1,True,0,13,0,32,1,,,,catch,0,0,,0,0,3.29,,
28,1,True,1,12,0,9,0,,,,catch,0,0,,0,0,2.53,,
29,1,True,1,13,0,7,0,,,,catch,0,0,,0,0,2.73,,
30,1,True,0,14,0,23,1,,,,catch,0,0,,0,0,2.95,,
31,2,True,0,14,1,9,0,,,,catch,0,0,,0,0,3.77,,
32,2,True,1,15,0,23,0,,,,catch,0,0,,0,0,4.07,,
33,2,True,0,15,0,22,1,,,,catch,0,0,,0,0,2.49,,
34,2,True,0,15,0,40,1,,,,catch,0,0,,0,0,2.56,,
35,2,True,1,14,1,19,1,,,,catch,0,0,,0,0,4.4,,
36,2,True,1,14,0,35,0,,,,catch,0,0,,0,0,3.62,,
37,2,True,0,15,0,10,1,,,,catch,0,0,,0,0,3.18,,
38,2,True,0,15,0,42,1,,,,catch,0,0,,0,0,3.44,,
39,2,True,1,14,1,30,1,,,,catch,0,0,,0,0,3.05,,
40,2,True,0,14,0,44,1,,,,catch,0,0,,0,0,2.94,,
41,2,True,0,13,0,26,1,,,,catch,0,0,,0,0,4.34,,
42,2,True,0,13,1,23,0,,,,catch,0,0,,0,0,3.62,,
43,2,True,1,14,1,36,1,,,,catch,0,0,,0,0,3.28,,
44,2,True,1,14,1,17,1,,,,catch,0,0,,0,0,5.11,,
45,2,True,1,13,1,35,1,,,,catch,0,0,,0,0,3.15,,
46,2,True,1,13,0,38,0,,,,catch,0,0,,0,0,3.57,,
47,2,True,1,14,1,36,1,,,,catch,0,0,,0,0,6.44,,
48,2,True,0,14,0,29,1,,,,catch,0,0,,0,0,3.65,,
49,2,True,0,13,1,29,0,,,,catch,0,0,,0,0,5.47,,
50,2,True,1,14,1,41,1,,,,catch,0,0,,0,0,3.41,,
