trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,6,1,,,,catch,0,0,,0,0,6.4,,
2,1,True,1,15,1,12,1,,,,catch,0,0,,0,0,2.43,,
3,1,True,0,15,1,20,0,,,,catch,0,0,,0,0,2.45,,
4,1,True,1,15,0,6,0,,,,catch,0,0,,0,0,3.93,,
5,1,True,1,15,1,20,1,,,,catch,0,0,,0,0,2.85,,
6,1,True,1,15,1,10,1,,,,catch,0,0,,0,0,2.27,,
7,1,True,1,14,1,16,1,,,,catch,0,0,,0,0,2.42,,
8,1,True,1,14,1,7,1,,,,catch,0,0,,0,0,2.96,,
9,1,True,0,13,1,3,0,,,,catch,0,0,,0,0,2.16,,
10,1,True,1,14,1,3,1,,,,catch,0,0,,0,0,1.89,,
11,1,True,0,14,1,10,0,,,,catch,0,0,,0,0,2.14,,
12,1,True,0,15,0,4,1,,,,catch,0,0,,0,0,1.97,,
13,1,True,0,15,1,3,0,,,,catch,0,0,,0,0,3.06,,
14,1,True,1,15,1,10,1,,,,catch,0,0,,0,0,2.51,,
15,1,True,1,15,0,7,0,,,,catch,0,0,,0,0,2.97,,
16,1,True,0,15,1,2,0,,,,catch,0,0,,0,0,1.4,,
17,1,True,0,15,0,5,1,,,,catch,0,0,,0,0,1.61,,
18,1,True,0,15,1,3,0,,,,catch,0,0,,0,0,1.69,,
19,1,True,1,15,1,6,1,,,,catch,0,0,,0,0,1.59,,
20,1,True,0,15,0,1,1,,,,catch,0,0,,0,0,1.57,,
21,1,True,1,14,1,2,1,,,,catch,0,0,,0,0,1.87,,
22,1,True,1,14,1,1,1,,,,catch,0,0,,0,0,4.93,,
23,1,True,1,13,1,4,1,,,,catch,0,0,,0,0,1.68,,
24,1,True,0,13,0,6,1,,,,catch,0,0,,0,0,2.24,,
25,1,True,1,12,1,5,1,,,,catch,0,0,,0,0,1.98,,
26,1,True,0,12,0,4,1,,,,catch,0,0,,0,0,1.74,,
27,1,True,1,11,1,9,1,,,,catch,0,0,,0,0,1.73,,
28,1,True,1,11,1,3,1,,,,catch,0,0,,0,0,1.74,,
29,1,True,1,10,1,7,1,,,,catch,0,0,,0,0,2.05,,
30,1,True,0,10,1,2,0,,,,catch,0,0,,0,0,3.12,,
31,2,True,1,11,1,10,1,,,,catch,0,0,,0,0,2.24,,
32,2,True,1,11,1,13,1,,,,catch,0,0,,0,0,2.02,,
33,2,True,0,10,1,3,0,,,,catch,0,0,,0,0,1.38,,
34,2,True,1,11,1,9,1,,,,catch,0,0,,0,0,1.95,,
35,2,True,1,11,1,11,1,,,,catch,0,0,,0,0,3.23,,
36,2,True,0,10,1,2,0,,,,catch,0,0,,0,0,1.56,,
37,2,True,0,11,1,7,0,,,,catch,0,0,,0,0,1.8,,
38,2,True,1,12,1,2,1,,,,catch,0,0,,0,0,1.46,,
39,2,True,1,12,1,10,1,,,,catch,0,0,,0,0,2.08,,
40,2,True,1,11,1,9,1,,,,catch,0,0,,0,0,1.31,,
41,2,True,0,11,0,4,1,,,,catch,0,0,,0,0,1.4,,
42,2,True,1,10,1,3,1,,,,catch,0,0,,0,0,1.34,,
43,2,True,0,10,1,6,0,,,,catch,0,0,,0,0,1.51,,
44,2,True,0,11,0,6,1,,,,catch,0,0,,0,0,1.19,,
45,2,True,1,11,0,11,0,,,,catch,0,0,,0,0,2.68,,
46,2,True,0,12,1,15,0,,,,catch,0,0,,0,0,2.87,,
47,2,True,1,13,1,3,1,,,,catch,0,0,,0,0,1.37,,
48,2,True,1,13,0,6,0,,,,catch,0,0,,0,0,1.94,,
49,2,True,0,14,0,7,1,,,,catch,0,0,,0,0,1.78,,
50,2,True,0,14,0,12,1,,,,catch,0,0,,0,0,1.65,,
51,2,True,0,13,0,8,1,,,,catch,0,0,,0,0,1.75,,
52,2,True,1,13,0,4,0,,,,catch,0,0,,0,0,1.56,,
53,2,True,0,14,1,4,0,,,,catch,0,0,,0,0,1.66,,
54,2,True,0,15,0,10,1,,,,catch,0,0,,0,0,1.56,,
55,2,True,1,15,1,4,1,,,,catch,0,0,,0,0,1.41,,
56,2,True,0,14,0,6,1,,,,catch,0,0,,0,0,1.36,,
57,2,True,0,14,0,10,1,,,,catch,0,0,,0,0,1.36,,
58,2,True,0,13,0,17,1,,,,catch,0,0,,0,0,1.69,,
59,2,True,1,13,1,3,1,,,,catch,0,0,,0,0,2.43,,
60,2,True,1,12,0,4,0,,,,catch,0,0,,0,0,1.52,,
61,3,True,1,13,1,1,1,,,,catch,0,0,,0,0,1.62,,
62,3,True,1,13,0,3,0,,,,catch,0,0,,0,0,1.84,,
63,3,True,1,14,1,4,1,,,,catch,0,0,,0,0,1.48,,
64,3,True,0,14,0,2,1,,,,catch,0,0,,0,0,1.47,,
65,3,True,1,13,1,3,1,,,,catch,0,0,,0,0,1.52,,
66,3,True,1,13,1,2,1,,,,catch,0,0,,0,0,1.4,,
67,3,True,1,12,0,1,0,,,,catch,0,0,,0,0,1.22,,
68,3,True,0,13,0,3,1,,,,catch,0,0,,0,0,1.72,,
69,3,True,0,13,0,1,1,,,,catch,0,0,,0,0,1.61,,
70,3,True,1,12,1,2,1,,,,catch,0,0,,0,0,1.49,,
71,3,True,1,12,1,5,1,,,,catch,0,0,,0,0,1.92,,
72,3,True,0,11,0,2,1,,,,catch,0,0,,0,0,1.64,,
73,3,True,0,11,0,8,1,,,,catch,0,0,,0,0,2.3,,
74,3,True,0,10,1,2,0,,,,catch,0,0,,0,0,1.49,,
75,3,True,0,11,0,1,1,,,,catch,0,0,,0,0,1.42,,
76,3,True,1,11,0,1,0,,,,catch,0,0,,0,0,1.97,,
77,3,True,1,12,0,6,0,,,,catch,0,0,,0,0,1.88,,
78,3,True,1,13,1,3,1,,,,catch,0,0,,0,0,1.37,,
79,3,True,0,13,0,2,1,,,,catch,0,0,,0,0,1.58,,
80,3,True,1,12,1,2,1,,,,catch,0,0,,0,0,1.8,,
81,3,True,0,12,0,2,1,,,,catch,0,0,,0,0,1.72,,
82,3,True,0,11,0,4,1,,,,catch,0,0,,0,0,1.52,,
83,3,True,1,11,1,4,1,,,,catch,0,0,,0,0,1.34,,
84,3,True,0,10,0,4,1,,,,catch,0,0,,0,0,1.37,,
85,3,True,0,10,0,13,1,,,,catch,0,0,,0,0,1.96,,
86,3,True,0,9,0,16,1,,,,catch,0,0,,0,0,1.67,,
87,3,True,1,9,1,22,1,,,,catch,0,0,,0,0,2.16,,
88,3,True,1,8,1,11,1,,,,catch,0,0,,0,0,1.75,,
89,3,True,1,8,0,18,0,,,,catch,0,0,,0,0,2.3,,
90,3,True,1,9,1,10,1,,,,catch,0,0,,0,0,1.55,,
91,4,False,1,9,1,10,1,1,2,1,choice,1,2,0,0,0,2.46,8.01,12.67
92,4,False,0,9,0,7,1,0,9,1,choice,2,2,0,1,0,2.05,5.36,7.31
93,4,False,1,9,0,5,0,0,1,0,choice,2,2,1,1,0,2.0,5.0,6.86
94,4,False,0,9,0,9,1,0,8,1,force,1,0,0,1,0,2.94,6.19,7.2
95,4,False,1,9,0,14,0,0,1,0,force,2,0,1,1,0,2.28,9.82,10.83
96,4,False,0,9,0,6,1,0,5,1,choice,1,2,0,1,0,2.03,3.73,5.55
97,4,False,1,9,0,15,0,0,14,0,choice,2,2,1,1,0,2.12,6.94,8.91
98,4,False,1,9,0,7,0,0,2,0,choice,2,2,1,1,0,5.24,2.14,4.09
99,4,False,0,9,0,8,1,0,1,1,choice,2,2,1,0,0,1.67,6.42,8.38
100,4,False,0,9,0,14,1,0,13,1,force,1,0,0,1,0,2.11,3.21,4.22
101,4,False,0,9,0,5,1,0,4,1,choice,2,1,0,1,0,1.92,3.75,6.46
102,4,False,1,9,0,14,0,0,13,0,choice,2,1,1,1,0,2.14,2.32,4.53
103,4,False,0,9,0,10,1,0,9,1,force,2,0,0,1,0,1.61,2.54,3.54
104,4,False,0,9,0,13,1,0,1,1,force,1,0,1,0,0,1.86,3.29,4.29
105,4,False,0,9,0,10,1,0,9,1,choice,2,2,0,1,0,2.64,2.32,4.55
106,4,False,1,9,0,13,0,0,12,0,choice,2,2,0,0,0,1.43,1.94,3.69
107,4,False,0,9,0,10,1,1,6,0,choice,1,2,1,0,0,1.98,3.49,5.57
108,4,False,0,9,0,13,1,1,7,0,choice,2,2,1,0,0,2.42,3.25,5.54
109,4,False,0,9,0,9,1,0,8,1,choice,2,1,0,1,0,1.76,2.26,5.39
110,4,False,1,9,0,15,0,0,13,0,choice,1,1,0,0,0,1.7,1.2,3.13
111,4,False,0,9,0,23,1,0,15,1,choice,2,1,0,1,0,2.75,3.6,5.98
112,4,False,0,9,0,13,1,0,10,1,force,2,0,0,1,0,1.81,2.0,3.0
113,4,False,0,9,0,22,1,0,2,1,force,1,0,1,0,0,2.45,3.51,4.51
114,4,False,1,9,0,9,0,0,2,0,force,1,0,1,1,0,1.4,3.2,4.2
115,4,False,0,9,1,5,0,1,5,0,force,2,0,1,0,0,6.13,2.68,3.68
116,4,False,0,9,0,13,1,0,5,1,choice,2,1,1,0,0,1.59,5.85,7.92
117,4,False,1,9,0,14,0,0,3,0,choice,2,1,1,1,0,1.45,2.04,4.22
118,4,False,0,9,0,8,1,0,8,1,force,1,0,0,1,0,1.52,3.2,4.2
119,4,False,0,9,0,9,1,0,8,1,choice,2,1,0,1,0,2.6,4.39,6.66
120,4,False,1,9,0,7,0,0,4,0,choice,2,1,1,1,0,2.35,3.16,5.43
121,4,False,0,9,0,10,1,0,8,1,force,2,0,1,0,0,1.66,2.34,3.35
122,4,False,0,9,0,10,1,0,13,1,choice,2,1,0,1,0,1.88,1.5,3.62
123,4,False,1,9,0,11,0,0,12,0,force,1,0,1,1,0,1.72,1.52,2.52
124,4,False,1,9,0,12,0,0,13,0,force,2,0,0,0,0,1.88,1.81,2.81
125,4,False,1,9,0,7,0,0,7,0,choice,2,2,0,0,0,1.44,2.26,4.23
126,4,False,0,9,0,10,1,0,5,1,choice,1,2,0,1,0,1.67,2.69,4.57
127,4,False,0,9,0,6,1,0,11,1,choice,2,2,0,1,0,1.52,2.39,5.08
128,4,False,1,9,0,4,0,0,4,0,force,1,0,0,0,0,8.48,1.62,2.62
129,4,False,1,9,1,4,1,1,6,1,force,2,0,1,1,0,1.64,1.26,2.26
130,4,False,1,9,1,7,1,1,9,1,choice,1,2,0,0,0,1.25,1.26,3.41
131,4,False,0,9,1,10,0,1,14,0,choice,2,2,0,1,0,2.13,1.58,3.42
132,4,False,1,9,1,4,1,1,3,1,choice,2,1,1,1,0,1.71,5.01,7.49
133,4,False,0,9,1,5,0,1,5,0,choice,1,2,0,1,0,1.33,2.5,4.48
134,4,False,0,9,0,5,1,0,5,1,choice,2,2,0,1,0,1.64,2.64,4.49
135,4,False,0,9,1,4,0,1,1,0,choice,1,1,0,1,0,2.11,2.93,5.11
136,4,False,1,9,1,5,1,1,6,1,force,1,0,1,1,0,1.47,1.96,2.96
137,4,False,0,9,1,4,0,1,2,0,choice,2,2,0,1,0,1.23,2.47,4.57
138,4,False,0,9,1,7,0,0,1,1,choice,1,2,0,1,0,1.4,2.8,4.73
139,4,False,0,9,1,3,0,1,1,0,force,2,0,0,1,0,2.11,5.1,6.11
140,4,False,0,9,1,7,0,0,1,1,choice,1,2,0,1,0,1.62,5.9,7.81
141,4,False,0,9,1,2,0,0,1,1,choice,2,1,0,1,0,1.61,2.42,4.52
142,4,False,1,9,1,4,1,1,5,1,choice,1,2,1,1,0,1.64,2.16,4.17
143,4,False,0,9,0,2,1,0,5,1,choice,1,2,0,1,0,1.8,3.04,4.99
144,4,False,0,9,1,3,0,1,1,0,force,1,0,0,1,0,1.52,4.74,5.74
145,4,False,1,9,1,6,1,1,1,1,choice,2,1,0,0,0,4.65,3.48,5.77
146,4,False,1,9,1,3,1,1,5,1,choice,2,1,1,1,0,1.65,2.11,4.02
147,4,False,0,9,1,3,0,1,10,0,force,2,0,1,0,0,1.44,2.84,3.85
148,4,False,1,9,1,9,1,1,24,1,force,1,0,1,1,0,1.86,2.64,3.65
149,4,False,1,9,1,8,1,1,11,1,choice,2,2,1,1,0,1.65,3.16,5.06
150,4,False,0,9,0,1,1,1,4,0,choice,2,2,1,0,0,1.59,5.11,7.05
151,5,False,0,9,1,4,0,1,5,0,choice,1,2,1,0,0,2.64,1.47,3.37
152,5,False,0,9,1,2,0,0,1,1,choice,2,2,0,1,0,1.5,1.69,3.62
153,5,False,0,9,0,3,1,0,5,1,choice,1,2,0,1,0,2.57,1.4,3.28
154,5,False,1,9,0,3,0,1,1,1,choice,2,2,1,1,0,3.44,2.03,3.91
155,5,False,1,9,1,10,1,1,21,1,choice,2,1,1,1,0,1.76,2.06,4.06
156,5,False,1,9,1,6,1,1,1,1,choice,2,2,0,0,0,1.86,3.48,5.37
157,5,False,0,9,1,5,0,1,1,0,choice,1,2,0,1,0,1.66,2.05,3.81
158,5,False,0,9,0,2,1,0,4,1,choice,1,2,0,1,0,1.51,2.38,4.2
159,5,False,0,9,0,3,1,0,4,1,choice,1,2,0,1,0,1.74,2.07,4.29
160,5,False,0,9,0,3,1,0,8,1,choice,1,1,0,1,0,1.76,2.58,4.52
161,5,False,1,9,1,4,1,1,13,1,force,2,0,1,1,0,1.47,1.8,2.81
162,5,False,1,9,1,7,1,1,10,1,choice,2,2,1,1,0,1.56,1.69,3.51
163,5,False,1,9,0,4,0,0,7,0,force,1,0,0,0,0,2.06,1.6,2.6
164,5,False,0,9,0,4,1,0,6,1,force,2,0,0,1,0,2.74,1.38,2.38
165,5,False,0,9,0,3,1,0,9,1,force,1,0,0,1,0,1.49,1.45,2.46
166,5,False,1,9,1,3,1,1,5,1,choice,2,2,1,1,0,2.58,1.64,3.73
167,5,False,0,9,0,2,1,0,3,1,choice,1,2,0,1,0,2.08,1.91,3.64
168,5,False,1,9,1,5,1,1,8,1,choice,1,2,1,1,0,1.55,1.69,3.63
169,5,False,1,9,0,3,0,0,1,0,choice,2,2,1,1,0,1.59,3.5,5.67
170,5,False,0,9,0,5,1,0,9,1,choice,2,2,0,1,0,2.66,1.82,3.73
171,5,False,1,9,0,1,0,0,2,0,force,2,0,1,1,0,2.78,3.94,4.94
172,5,False,0,9,0,3,1,0,5,1,choice,2,2,0,1,0,2.24,1.91,3.74
173,5,False,0,9,0,8,1,0,13,1,force,2,0,0,1,0,2.11,2.7,3.7
174,5,False,1,9,1,3,1,1,8,1,force,1,0,1,1,0,2.1,2.81,3.81
175,5,False,1,9,0,4,0,1,3,1,choice,2,2,1,1,0,1.52,2.78,4.92
176,5,False,1,9,0,3,0,0,1,0,force,2,0,1,1,0,1.89,5.56,6.56
177,5,False,1,9,0,2,0,0,1,0,force,1,0,1,1,0,2.04,4.31,5.31
178,5,False,1,9,1,2,1,1,4,1,force,2,0,1,1,0,1.54,1.8,2.8
179,5,False,1,9,1,4,1,1,1,1,choice,1,2,0,0,0,1.39,1.74,3.74
180,5,False,1,9,0,1,0,1,3,1,choice,2,2,1,1,0,1.65,2.42,4.5
181,5,False,1,9,0,3,0,0,7,0,choice,2,2,0,0,0,1.72,1.44,3.33
182,5,False,1,9,1,2,1,1,4,1,choice,1,2,1,1,0,1.46,1.58,3.4
183,5,False,0,9,0,6,1,0,7,1,choice,2,2,0,1,0,1.39,1.92,3.78
184,5,False,0,9,0,1,1,1,2,0,force,1,0,1,0,0,9.29,2.12,3.13
185,5,False,1,9,1,5,1,1,6,1,choice,2,2,1,1,0,1.56,1.36,3.46
186,5,False,0,9,1,1,0,0,2,1,choice,2,2,0,1,0,2.37,1.77,3.63
187,5,False,1,9,0,6,0,0,1,0,force,1,0,1,1,0,2.39,2.11,3.11
188,5,False,1,9,0,2,0,0,3,0,force,2,0,1,1,0,1.37,1.97,2.98
189,5,False,1,9,0,1,0,0,1,0,choice,1,2,1,1,0,2.89,3.12,4.95
190,5,False,0,9,0,3,1,0,4,1,choice,1,2,0,1,0,1.56,3.28,5.07
191,5,False,1,9,1,6,1,1,3,1,force,2,0,0,0,0,1.44,1.76,2.76
192,5,False,0,9,0,6,1,0,8,1,choice,1,2,0,1,0,1.51,1.86,3.83
193,5,False,1,9,1,4,1,1,9,1,choice,1,2,1,1,0,1.29,1.45,3.42
194,5,False,1,9,0,6,0,0,1,0,force,1,0,1,1,0,1.85,2.06,3.06
195,5,False,0,9,0,2,1,0,13,1,choice,2,2,0,1,0,1.55,1.08,2.94
196,5,False,1,9,0,7,0,0,14,0,choice,2,2,0,0,0,2.09,2.67,4.51
197,5,False,1,9,0,4,0,0,1,0,choice,1,2,1,1,0,1.35,2.36,4.13
198,5,False,1,9,0,1,0,1,6,1,choice,1,2,1,1,0,2.5,1.97,3.73
