trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,24,0,,,,catch,0,0,,0,0,3.93,,
2,1,True,0,15,0,33,1,,,,catch,0,0,,0,0,2.58,,
3,1,True,0,15,0,33,1,,,,catch,0,0,,0,0,1.89,,
4,1,True,0,14,0,27,1,,,,catch,0,0,,0,0,2.55,,
5,1,True,1,14,1,27,1,,,,catch,0,0,,0,0,1.78,,
6,1,True,1,13,1,20,1,,,,catch,0,0,,0,0,1.55,,
7,1,True,1,13,0,30,0,,,,catch,0,0,,0,0,1.55,,
8,1,True,1,14,1,28,1,,,,catch,0,0,,0,0,1.55,,
9,1,True,0,14,1,28,0,,,,catch,0,0,,0,0,2.18,,
10,1,True,0,15,0,27,1,,,,catch,0,0,,0,0,1.6,,
11,1,True,0,15,0,28,1,,,,catch,0,0,,0,0,1.92,,
12,1,True,0,14,0,28,1,,,,catch,0,0,,0,0,1.58,,
13,1,True,1,14,0,39,0,,,,catch,0,0,,0,0,1.49,,
14,1,True,1,15,1,23,1,,,,catch,0,0,,0,0,1.83,,
15,1,True,1,15,1,37,1,,,,catch,0,0,,0,0,1.3,,
16,1,True,0,14,0,32,1,,,,catch,0,0,,0,0,1.46,,
17,1,True,0,14,0,31,1,,,,catch,0,0,,0,0,1.54,,
18,1,True,0,13,0,32,1,,,,catch,0,0,,0,0,1.43,,
19,1,True,1,13,1,27,1,,,,catch,0,0,,0,0,1.11,,
20,1,True,0,12,0,27,1,,,,catch,0,0,,0,0,1.36,,
21,1,True,0,12,0,23,1,,,,catch,0,0,,0,0,2.52,,
22,1,True,1,11,0,30,0,,,,catch,0,0,,0,0,1.63,,
23,1,True,1,12,1,23,1,,,,catch,0,0,,0,0,1.39,,
24,1,True,1,12,1,33,1,,,,catch,0,0,,0,0,1.11,,
25,1,True,1,11,0,24,0,,,,catch,0,0,,0,0,1.28,,
26,1,True,0,12,0,36,1,,,,catch,0,0,,0,0,1.21,,
27,1,True,1,12,1,16,1,,,,catch,0,0,,0,0,1.23,,
28,1,True,1,11,0,23,0,,,,catch,0,0,,0,0,1.32,,
29,1,True,1,12,1,22,1,,,,catch,0,0,,0,0,1.53,,
30,1,True,1,12,1,18,1,,,,catch,0,0,,0,0,1.63,,
31,2,True,1,11,0,23,0,,,,catch,0,0,,0,0,1.39,,
32,2,True,1,12,1,12,1,,,,catch,0,0,,0,0,1.75,,
33,2,True,1,12,0,11,0,,,,catch,0,0,,0,0,1.27,,
34,2,True,1,13,1,17,1,,,,catch,0,0,,0,0,1.26,,
35,2,True,1,13,0,20,0,,,,catch,0,0,,0,0,1.09,,
36,2,True,0,14,1,19,0,,,,catch,0,0,,0,0,1.25,,
37,2,True,1,15,0,22,0,,,,catch,0,0,,0,0,1.26,,
38,2,True,0,15,0,22,1,,,,catch,0,0,,0,0,1.2,,
39,2,True,1,15,0,21,0,,,,catch,0,0,,0,0,1.46,,
40,2,True,0,15,0,27,1,,,,catch,0,0,,0,0,1.21,,
41,2,True,0,15,0,24,1,,,,catch,0,0,,0,0,1.34,,
42,2,True,0,14,1,15,0,,,,catch,0,0,,0,0,1.15,,
43,2,True,0,15,0,31,1,,,,catch,0,0,,0,0,1.11,,
44,2,True,0,15,0,24,1,,,,catch,0,0,,0,0,1.13,,
45,2,True,0,14,0,28,1,,,,catch,0,0,,0,0,1.94,,
46,2,True,1,14,0,27,0,,,,catch,0,0,,0,0,1.52,,
47,2,True,1,15,0,23,0,,,,catch,0,0,,0,0,1.5,,
48,2,True,1,15,1,27,1,,,,catch,0,0,,0,0,1.27,,
49,2,True,1,15,0,25,0,,,,catch,0,0,,0,0,1.51,,
50,2,True,1,15,1,23,1,,,,catch,0,0,,0,0,1.57,,
51,2,True,0,15,1,19,0,,,,catch,0,0,,0,0,1.37,,
52,2,True,1,15,1,18,1,,,,catch,0,0,,0,0,1.58,,
53,2,True,1,15,0,20,0,,,,catch,0,0,,0,0,1.14,,
54,2,True,1,15,1,18,1,,,,catch,0,0,,0,0,1.2,,
55,2,True,1,15,1,20,1,,,,catch,0,0,,0,0,1.51,,
56,2,True,1,14,1,17,1,,,,catch,0,0,,0,0,1.27,,
57,2,True,1,14,1,21,1,,,,catch,0,0,,0,0,1.54,,
58,2,True,1,13,1,20,1,,,,catch,0,0,,0,0,1.17,,
59,2,True,1,13,1,18,1,,,,catch,0,0,,0,0,1.36,,
60,2,True,0,12,0,26,1,,,,catch,0,0,,0,0,1.32,,
61,3,True,1,12,1,17,1,,,,catch,0,0,,0,0,1.82,,
62,3,True,0,11,0,25,1,,,,catch,0,0,,0,0,1.14,,
63,3,True,1,11,1,21,1,,,,catch,0,0,,0,0,1.46,,
