trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,1,1,,,,catch,0,0,,0,0,11.44,,
2,1,True,0,15,0,9,1,,,,catch,0,0,,0,0,8.5,,
3,1,True,1,15,1,9,1,,,,catch,0,0,,0,0,4.47,,
4,1,True,1,14,0,1,0,,,,catch,0,0,,0,0,3.88,,
5,1,True,0,15,0,16,1,,,,catch,0,0,,0,0,5.32,,
6,1,True,1,15,0,13,0,,,,catch,0,0,,0,0,2.34,,
7,1,True,0,15,0,10,1,,,,catch,0,0,,0,0,3.17,,
8,1,True,1,15,1,4,1,,,,catch,0,0,,0,0,3.38,,
9,1,True,1,14,0,4,0,,,,catch,0,0,,0,0,2.57,,
10,1,True,0,15,0,2,1,,,,catch,0,0,,0,0,2.08,,
11,1,True,0,15,0,11,1,,,,catch,0,0,,0,0,2.4,,
12,1,True,1,14,0,1,0,,,,catch,0,0,,0,0,3.08,,
13,1,True,1,15,0,9,0,,,,catch,0,0,,0,0,4.34,,
14,1,True,1,15,0,1,0,,,,catch,0,0,,0,0,4.66,,
15,1,True,0,15,0,7,1,,,,catch,0,0,,0,0,5.24,,
16,1,True,0,15,0,29,1,,,,catch,0,0,,0,0,2.34,,
17,1,True,1,14,1,2,1,,,,catch,0,0,,0,0,3.42,,
18,1,True,0,14,0,19,1,,,,catch,0,0,,0,0,3.2,,
19,1,True,0,13,0,30,1,,,,catch,0,0,,0,0,3.48,,
20,1,True,0,13,0,31,1,,,,catch,0,0,,0,0,3.28,,
21,1,True,0,12,0,34,1,,,,catch,0,0,,0,0,3.44,,
22,1,True,0,12,0,32,1,,,,catch,0,0,,0,0,2.34,,
23,1,True,1,11,0,14,0,,,,catch,0,0,,0,0,4.97,,
24,1,True,0,12,0,27,1,,,,catch,0,0,,0,0,2.65,,
25,1,True,1,12,0,15,0,,,,catch,0,0,,0,0,2.49,,
26,1,True,0,13,0,20,1,,,,catch,0,0,,0,0,3.85,,
27,1,True,1,13,1,2,1,,,,catch,0,0,,0,0,3.16,,
28,1,True,1,12,1,6,1,,,,catch,0,0,,0,0,3.04,,
29,1,True,0,12,1,10,0,,,,catch,0,0,,0,0,2.18,,
30,1,True,1,13,1,4,1,,,,catch,0,0,,0,0,2.72,,
31,2,True,0,13,0,3,1,,,,catch,0,0,,0,0,3.08,,
32,2,True,1,12,0,6,0,,,,catch,0,0,,0,0,2.05,,
33,2,True,1,13,0,4,0,,,,catch,0,0,,0,0,2.45,,
34,2,True,1,14,0,4,0,,,,catch,0,0,,0,0,2.12,,
35,2,True,0,15,0,4,1,,,,catch,0,0,,0,0,2.39,,
36,2,True,0,15,0,26,1,,,,catch,0,0,,0,0,2.65,,
37,2,True,0,14,0,40,1,,,,catch,0,0,,0,0,2.89,,
38,2,True,0,14,0,19,1,,,,catch,0,0,,0,0,3.28,,
39,2,True,1,13,1,10,1,,,,catch,0,0,,0,0,2.3,,
40,2,True,1,13,1,9,1,,,,catch,0,0,,0,0,2.74,,
41,2,True,0,12,1,6,0,,,,catch,0,0,,0,0,3.16,,
42,2,True,1,13,1,3,1,,,,catch,0,0,,0,0,2.18,,
