trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,1,2,0,,,,catch,0,0,,0,0,5.38,,
2,1,True,0,15,1,1,0,,,,catch,0,0,,0,0,6.67,,
3,1,True,1,15,1,2,1,,,,catch,0,0,,0,0,6.44,,
4,1,True,1,15,0,7,0,,,,catch,0,0,,0,0,5.69,,
5,1,True,0,15,1,2,0,,,,catch,0,0,,0,0,6.84,,
6,1,True,1,15,0,6,0,,,,catch,0,0,,0,0,3.33,,
7,1,True,1,15,0,4,0,,,,catch,0,0,,0,0,3.15,,
8,1,True,1,15,0,3,0,,,,catch,0,0,,0,0,5.04,,
9,1,True,0,15,0,12,1,,,,catch,0,0,,0,0,2.83,,
10,1,True,0,15,0,8,1,,,,catch,0,0,,0,0,2.9,,
11,1,True,1,14,1,2,1,,,,catch,0,0,,0,0,4.19,,
12,1,True,0,14,0,6,1,,,,catch,0,0,,0,0,3.56,,
13,1,True,1,13,0,9,0,,,,catch,0,0,,0,0,2.94,,
14,1,True,1,14,0,1,0,,,,catch,0,0,,0,0,3.3,,
15,1,True,1,15,1,9,1,,,,catch,0,0,,0,0,2.8,,
16,1,True,0,15,0,5,1,,,,catch,0,0,,0,0,2.83,,
17,1,True,0,14,0,15,1,,,,catch,0,0,,0,0,3.03,,
18,1,True,1,14,1,7,1,,,,catch,0,0,,0,0,2.86,,
19,1,True,1,13,0,17,0,,,,catch,0,0,,0,0,3.73,,
20,1,True,0,14,0,14,1,,,,catch,0,0,,0,0,2.33,,
21,1,True,0,14,0,14,1,,,,catch,0,0,,0,0,2.31,,
22,1,True,1,13,0,13,0,,,,catch,0,0,,0,0,2.59,,
23,1,True,0,14,0,5,1,,,,catch,0,0,,0,0,2.56,,
24,1,True,0,14,0,1,1,,,,catch,0,0,,0,0,6.21,,
25,1,True,0,13,1,2,0,,,,catch,0,0,,0,0,4.6,,
26,1,True,0,14,0,12,1,,,,catch,0,0,,0,0,3.36,,
27,1,True,0,14,0,3,1,,,,catch,0,0,,0,0,3.02,,
28,1,True,0,13,0,2,1,,,,catch,0,0,,0,0,2.78,,
29,1,True,0,13,1,2,0,,,,catch,0,0,,0,0,3.77,,
30,1,True,0,14,1,1,0,,,,catch,0,0,,0,0,4.03,,
31,2,True,1,15,0,1,0,,,,catch,0,0,,0,0,3.54,,
32,2,True,1,15,0,1,0,,,,catch,0,0,,0,0,5.79,,
