trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,16,0,,,,catch,0,0,,0,0,17.36,,
2,1,True,1,15,1,19,1,,,,catch,0,0,,0,0,4.34,,
3,1,True,0,15,0,21,1,,,,catch,0,0,,0,0,4.18,,
4,1,True,0,14,0,31,1,,,,catch,0,0,,0,0,4.21,,
5,1,True,1,14,1,34,1,,,,catch,0,0,,0,0,2.53,,
6,1,True,1,13,1,21,1,,,,catch,0,0,,0,0,2.36,,
7,1,True,1,13,1,19,1,,,,catch,0,0,,0,0,3.26,,
8,1,True,1,12,1,19,1,,,,catch,0,0,,0,0,3.49,,
9,1,True,1,12,1,31,1,,,,catch,0,0,,0,0,2.11,,
10,1,True,1,11,1,28,1,,,,catch,0,0,,0,0,2.15,,
11,1,True,1,11,1,26,1,,,,catch,0,0,,0,0,2.75,,
12,1,True,0,10,1,30,0,,,,catch,0,0,,0,0,4.47,,
13,1,True,1,11,1,16,1,,,,catch,0,0,,0,0,2.22,,
14,1,True,0,11,1,19,0,,,,catch,0,0,,0,0,3.39,,
15,1,True,0,12,0,6,1,,,,catch,0,0,,0,0,4.91,,
16,1,True,1,12,1,7,1,,,,catch,0,0,,0,0,3.61,,
17,1,True,1,11,1,13,1,,,,catch,0,0,,0,0,3.77,,
18,1,True,1,11,1,19,1,,,,catch,0,0,,0,0,2.24,,
19,1,True,0,10,1,19,0,,,,catch,0,0,,0,0,1.9,,
20,1,True,1,11,1,23,1,,,,catch,0,0,,0,0,3.98,,
21,1,True,0,11,1,14,0,,,,catch,0,0,,0,0,1.85,,
22,1,True,0,12,0,14,1,,,,catch,0,0,,0,0,3.01,,
23,1,True,1,12,1,15,1,,,,catch,0,0,,0,0,2.3,,
24,1,True,0,11,0,22,1,,,,catch,0,0,,0,0,1.8,,
25,1,True,1,11,1,22,1,,,,catch,0,0,,0,0,2.22,,
26,1,True,1,10,0,21,0,,,,catch,0,0,,0,0,5.56,,
27,1,True,1,11,1,17,1,,,,catch,0,0,,0,0,1.97,,
28,1,True,1,11,1,15,1,,,,catch,0,0,,0,0,2.12,,
29,1,True,0,10,1,32,0,,,,catch,0,0,,0,0,2.34,,
30,1,True,1,11,1,10,1,,,,catch,0,0,,0,0,4.42,,
31,2,True,1,11,1,20,1,,,,catch,0,0,,0,0,1.69,,
32,2,True,0,10,0,7,1,,,,catch,0,0,,0,0,2.67,,
33,2,True,1,10,0,24,0,,,,catch,0,0,,0,0,3.04,,
34,2,True,0,11,1,18,0,,,,catch,0,0,,0,0,2.77,,
35,2,True,0,12,1,21,0,,,,catch,0,0,,0,0,3.49,,
36,2,True,0,13,0,15,1,,,,catch,0,0,,0,0,3.79,,
37,2,True,0,13,1,22,0,,,,catch,0,0,,0,0,2.3,,
38,2,True,0,14,0,24,1,,,,catch,0,0,,0,0,2.47,,
39,2,True,1,14,0,15,0,,,,catch,0,0,,0,0,2.83,,
40,2,True,0,15,1,26,0,,,,catch,0,0,,0,0,3.14,,
41,2,True,1,15,1,17,1,,,,catch,0,0,,0,0,3.07,,
42,2,True,1,15,1,18,1,,,,catch,0,0,,0,0,2.11,,
43,2,True,0,14,1,16,0,,,,catch,0,0,,0,0,4.58,,
44,2,True,0,15,0,20,1,,,,catch,0,0,,0,0,2.49,,
45,2,True,0,15,0,8,1,,,,catch,0,0,,0,0,2.78,,
46,2,True,1,14,1,22,1,,,,catch,0,0,,0,0,4.31,,
47,2,True,1,14,1,15,1,,,,catch,0,0,,0,0,4.42,,
48,2,True,1,13,0,7,0,,,,catch,0,0,,0,0,3.15,,
49,2,True,0,14,0,15,1,,,,catch,0,0,,0,0,2.93,,
50,2,True,0,14,0,16,1,,,,catch,0,0,,0,0,3.93,,
51,2,True,1,13,1,27,1,,,,catch,0,0,,0,0,3.26,,
52,2,True,0,13,1,22,0,,,,catch,0,0,,0,0,4.51,,
53,2,True,0,14,1,18,0,,,,catch,0,0,,0,0,2.77,,
54,2,True,1,15,0,17,0,,,,catch,0,0,,0,0,2.72,,
55,2,True,0,15,1,20,0,,,,catch,0,0,,0,0,2.2,,
56,2,True,0,15,0,24,1,,,,catch,0,0,,0,0,2.82,,
57,2,True,0,15,0,26,1,,,,catch,0,0,,0,0,2.86,,
58,2,True,0,14,0,18,1,,,,catch,0,0,,0,0,2.94,,
59,2,True,0,14,0,30,1,,,,catch,0,0,,0,0,2.69,,
60,2,True,1,13,1,28,1,,,,catch,0,0,,0,0,2.13,,
