trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,10,0,,,,catch,0,0,,0,0,10.79,,
2,1,True,0,15,0,10,1,,,,catch,0,0,,0,0,4.55,,
3,1,True,0,15,1,20,0,,,,catch,0,0,,0,0,2.5,,
4,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,2.25,,
5,1,True,1,15,1,23,1,,,,catch,0,0,,0,0,1.97,,
6,1,True,1,14,1,35,1,,,,catch,0,0,,0,0,2.15,,
7,1,True,0,14,1,36,0,,,,catch,0,0,,0,0,2.17,,
8,1,True,1,15,1,21,1,,,,catch,0,0,,0,0,1.73,,
9,1,True,1,15,1,33,1,,,,catch,0,0,,0,0,1.77,,
10,1,True,1,14,1,34,1,,,,catch,0,0,,0,0,1.81,,
11,1,True,0,14,0,18,1,,,,catch,0,0,,0,0,1.85,,
12,1,True,0,13,1,22,0,,,,catch,0,0,,0,0,1.69,,
13,1,True,0,14,0,24,1,,,,catch,0,0,,0,0,1.79,,
14,1,True,1,14,1,34,1,,,,catch,0,0,,0,0,2.02,,
15,1,True,1,13,0,19,0,,,,catch,0,0,,0,0,3.51,,
16,1,True,0,14,0,11,1,,,,catch,0,0,,0,0,1.91,,
17,1,True,0,14,0,17,1,,,,catch,0,0,,0,0,1.72,,
18,1,True,0,13,1,20,0,,,,catch,0,0,,0,0,2.76,,
19,1,True,0,14,0,18,1,,,,catch,0,0,,0,0,1.98,,
20,1,True,1,14,1,15,1,,,,catch,0,0,,0,0,1.83,,
21,1,True,0,13,1,31,0,,,,catch,0,0,,0,0,1.8,,
22,1,True,0,14,1,21,0,,,,catch,0,0,,0,0,2.34,,
23,1,True,1,15,1,38,1,,,,catch,0,0,,0,0,2.35,,
24,1,True,1,15,1,30,1,,,,catch,0,0,,0,0,2.22,,
25,1,True,0,14,1,28,0,,,,catch,0,0,,0,0,2.44,,
26,1,True,1,15,1,15,1,,,,catch,0,0,,0,0,1.87,,
27,1,True,1,15,1,19,1,,,,catch,0,0,,0,0,1.82,,
28,1,True,0,14,1,24,0,,,,catch,0,0,,0,0,1.47,,
29,1,True,1,15,1,9,1,,,,catch,0,0,,0,0,1.95,,
30,1,True,1,15,0,24,0,,,,catch,0,0,,0,0,2.4,,
31,2,True,0,15,1,22,0,,,,catch,0,0,,0,0,2.38,,
32,2,True,1,15,1,21,1,,,,catch,0,0,,0,0,2.26,,
