trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,23,1,,,,catch,0,0,,0,0,13.72,,
2,1,True,1,15,0,19,0,,,,catch,0,0,,0,0,11.45,,
3,1,True,0,15,1,17,0,,,,catch,0,0,,0,0,7.03,,
4,1,True,1,15,0,24,0,,,,catch,0,0,,0,0,3.49,,
5,1,True,0,15,0,33,1,,,,catch,0,0,,0,0,3.5,,
6,1,True,0,15,0,12,1,,,,catch,0,0,,0,0,2.65,,
7,1,True,1,14,1,31,1,,,,catch,0,0,,0,0,2.39,,
8,1,True,1,14,1,26,1,,,,catch,0,0,,0,0,2.57,,
9,1,True,1,13,0,19,0,,,,catch,0,0,,0,0,3.81,,
10,1,True,1,14,0,33,0,,,,catch,0,0,,0,0,2.89,,
11,1,True,1,15,1,10,1,,,,catch,0,0,,0,0,10.67,,
12,1,True,0,15,0,32,1,,,,catch,0,0,,0,0,3.18,,
13,1,True,0,14,0,26,1,,,,catch,0,0,,0,0,2.92,,
14,1,True,1,14,1,33,1,,,,catch,0,0,,0,0,2.04,,
15,1,True,1,13,1,27,1,,,,catch,0,0,,0,0,2.87,,
16,1,True,0,13,0,33,1,,,,catch,0,0,,0,0,3.04,,
17,1,True,1,12,0,31,0,,,,catch,0,0,,0,0,2.28,,
18,1,True,1,13,0,17,0,,,,catch,0,0,,0,0,2.82,,
19,1,True,0,14,0,36,1,,,,catch,0,0,,0,0,1.93,,
20,1,True,1,14,1,13,1,,,,catch,0,0,,0,0,4.6,,
21,1,True,1,13,1,33,1,,,,catch,0,0,,0,0,2.21,,
22,1,True,1,13,1,11,1,,,,catch,0,0,,0,0,5.45,,
23,1,True,1,12,0,20,0,,,,catch,0,0,,0,0,6.34,,
24,1,True,0,13,0,27,1,,,,catch,0,0,,0,0,5.69,,
25,1,True,0,13,0,35,1,,,,catch,0,0,,0,0,1.66,,
26,1,True,1,12,0,43,0,,,,catch,0,0,,0,0,2.12,,
27,1,True,1,13,0,12,0,,,,catch,0,0,,0,0,7.12,,
28,1,True,1,14,0,34,0,,,,catch,0,0,,0,0,3.95,,
29,1,True,0,15,0,23,1,,,,catch,0,0,,0,0,3.03,,
30,1,True,0,15,1,38,0,,,,catch,0,0,,0,0,2.22,,
31,2,True,1,15,1,23,1,,,,catch,0,0,,0,0,8.96,,
32,2,True,1,15,0,41,0,,,,catch,0,0,,0,0,1.78,,
33,2,True,1,15,0,28,0,,,,catch,0,0,,0,0,3.6,,
34,2,True,0,15,0,9,1,,,,catch,0,0,,0,0,2.98,,
35,2,True,1,15,1,43,1,,,,catch,0,0,,0,0,1.8,,
36,2,True,0,14,0,45,1,,,,catch,0,0,,0,0,1.55,,
37,2,True,0,14,0,12,1,,,,catch,0,0,,0,0,2.73,,
38,2,True,1,13,1,44,1,,,,catch,0,0,,0,0,1.68,,
39,2,True,0,13,0,15,1,,,,catch,0,0,,0,0,3.55,,
40,2,True,1,12,0,30,0,,,,catch,0,0,,0,0,1.83,,
41,2,True,1,13,1,11,1,,,,catch,0,0,,0,0,3.09,,
42,2,True,0,13,0,43,1,,,,catch,0,0,,0,0,1.46,,
43,2,True,0,12,0,17,1,,,,catch,0,0,,0,0,1.84,,
44,2,True,0,12,0,22,1,,,,catch,0,0,,0,0,3.38,,
45,2,True,0,11,0,40,1,,,,catch,0,0,,0,0,1.68,,
46,2,True,1,11,1,38,1,,,,catch,0,0,,0,0,2.56,,
47,2,True,1,10,0,16,0,,,,catch,0,0,,0,0,2.46,,
48,2,True,0,11,0,40,1,,,,catch,0,0,,0,0,1.68,,
49,2,True,1,11,1,33,1,,,,catch,0,0,,0,0,2.7,,
50,2,True,0,10,1,15,0,,,,catch,0,0,,0,0,2.47,,
51,2,True,0,11,0,32,1,,,,catch,0,0,,0,0,1.63,,
52,2,True,1,11,0,15,0,,,,catch,0,0,,0,0,1.59,,
53,2,True,0,12,0,27,1,,,,catch,0,0,,0,0,2.5,,
54,2,True,1,12,1,38,1,,,,catch,0,0,,0,0,1.57,,
55,2,True,1,11,1,35,1,,,,catch,0,0,,0,0,2.15,,
56,2,True,0,11,1,10,0,,,,catch,0,0,,0,0,2.69,,
57,2,True,0,12,0,19,1,,,,catch,0,0,,0,0,5.47,,
58,2,True,1,12,0,26,0,,,,catch,0,0,,0,0,6.46,,
59,2,True,1,13,1,23,1,,,,catch,0,0,,0,0,2.28,,
60,2,True,1,13,1,12,1,,,,catch,0,0,,0,0,2.41,,
61,3,True,1,12,0,22,0,,,,catch,0,0,,0,0,2.59,,
62,3,True,0,13,0,42,1,,,,catch,0,0,,0,0,1.46,,
63,3,True,0,13,0,41,1,,,,catch,0,0,,0,0,2.47,,
64,3,True,1,12,1,33,1,,,,catch,0,0,,0,0,1.6,,
65,3,True,1,12,1,20,1,,,,catch,0,0,,0,0,1.48,,
66,3,True,0,11,0,43,1,,,,catch,0,0,,0,0,2.25,,
67,3,True,0,11,0,39,1,,,,catch,0,0,,0,0,1.41,,
68,3,True,1,10,0,30,0,,,,catch,0,0,,0,0,2.33,,
69,3,True,1,11,1,45,1,,,,catch,0,0,,0,0,1.74,,
70,3,True,1,11,1,14,1,,,,catch,0,0,,0,0,1.51,,
71,3,True,1,10,1,30,1,,,,catch,0,0,,0,0,1.49,,
72,3,True,0,10,0,24,1,,,,catch,0,0,,0,0,1.46,,
73,3,True,1,9,0,25,0,,,,catch,0,0,,0,0,1.55,,
74,3,True,1,10,1,11,1,,,,catch,0,0,,0,0,2.42,,
75,3,True,1,10,0,26,0,,,,catch,0,0,,0,0,1.82,,
76,3,True,1,11,0,36,0,,,,catch,0,0,,0,0,1.43,,
77,3,True,0,12,0,14,1,,,,catch,0,0,,0,0,3.07,,
78,3,True,0,12,0,37,1,,,,catch,0,0,,0,0,1.65,,
79,3,True,1,11,1,28,1,,,,catch,0,0,,0,0,2.41,,
80,3,True,1,11,1,43,1,,,,catch,0,0,,0,0,1.65,,
81,3,True,1,10,0,33,0,,,,catch,0,0,,0,0,2.06,,
82,3,True,1,11,0,28,0,,,,catch,0,0,,0,0,1.64,,
83,3,True,1,12,0,39,0,,,,catch,0,0,,0,0,1.45,,
84,3,True,1,13,0,19,0,,,,catch,0,0,,0,0,7.34,,
85,3,True,1,14,0,16,0,,,,catch,0,0,,0,0,5.61,,
86,3,True,1,15,1,8,1,,,,catch,0,0,,0,0,3.29,,
87,3,True,0,15,0,37,1,,,,catch,0,0,,0,0,1.46,,
