trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,19,0,,,,catch,0,0,,0,0,4.69,,
2,1,True,0,15,0,11,1,,,,catch,0,0,,0,0,7.58,,
3,1,True,0,15,0,9,1,,,,catch,0,0,,0,0,1.45,,
4,1,True,1,14,1,14,1,,,,catch,0,0,,0,0,1.44,,
5,1,True,1,14,1,24,1,,,,catch,0,0,,0,0,1.43,,
6,1,True,0,13,0,24,1,,,,catch,0,0,,0,0,1.31,,
7,1,True,0,13,0,24,1,,,,catch,0,0,,0,0,1.08,,
8,1,True,1,12,0,21,0,,,,catch,0,0,,0,0,1.09,,
9,1,True,0,13,1,11,0,,,,catch,0,0,,0,0,1.11,,
10,1,True,1,14,1,13,1,,,,catch,0,0,,0,0,1.45,,
11,1,True,0,14,0,13,1,,,,catch,0,0,,0,0,1.55,,
12,1,True,1,13,1,13,1,,,,catch,0,0,,0,0,1.09,,
13,1,True,1,13,0,17,0,,,,catch,0,0,,0,0,1.06,,
14,1,True,1,14,1,13,1,,,,catch,0,0,,0,0,1.02,,
15,1,True,1,14,0,22,0,,,,catch,0,0,,0,0,1.11,,
16,1,True,0,15,1,12,0,,,,catch,0,0,,0,0,1.38,,
17,1,True,0,15,0,22,1,,,,catch,0,0,,0,0,0.97,,
18,1,True,1,15,1,7,1,,,,catch,0,0,,0,0,1.52,,
19,1,True,1,14,1,5,1,,,,catch,0,0,,0,0,1.72,,
20,1,True,0,14,0,10,1,,,,catch,0,0,,0,0,1.39,,
21,1,True,0,13,0,10,1,,,,catch,0,0,,0,0,0.94,,
22,1,True,0,13,0,11,1,,,,catch,0,0,,0,0,0.94,,
23,1,True,1,12,1,10,1,,,,catch,0,0,,0,0,1.34,,
24,1,True,1,12,1,11,1,,,,catch,0,0,,0,0,1.01,,
25,1,True,1,11,1,13,1,,,,catch,0,0,,0,0,0.98,,
26,1,True,1,11,1,13,1,,,,catch,0,0,,0,0,0.92,,
27,1,True,0,10,0,12,1,,,,catch,0,0,,0,0,0.94,,
28,1,True,1,10,1,8,1,,,,catch,0,0,,0,0,0.94,,
29,1,True,0,9,0,15,1,,,,catch,0,0,,0,0,0.87,,
30,1,True,0,9,0,13,1,,,,catch,0,0,,0,0,0.81,,
31,2,True,0,8,0,12,1,,,,catch,0,0,,0,0,0.97,,
32,2,True,1,8,1,7,1,,,,catch,0,0,,0,0,1.04,,
33,2,True,0,7,0,12,1,,,,catch,0,0,,0,0,0.86,,
34,2,True,1,7,1,11,1,,,,catch,0,0,,0,0,0.96,,
35,2,True,0,6,1,10,0,,,,catch,0,0,,0,0,1.3,,
36,2,True,0,7,1,8,0,,,,catch,0,0,,0,0,1.02,,
37,2,True,0,8,1,11,0,,,,catch,0,0,,0,0,1.05,,
38,2,True,0,9,1,12,0,,,,catch,0,0,,0,0,0.93,,
39,2,True,1,10,1,10,1,,,,catch,0,0,,0,0,1.57,,
40,2,True,1,10,1,11,1,,,,catch,0,0,,0,0,1.11,,
41,2,True,1,9,1,10,1,,,,catch,0,0,,0,0,0.97,,
42,2,True,1,9,1,10,1,,,,catch,0,0,,0,0,1.19,,
43,2,True,1,8,1,9,1,,,,catch,0,0,,0,0,0.85,,
44,2,True,0,8,1,11,0,,,,catch,0,0,,0,0,1.01,,
45,2,True,0,9,0,7,1,,,,catch,0,0,,0,0,1.28,,
46,2,True,0,9,1,3,0,,,,catch,0,0,,0,0,0.95,,
47,2,True,1,10,1,7,1,,,,catch,0,0,,0,0,1.17,,
