trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,15,1,,,,catch,0,0,,0,0,10.55,,
2,1,True,1,15,1,17,1,,,,catch,0,0,,0,0,2.21,,
3,1,True,1,15,0,10,0,,,,catch,0,0,,0,0,1.96,,
4,1,True,1,15,0,13,0,,,,catch,0,0,,0,0,2.48,,
5,1,True,1,15,0,12,0,,,,catch,0,0,,0,0,2.51,,
6,1,True,0,15,1,14,0,,,,catch,0,0,,0,0,1.53,,
7,1,True,1,15,0,18,0,,,,catch,0,0,,0,0,1.56,,
8,1,True,0,15,0,20,1,,,,catch,0,0,,0,0,1.23,,
9,1,True,1,15,0,26,0,,,,catch,0,0,,0,0,1.4,,
10,1,True,1,15,1,24,1,,,,catch,0,0,,0,0,1.7,,
11,1,True,0,15,0,3,1,,,,catch,0,0,,0,0,1.71,,
12,1,True,1,14,0,16,0,,,,catch,0,0,,0,0,1.34,,
13,1,True,0,15,0,18,1,,,,catch,0,0,,0,0,2.08,,
14,1,True,0,15,0,21,1,,,,catch,0,0,,0,0,1.46,,
15,1,True,1,14,1,18,1,,,,catch,0,0,,0,0,1.35,,
16,1,True,0,14,1,23,0,,,,catch,0,0,,0,0,1.34,,
17,1,True,0,15,0,21,1,,,,catch,0,0,,0,0,1.21,,
18,1,True,1,15,1,26,1,,,,catch,0,0,,0,0,1.57,,
19,1,True,1,14,1,23,1,,,,catch,0,0,,0,0,1.12,,
20,1,True,0,14,0,15,1,,,,catch,0,0,,0,0,1.92,,
21,1,True,1,13,1,22,1,,,,catch,0,0,,0,0,1.22,,
22,1,True,1,13,1,14,1,,,,catch,0,0,,0,0,1.05,,
23,1,True,1,12,1,15,1,,,,catch,0,0,,0,0,1.24,,
24,1,True,1,12,1,10,1,,,,catch,0,0,,0,0,1.34,,
25,1,True,0,11,0,12,1,,,,catch,0,0,,0,0,1.15,,
26,1,True,1,11,0,18,0,,,,catch,0,0,,0,0,1.16,,
27,1,True,0,12,0,11,1,,,,catch,0,0,,0,0,1.53,,
28,1,True,0,12,0,36,1,,,,catch,0,0,,0,0,1.82,,
29,1,True,0,11,0,39,1,,,,catch,0,0,,0,0,1.31,,
30,1,True,0,11,0,48,1,,,,catch,0,0,,0,0,2.21,,
31,2,True,1,10,0,15,0,,,,catch,0,0,,0,0,1.09,,
32,2,True,0,11,0,20,1,,,,catch,0,0,,0,0,1.28,,
33,2,True,1,11,1,22,1,,,,catch,0,0,,0,0,1.02,,
34,2,True,0,10,0,19,1,,,,catch,0,0,,0,0,0.98,,
35,2,True,0,10,0,19,1,,,,catch,0,0,,0,0,0.99,,
36,2,True,1,9,0,20,0,,,,catch,0,0,,0,0,1.18,,
37,2,True,0,10,0,19,1,,,,catch,0,0,,0,0,1.06,,
38,2,True,1,10,1,18,1,,,,catch,0,0,,0,0,0.95,,
39,2,True,1,9,1,17,1,,,,catch,0,0,,0,0,1.68,,
40,2,True,0,9,0,22,1,,,,catch,0,0,,0,0,1.59,,
41,2,True,0,8,0,36,1,,,,catch,0,0,,0,0,1.7,,
42,2,True,1,8,0,21,0,,,,catch,0,0,,0,0,1.18,,
43,2,True,0,9,0,27,1,,,,catch,0,0,,0,0,0.95,,
44,2,True,1,9,1,28,1,,,,catch,0,0,,0,0,1.28,,
45,2,True,1,8,1,12,1,,,,catch,0,0,,0,0,1.07,,
46,2,True,0,8,0,31,1,,,,catch,0,0,,0,0,1.17,,
47,2,True,1,7,1,15,1,,,,catch,0,0,,0,0,1.32,,
48,2,True,1,7,0,40,0,,,,catch,0,0,,0,0,1.26,,
49,2,True,0,8,0,23,1,,,,catch,0,0,,0,0,1.21,,
50,2,True,1,8,1,27,1,,,,catch,0,0,,0,0,1.06,,
51,2,True,1,7,0,23,0,,,,catch,0,0,,0,0,1.06,,
52,2,True,1,8,1,19,1,,,,catch,0,0,,0,0,3.98,,
53,2,True,0,8,0,17,1,,,,catch,0,0,,0,0,0.97,,
54,2,True,1,7,1,17,1,,,,catch,0,0,,0,0,0.96,,
55,2,True,1,7,1,12,1,,,,catch,0,0,,0,0,1.37,,
56,2,True,0,6,0,17,1,,,,catch,0,0,,0,0,0.93,,
57,2,True,0,6,0,26,1,,,,catch,0,0,,0,0,1.01,,
58,2,True,1,5,0,32,0,,,,catch,0,0,,0,0,1.02,,
59,2,True,0,6,0,23,1,,,,catch,0,0,,0,0,0.93,,
60,2,True,0,6,0,24,1,,,,catch,0,0,,0,0,1.13,,
61,3,True,0,5,1,18,0,,,,catch,0,0,,0,0,1.05,,
62,3,True,0,6,0,19,1,,,,catch,0,0,,0,0,1.22,,
63,3,True,0,6,0,20,1,,,,catch,0,0,,0,0,1.34,,
64,3,True,1,5,1,20,1,,,,catch,0,0,,0,0,1.07,,
65,3,True,1,5,0,20,0,,,,catch,0,0,,0,0,1.66,,
66,3,True,1,6,0,13,0,,,,catch,0,0,,0,0,0.87,,
67,3,True,1,7,1,20,1,,,,catch,0,0,,0,0,1.55,,
68,3,True,0,7,0,23,1,,,,catch,0,0,,0,0,0.91,,
69,3,True,1,6,0,24,0,,,,catch,0,0,,0,0,0.91,,
70,3,True,1,7,0,21,0,,,,catch,0,0,,0,0,0.89,,
71,3,True,0,8,0,17,1,,,,catch,0,0,,0,0,0.9,,
72,3,True,1,8,0,22,0,,,,catch,0,0,,0,0,1.53,,
73,3,True,1,9,0,29,0,,,,catch,0,0,,0,0,1.23,,
74,3,True,0,10,0,23,1,,,,catch,0,0,,0,0,0.99,,
75,3,True,0,10,1,18,0,,,,catch,0,0,,0,0,1.2,,
76,3,True,0,11,0,50,1,,,,catch,0,0,,0,0,1.86,,
77,3,True,1,11,0,46,0,,,,catch,0,0,,0,0,1.42,,
78,3,True,0,12,0,37,1,,,,catch,0,0,,0,0,1.28,,
79,3,True,1,12,1,25,1,,,,catch,0,0,,0,0,1.13,,
80,3,True,0,11,0,48,1,,,,catch,0,0,,0,0,1.42,,
81,3,True,1,11,0,48,0,,,,catch,0,0,,0,0,1.48,,
