trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,1,0,,,,catch,0,0,,0,0,30.61,,
2,1,True,1,15,0,16,0,,,,catch,0,0,,0,0,19.06,,
3,1,True,0,15,1,50,0,,,,catch,0,0,,0,0,13.45,,
4,1,True,0,15,1,1,0,,,,catch,0,0,,0,0,11.19,,
5,1,True,0,15,0,50,1,,,,catch,0,0,,0,0,15.42,,
6,1,True,0,15,0,50,1,,,,catch,0,0,,0,0,7.92,,
7,1,True,0,14,0,50,1,,,,catch,0,0,,0,0,10.8,,
8,1,True,1,14,0,50,0,,,,catch,0,0,,0,0,12.43,,
9,1,True,0,15,1,50,0,,,,catch,0,0,,0,0,5.37,,
10,1,True,0,15,1,50,0,,,,catch,0,0,,0,0,3.95,,
11,1,True,1,15,1,50,1,,,,catch,0,0,,0,0,5.46,,
12,1,True,1,15,0,23,0,,,,catch,0,0,,0,0,4.56,,
13,1,True,0,15,1,25,0,,,,catch,0,0,,0,0,3.61,,
14,1,True,1,15,0,22,0,,,,catch,0,0,,0,0,2.92,,
15,1,True,1,15,0,22,0,,,,catch,0,0,,0,0,4.67,,
16,1,True,0,15,0,25,1,,,,catch,0,0,,0,0,2.66,,
17,1,True,1,15,0,23,0,,,,catch,0,0,,0,0,2.97,,
18,1,True,1,15,1,29,1,,,,catch,0,0,,0,0,2.36,,
19,1,True,1,15,1,28,1,,,,catch,0,0,,0,0,5.07,,
20,1,True,1,14,1,26,1,,,,catch,0,0,,0,0,9.54,,
21,1,True,1,14,1,26,1,,,,catch,0,0,,0,0,2.27,,
22,1,True,1,13,1,25,1,,,,catch,0,0,,0,0,2.67,,
23,1,True,0,13,1,23,0,,,,catch,0,0,,0,0,1.71,,
24,1,True,0,14,0,20,1,,,,catch,0,0,,0,0,2.67,,
25,1,True,0,14,1,19,0,,,,catch,0,0,,0,0,3.14,,
26,1,True,1,15,0,50,0,,,,catch,0,0,,0,0,3.41,,
27,1,True,1,15,1,50,1,,,,catch,0,0,,0,0,15.32,,
28,1,True,1,15,1,50,1,,,,catch,0,0,,0,0,3.69,,
29,1,True,1,14,1,50,1,,,,catch,0,0,,0,0,2.76,,
30,1,True,0,14,1,50,0,,,,catch,0,0,,0,0,2.85,,
31,2,True,1,15,0,50,0,,,,catch,0,0,,0,0,3.08,,
32,2,True,0,15,1,50,0,,,,catch,0,0,,0,0,2.47,,
33,2,True,0,15,0,24,1,,,,catch,0,0,,0,0,2.25,,
34,2,True,0,15,0,28,1,,,,catch,0,0,,0,0,2.21,,
35,2,True,0,14,0,21,1,,,,catch,0,0,,0,0,6.01,,
36,2,True,0,14,1,25,0,,,,catch,0,0,,0,0,35.62,,
37,2,True,1,15,0,24,0,,,,catch,0,0,,0,0,7.49,,
38,2,True,0,15,0,50,1,,,,catch,0,0,,0,0,5.06,,
39,2,True,0,15,0,50,1,,,,catch,0,0,,0,0,2.82,,
40,2,True,0,14,0,50,1,,,,catch,0,0,,0,0,3.14,,
41,2,True,0,14,0,50,1,,,,catch,0,0,,0,0,7.92,,
42,2,True,0,13,0,50,1,,,,catch,0,0,,0,0,2.33,,
43,2,True,0,13,1,50,0,,,,catch,0,0,,0,0,2.65,,
44,2,True,1,14,0,50,0,,,,catch,0,0,,0,0,4.32,,
45,2,True,1,15,0,50,0,,,,catch,0,0,,0,0,3.55,,
46,2,True,0,15,0,50,1,,,,catch,0,0,,0,0,2.27,,
47,2,True,0,15,0,50,1,,,,catch,0,0,,0,0,10.13,,
48,2,True,0,14,0,50,1,,,,catch,0,0,,0,0,2.32,,
49,2,True,0,14,0,50,1,,,,catch,0,0,,0,0,2.91,,
50,2,True,0,13,0,50,1,,,,catch,0,0,,0,0,2.0,,
51,2,True,0,13,0,50,1,,,,catch,0,0,,0,0,4.9,,
52,2,True,0,12,0,50,1,,,,catch,0,0,,0,0,50.03,,
53,2,True,0,12,0,50,1,,,,catch,0,0,,0,0,3.2,,
54,2,True,1,11,0,50,0,,,,catch,0,0,,0,0,2.05,,
55,2,True,0,12,1,50,0,,,,catch,0,0,,0,0,3.14,,
56,2,True,0,13,1,50,0,,,,catch,0,0,,0,0,2.42,,
57,2,True,1,14,0,50,0,,,,catch,0,0,,0,0,6.0,,
58,2,True,0,15,1,50,0,,,,catch,0,0,,0,0,2.09,,
59,2,True,1,15,0,50,0,,,,catch,0,0,,0,0,2.05,,
60,2,True,1,15,1,50,1,,,,catch,0,0,,0,0,2.59,,
61,3,True,0,15,1,50,0,,,,catch,0,0,,0,0,3.8,,
62,3,True,0,15,1,50,0,,,,catch,0,0,,0,0,1.81,,
63,3,True,1,15,0,50,0,,,,catch,0,0,,0,0,2.2,,
64,3,True,0,15,0,50,1,,,,catch,0,0,,0,0,8.72,,
65,3,True,1,15,0,50,0,,,,catch,0,0,,0,0,6.46,,
66,3,True,1,15,1,50,1,,,,catch,0,0,,0,0,2.59,,
