trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,5.72,,
2,1,True,1,15,1,26,1,,,,catch,0,0,,0,0,3.49,,
3,1,True,0,15,0,12,1,,,,catch,0,0,,0,0,4.3,,
4,1,True,1,14,0,36,0,,,,catch,0,0,,0,0,3.51,,
5,1,True,1,15,0,16,0,,,,catch,0,0,,0,0,5.53,,
6,1,True,0,15,0,29,1,,,,catch,0,0,,0,0,2.65,,
7,1,True,1,15,0,38,0,,,,catch,0,0,,0,0,10.38,,
8,1,True,0,15,0,8,1,,,,catch,0,0,,0,0,2.8,,
9,1,True,0,15,0,21,1,,,,catch,0,0,,0,0,2.19,,
10,1,True,0,14,0,26,1,,,,catch,0,0,,0,0,1.69,,
11,1,True,0,14,1,13,0,,,,catch,0,0,,0,0,2.25,,
12,1,True,1,15,1,16,1,,,,catch,0,0,,0,0,1.85,,
13,1,True,0,15,0,39,1,,,,catch,0,0,,0,0,3.24,,
14,1,True,0,14,1,36,0,,,,catch,0,0,,0,0,2.42,,
15,1,True,1,15,1,14,1,,,,catch,0,0,,0,0,7.64,,
16,1,True,0,15,0,45,1,,,,catch,0,0,,0,0,2.78,,
17,1,True,1,14,0,50,0,,,,catch,0,0,,0,0,3.08,,
18,1,True,1,15,0,50,0,,,,catch,0,0,,0,0,1.98,,
19,1,True,0,15,0,12,1,,,,catch,0,0,,0,0,4.22,,
20,1,True,0,15,0,50,1,,,,catch,0,0,,0,0,2.66,,
21,1,True,0,14,0,11,1,,,,catch,0,0,,0,0,3.72,,
22,1,True,1,14,0,17,0,,,,catch,0,0,,0,0,3.58,,
23,1,True,0,15,1,13,0,,,,catch,0,0,,0,0,1.87,,
24,1,True,0,15,0,30,1,,,,catch,0,0,,0,0,1.8,,
25,1,True,1,15,0,26,0,,,,catch,0,0,,0,0,7.78,,
26,1,True,0,15,1,5,0,,,,catch,0,0,,0,0,2.55,,
27,1,True,1,15,0,8,0,,,,catch,0,0,,0,0,3.41,,
28,1,True,0,15,0,19,1,,,,catch,0,0,,0,0,1.76,,
29,1,True,1,15,1,14,1,,,,catch,0,0,,0,0,1.79,,
30,1,True,0,14,0,44,1,,,,catch,0,0,,0,0,2.82,,
31,2,True,0,14,0,18,1,,,,catch,0,0,,0,0,1.34,,
32,2,True,0,13,1,19,0,,,,catch,0,0,,0,0,2.01,,
33,2,True,0,14,0,18,1,,,,catch,0,0,,0,0,1.41,,
34,2,True,0,14,0,50,1,,,,catch,0,0,,0,0,1.73,,
35,2,True,1,13,0,50,0,,,,catch,0,0,,0,0,1.73,,
36,2,True,1,14,0,11,0,,,,catch,0,0,,0,0,1.43,,
37,2,True,0,15,0,28,1,,,,catch,0,0,,0,0,1.81,,
38,2,True,0,15,0,39,1,,,,catch,0,0,,0,0,2.2,,
39,2,True,1,14,1,29,1,,,,catch,0,0,,0,0,2.03,,
40,2,True,1,14,0,17,0,,,,catch,0,0,,0,0,1.12,,
