trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,1,0,,,,catch,0,0,,0,0,7.52,,
2,1,True,0,15,1,2,0,,,,catch,0,0,,0,0,5.39,,
3,1,True,0,15,1,1,0,,,,catch,0,0,,0,0,2.72,,
4,1,True,0,15,1,1,0,,,,catch,0,0,,0,0,5.12,,
5,1,True,1,15,1,1,1,,,,catch,0,0,,0,0,4.18,,
6,1,True,0,15,0,1,1,,,,catch,0,0,,0,0,4.22,,
7,1,True,0,14,1,1,0,,,,catch,0,0,,0,0,3.29,,
8,1,True,1,15,1,1,1,,,,catch,0,0,,0,0,6.19,,
9,1,True,1,15,1,1,1,,,,catch,0,0,,0,0,5.69,,
10,1,True,0,14,0,1,1,,,,catch,0,0,,0,0,3.75,,
11,1,True,0,14,0,1,1,,,,catch,0,0,,0,0,3.82,,
12,1,True,1,13,1,1,1,,,,catch,0,0,,0,0,3.16,,
13,1,True,0,13,0,1,1,,,,catch,0,0,,0,0,4.29,,
14,1,True,0,12,0,1,1,,,,catch,0,0,,0,0,4.42,,
15,1,True,0,12,0,1,1,,,,catch,0,0,,0,0,2.76,,
16,1,True,0,11,1,2,0,,,,catch,0,0,,0,0,2.49,,
17,1,True,1,12,1,1,1,,,,catch,0,0,,0,0,2.77,,
18,1,True,0,12,0,1,1,,,,catch,0,0,,0,0,3.06,,
19,1,True,1,11,0,1,0,,,,catch,0,0,,0,0,7.12,,
20,1,True,0,12,0,1,1,,,,catch,0,0,,0,0,2.38,,
21,1,True,1,12,1,5,1,,,,catch,0,0,,0,0,2.71,,
22,1,True,0,11,1,1,0,,,,catch,0,0,,0,0,3.44,,
23,1,True,1,12,1,1,1,,,,catch,0,0,,0,0,3.9,,
24,1,True,0,12,1,2,0,,,,catch,0,0,,0,0,2.5,,
25,1,True,0,13,0,1,1,,,,catch,0,0,,0,0,3.12,,
26,1,True,1,13,1,2,1,,,,catch,0,0,,0,0,2.51,,
27,1,True,0,12,0,1,1,,,,catch,0,0,,0,0,2.77,,
28,1,True,1,12,1,4,1,,,,catch,0,0,,0,0,2.68,,
29,1,True,0,11,1,2,0,,,,catch,0,0,,0,0,2.37,,
30,1,True,1,12,1,2,1,,,,catch,0,0,,0,0,2.23,,
31,2,True,1,12,1,2,1,,,,catch,0,0,,0,0,2.52,,
32,2,True,0,11,0,1,1,,,,catch,0,0,,0,0,2.58,,
33,2,True,0,11,1,2,0,,,,catch,0,0,,0,0,2.21,,
34,2,True,0,12,0,1,1,,,,catch,0,0,,0,0,3.33,,
35,2,True,1,12,1,3,1,,,,catch,0,0,,0,0,2.21,,
36,2,True,0,11,1,3,0,,,,catch,0,0,,0,0,2.44,,
37,2,True,1,12,1,2,1,,,,catch,0,0,,0,0,2.55,,
38,2,True,1,12,0,1,0,,,,catch,0,0,,0,0,3.29,,
39,2,True,0,13,0,1,1,,,,catch,0,0,,0,0,2.26,,
40,2,True,1,13,1,4,1,,,,catch,0,0,,0,0,2.06,,
41,2,True,0,12,1,2,0,,,,catch,0,0,,0,0,1.91,,
42,2,True,1,13,1,2,1,,,,catch,0,0,,0,0,1.94,,
43,2,True,0,13,0,1,1,,,,catch,0,0,,0,0,3.03,,
44,2,True,0,12,1,4,0,,,,catch,0,0,,0,0,1.87,,
45,2,True,0,13,1,2,0,,,,catch,0,0,,0,0,2.81,,
46,2,True,1,14,1,3,1,,,,catch,0,0,,0,0,2.5,,
47,2,True,1,14,0,1,0,,,,catch,0,0,,0,0,2.63,,
48,2,True,1,15,1,3,1,,,,catch,0,0,,0,0,2.56,,
49,2,True,0,15,1,2,0,,,,catch,0,0,,0,0,2.14,,
50,2,True,1,15,1,3,1,,,,catch,0,0,,0,0,2.29,,
51,2,True,1,15,1,2,1,,,,catch,0,0,,0,0,2.12,,
52,2,True,1,14,1,2,1,,,,catch,0,0,,0,0,2.01,,
53,2,True,0,14,0,1,1,,,,catch,0,0,,0,0,1.92,,
54,2,True,0,13,0,1,1,,,,catch,0,0,,0,0,3.18,,
55,2,True,0,13,1,2,0,,,,catch,0,0,,0,0,2.25,,
56,2,True,1,14,1,2,1,,,,catch,0,0,,0,0,2.12,,
57,2,True,1,14,1,2,1,,,,catch,0,0,,0,0,2.72,,
58,2,True,1,13,1,2,1,,,,catch,0,0,,0,0,1.88,,
59,2,True,1,13,0,1,0,,,,catch,0,0,,0,0,2.06,,
60,2,True,0,14,1,2,0,,,,catch,0,0,,0,0,2.54,,
