trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,0,15,0,1,1,,,,catch,0,0,,0,0,23.91,,
2,1,True,0,15,0,20,1,,,,catch,0,0,,0,0,11.46,,
3,1,True,0,15,1,19,0,,,,catch,0,0,,0,0,20.9,,
4,1,True,0,15,1,25,0,,,,catch,0,0,,0,0,14.82,,
5,1,True,1,15,0,19,0,,,,catch,0,0,,0,0,6.55,,
6,1,True,0,15,0,10,1,,,,catch,0,0,,0,0,7.2,,
7,1,True,1,15,1,1,1,,,,catch,0,0,,0,0,22.87,,
8,1,True,0,14,0,10,1,,,,catch,0,0,,0,0,12.73,,
9,1,True,0,14,0,27,1,,,,catch,0,0,,0,0,4.47,,
10,1,True,1,13,1,22,1,,,,catch,0,0,,0,0,3.12,,
11,1,True,1,13,0,24,0,,,,catch,0,0,,0,0,2.84,,
12,1,True,1,14,1,1,1,,,,catch,0,0,,0,0,3.26,,
13,1,True,0,14,0,29,1,,,,catch,0,0,,0,0,2.43,,
14,1,True,1,13,1,14,1,,,,catch,0,0,,0,0,2.98,,
15,1,True,1,13,0,34,0,,,,catch,0,0,,0,0,2.4,,
16,1,True,0,14,1,25,0,,,,catch,0,0,,0,0,5.98,,
17,1,True,1,15,1,7,1,,,,catch,0,0,,0,0,2.83,,
18,1,True,0,15,0,35,1,,,,catch,0,0,,0,0,2.05,,
19,1,True,1,14,1,18,1,,,,catch,0,0,,0,0,2.64,,
20,1,True,0,14,0,23,1,,,,catch,0,0,,0,0,2.08,,
21,1,True,0,13,0,28,1,,,,catch,0,0,,0,0,1.63,,
22,1,True,0,13,1,12,0,,,,catch,0,0,,0,0,3.41,,
23,1,True,0,14,0,1,1,,,,catch,0,0,,0,0,5.04,,
24,1,True,0,14,0,41,1,,,,catch,0,0,,0,0,2.77,,
25,1,True,1,13,1,42,1,,,,catch,0,0,,0,0,2.19,,
26,1,True,0,13,0,14,1,,,,catch,0,0,,0,0,2.31,,
27,1,True,0,12,0,1,1,,,,catch,0,0,,0,0,2.55,,
28,1,True,1,12,1,35,1,,,,catch,0,0,,0,0,2.51,,
29,1,True,0,11,1,8,0,,,,catch,0,0,,0,0,4.86,,
30,1,True,1,12,1,43,1,,,,catch,0,0,,0,0,3.46,,
31,2,True,0,12,0,3,1,,,,catch,0,0,,0,0,2.84,,
32,2,True,1,11,0,37,0,,,,catch,0,0,,0,0,2.77,,
33,2,True,0,12,0,34,1,,,,catch,0,0,,0,0,2.26,,
34,2,True,0,12,1,12,0,,,,catch,0,0,,0,0,2.48,,
35,2,True,1,13,0,40,0,,,,catch,0,0,,0,0,2.61,,
36,2,True,1,14,0,12,0,,,,catch,0,0,,0,0,3.09,,
37,2,True,1,15,1,2,1,,,,catch,0,0,,0,0,18.65,,
38,2,True,1,15,1,16,1,,,,catch,0,0,,0,0,2.68,,
39,2,True,1,14,0,32,0,,,,catch,0,0,,0,0,2.25,,
40,2,True,0,15,1,18,0,,,,catch,0,0,,0,0,1.73,,
41,2,True,1,15,1,1,1,,,,catch,0,0,,0,0,2.34,,
42,2,True,1,15,0,29,0,,,,catch,0,0,,0,0,3.85,,
43,2,True,1,15,0,31,0,,,,catch,0,0,,0,0,2.64,,
44,2,True,1,15,1,40,1,,,,catch,0,0,,0,0,5.38,,
45,2,True,0,15,0,36,1,,,,catch,0,0,,0,0,8.42,,
46,2,True,0,14,0,9,1,,,,catch,0,0,,0,0,3.27,,
47,2,True,1,14,1,1,1,,,,catch,0,0,,0,0,6.03,,
48,2,True,0,13,0,42,1,,,,catch,0,0,,0,0,2.18,,
49,2,True,0,13,0,35,1,,,,catch,0,0,,0,0,2.3,,
50,2,True,0,12,0,13,1,,,,catch,0,0,,0,0,3.05,,
51,2,True,0,12,1,7,0,,,,catch,0,0,,0,0,2.35,,
52,2,True,1,13,0,34,0,,,,catch,0,0,,0,0,1.94,,
53,2,True,0,14,1,1,0,,,,catch,0,0,,0,0,2.73,,
54,2,True,1,15,1,22,1,,,,catch,0,0,,0,0,3.81,,
55,2,True,0,15,0,4,1,,,,catch,0,0,,0,0,4.2,,
56,2,True,0,14,1,10,0,,,,catch,0,0,,0,0,3.84,,
57,2,True,0,15,1,6,0,,,,catch,0,0,,0,0,2.79,,
58,2,True,1,15,0,10,0,,,,catch,0,0,,0,0,1.94,,
59,2,True,1,15,1,2,1,,,,catch,0,0,,0,0,3.54,,
60,2,True,0,15,1,1,0,,,,catch,0,0,,0,0,5.01,,
61,3,True,0,15,0,12,1,,,,catch,0,0,,0,0,2.47,,
62,3,True,1,15,0,1,0,,,,catch,0,0,,0,0,3.37,,
63,3,True,1,15,1,32,1,,,,catch,0,0,,0,0,2.69,,
64,3,True,0,15,0,31,1,,,,catch,0,0,,0,0,3.96,,
65,3,True,0,14,0,30,1,,,,catch,0,0,,0,0,3.73,,
66,3,True,0,14,0,36,1,,,,catch,0,0,,0,0,5.19,,
67,3,True,1,13,1,1,1,,,,catch,0,0,,0,0,4.04,,
68,3,True,0,13,1,10,0,,,,catch,0,0,,0,0,4.03,,
69,3,True,1,14,0,29,0,,,,catch,0,0,,0,0,2.66,,
70,3,True,0,15,0,1,1,,,,catch,0,0,,0,0,7.02,,
71,3,True,1,15,0,31,0,,,,catch,0,0,,0,0,7.76,,
72,3,True,0,15,0,9,1,,,,catch,0,0,,0,0,4.3,,
73,3,True,0,15,1,42,0,,,,catch,0,0,,0,0,2.73,,
74,3,True,0,15,1,9,0,,,,catch,0,0,,0,0,4.09,,
75,3,True,1,15,0,43,0,,,,catch,0,0,,0,0,2.72,,
76,3,True,0,15,0,1,1,,,,catch,0,0,,0,0,9.79,,
77,3,True,1,15,1,2,1,,,,catch,0,0,,0,0,3.63,,
78,3,True,0,14,0,19,1,,,,catch,0,0,,0,0,2.75,,
79,3,True,0,14,0,21,1,,,,catch,0,0,,0,0,5.37,,
80,3,True,1,13,1,9,1,,,,catch,0,0,,0,0,3.95,,
81,3,True,1,13,1,24,1,,,,catch,0,0,,0,0,2.82,,
82,3,True,0,12,0,27,1,,,,catch,0,0,,0,0,3.78,,
83,3,True,0,12,0,38,1,,,,catch,0,0,,0,0,3.23,,
84,3,True,1,11,1,33,1,,,,catch,0,0,,0,0,2.64,,
85,3,True,1,11,1,42,1,,,,catch,0,0,,0,0,2.47,,
86,3,True,0,10,0,46,1,,,,catch,0,0,,0,0,3.84,,
87,3,True,0,10,0,40,1,,,,catch,0,0,,0,0,2.46,,
88,3,True,1,9,1,40,1,,,,catch,0,0,,0,0,2.29,,
89,3,True,1,9,1,45,1,,,,catch,0,0,,0,0,2.51,,
90,3,True,0,8,1,45,0,,,,catch,0,0,,0,0,2.4,,
91,4,False,1,9,1,29,1,0,21,0,choice,2,1,0,0,0,4.74,15.13,18.31
92,4,False,1,9,1,35,1,1,46,1,force,1,0,1,1,0,3.87,5.51,6.52
93,4,False,0,9,1,31,0,1,44,0,force,2,0,1,0,0,2.26,3.55,4.56
94,4,False,0,9,1,23,0,1,24,0,choice,1,1,0,1,0,2.32,4.74,7.5
95,4,False,1,9,0,30,0,0,44,0,choice,1,1,0,0,0,4.67,3.16,5.84
96,4,False,1,9,1,35,1,0,37,0,choice,2,1,0,0,0,2.36,11.21,13.69
97,4,False,1,9,1,34,1,1,41,1,choice,2,1,1,1,0,2.21,4.6,7.07
98,4,False,1,9,1,34,1,1,41,1,choice,2,1,1,1,0,2.93,2.55,5.11
99,4,False,0,9,1,2,0,1,42,0,choice,1,1,1,0,0,5.2,2.36,4.51
