trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,0,1,0,,,,catch,0,0,,0,0,36.94,,
2,1,True,0,15,1,2,0,,,,catch,0,0,,0,0,4.36,,
3,1,True,0,15,0,4,1,,,,catch,0,0,,0,0,13.06,,
4,1,True,0,15,1,7,0,,,,catch,0,0,,0,0,6.54,,
5,1,True,1,15,1,10,1,,,,catch,0,0,,0,0,4.03,,
6,1,True,1,15,1,11,1,,,,catch,0,0,,0,0,5.55,,
7,1,True,1,14,1,11,1,,,,catch,0,0,,0,0,4.9,,
8,1,True,1,14,1,13,1,,,,catch,0,0,,0,0,4.85,,
9,1,True,0,13,0,7,1,,,,catch,0,0,,0,0,3.36,,
10,1,True,0,13,0,8,1,,,,catch,0,0,,0,0,4.33,,
11,1,True,0,12,0,15,1,,,,catch,0,0,,0,0,2.93,,
12,1,True,1,12,0,23,0,,,,catch,0,0,,0,0,4.77,,
13,1,True,0,13,1,10,0,,,,catch,0,0,,0,0,2.52,,
14,1,True,1,14,0,1,0,,,,catch,0,0,,0,0,13.41,,
15,1,True,1,15,1,9,1,,,,catch,0,0,,0,0,2.61,,
16,1,True,0,15,0,12,1,,,,catch,0,0,,0,0,2.52,,
17,1,True,1,14,1,7,1,,,,catch,0,0,,0,0,3.46,,
18,1,True,1,14,0,13,0,,,,catch,0,0,,0,0,2.64,,
19,1,True,0,15,1,50,0,,,,catch,0,0,,0,0,4.23,,
20,1,True,1,15,1,15,1,,,,catch,0,0,,0,0,3.49,,
21,1,True,1,15,1,18,1,,,,catch,0,0,,0,0,4.37,,
22,1,True,0,14,0,30,1,,,,catch,0,0,,0,0,3.45,,
23,1,True,0,14,0,36,1,,,,catch,0,0,,0,0,2.66,,
24,1,True,1,13,0,33,0,,,,catch,0,0,,0,0,2.55,,
25,1,True,0,14,1,12,0,,,,catch,0,0,,0,0,4.04,,
