trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,2,1,,,,catch,0,0,,0,0,43.33,,
2,1,True,1,15,1,1,1,,,,catch,0,0,,0,0,3015.28,,
3,1,True,0,15,0,19,1,,,,catch,0,0,,0,0,3.8,,
4,1,True,0,14,0,35,1,,,,catch,0,0,,0,0,5.14,,
5,1,True,0,14,1,6,0,,,,catch,0,0,,0,0,3.36,,
6,1,True,0,15,1,15,0,,,,catch,0,0,,0,0,3.15,,
7,1,True,0,15,1,10,0,,,,catch,0,0,,0,0,3.52,,
8,1,True,1,15,0,13,0,,,,catch,0,0,,0,0,2.95,,
9,1,True,1,15,0,2,0,,,,catch,0,0,,0,0,463.41,,
10,1,True,1,15,0,24,0,,,,catch,0,0,,0,0,4.21,,
11,1,True,0,15,0,10,1,,,,catch,0,0,,0,0,2.33,,
12,1,True,0,15,1,16,0,,,,catch,0,0,,0,0,2.46,,
13,1,True,1,15,1,8,1,,,,catch,0,0,,0,0,2.16,,
14,1,True,1,15,1,15,1,,,,catch,0,0,,0,0,3.45,,
15,1,True,0,14,1,8,0,,,,catch,0,0,,0,0,2.47,,
16,1,True,1,15,1,4,1,,,,catch,0,0,,0,0,2.88,,
17,1,True,0,15,0,13,1,,,,catch,0,0,,0,0,2.14,,
18,1,True,1,14,0,17,0,,,,catch,0,0,,0,0,2.7,,
19,1,True,0,15,1,6,0,,,,catch,0,0,,0,0,4.09,,
20,1,True,0,15,1,3,0,,,,catch,0,0,,0,0,2.61,,
21,1,True,1,15,0,8,0,,,,catch,0,0,,0,0,2.78,,
22,1,True,1,15,0,4,0,,,,catch,0,0,,0,0,2.37,,
23,1,True,1,15,1,3,1,,,,catch,0,0,,0,0,1.79,,
24,1,True,1,15,1,6,1,,,,catch,0,0,,0,0,2.43,,
25,1,True,0,14,1,8,0,,,,catch,0,0,,0,0,2.68,,
26,1,True,0,15,0,3,1,,,,catch,0,0,,0,0,2.47,,
27,1,True,0,15,0,4,1,,,,catch,0,0,,0,0,2.78,,
28,1,True,0,14,0,6,1,,,,catch,0,0,,0,0,2.84,,
29,1,True,1,14,1,6,1,,,,catch,0,0,,0,0,2.34,,
30,1,True,1,13,1,8,1,,,,catch,0,0,,0,0,2.44,,
31,2,True,1,13,1,8,1,,,,catch,0,0,,0,0,1.81,,
32,2,True,1,12,1,6,1,,,,catch,0,0,,0,0,1.95,,
33,2,True,1,12,1,9,1,,,,catch,0,0,,0,0,1.97,,
34,2,True,0,11,0,9,1,,,,catch,0,0,,0,0,2.05,,
35,2,True,0,11,0,13,1,,,,catch,0,0,,0,0,2.04,,
36,2,True,1,10,1,5,1,,,,catch,0,0,,0,0,2.86,,
37,2,True,1,10,1,12,1,,,,catch,0,0,,0,0,2.22,,
38,2,True,0,9,0,24,1,,,,catch,0,0,,0,0,2.03,,
39,2,True,0,9,1,5,0,,,,catch,0,0,,0,0,3.05,,
40,2,True,0,10,0,10,1,,,,catch,0,0,,0,0,3.79,,
41,2,True,0,10,0,22,1,,,,catch,0,0,,0,0,2.28,,
42,2,True,1,9,1,13,1,,,,catch,0,0,,0,0,2.0,,
43,2,True,1,9,0,18,0,,,,catch,0,0,,0,0,3.85,,
44,2,True,0,10,0,6,1,,,,catch,0,0,,0,0,5.19,,
45,2,True,0,10,1,9,0,,,,catch,0,0,,0,0,3.68,,
46,2,True,1,11,0,17,0,,,,catch,0,0,,0,0,2.58,,
47,2,True,1,12,1,4,1,,,,catch,0,0,,0,0,2.8,,
48,2,True,0,12,1,10,0,,,,catch,0,0,,0,0,4.01,,
49,2,True,1,13,1,7,1,,,,catch,0,0,,0,0,2.94,,
50,2,True,0,13,0,22,1,,,,catch,0,0,,0,0,1.84,,
51,2,True,0,12,0,19,1,,,,catch,0,0,,0,0,2.12,,
52,2,True,1,12,0,22,0,,,,catch,0,0,,0,0,2.75,,
53,2,True,0,13,0,6,1,,,,catch,0,0,,0,0,2.82,,
54,2,True,1,13,0,11,0,,,,catch,0,0,,0,0,3.16,,
