trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,4,1,,,,catch,0,0,,0,0,6.12,,
2,1,True,0,15,1,3,0,,,,catch,0,0,,0,0,4.05,,
3,1,True,0,15,1,3,0,,,,catch,0,0,,0,0,4.75,,
4,1,True,0,15,0,5,1,,,,catch,0,0,,0,0,5.16,,
5,1,True,0,15,1,2,0,,,,catch,0,0,,0,0,5.18,,
6,1,True,0,15,1,4,0,,,,catch,0,0,,0,0,3.25,,
7,1,True,1,15,1,3,1,,,,catch,0,0,,0,0,3.34,,
8,1,True,0,15,0,2,1,,,,catch,0,0,,0,0,3.67,,
9,1,True,0,14,0,6,1,,,,catch,0,0,,0,0,2.74,,
10,1,True,0,14,0,2,1,,,,catch,0,0,,0,0,2.62,,
11,1,True,0,13,1,3,0,,,,catch,0,0,,0,0,2.68,,
12,1,True,1,14,1,4,1,,,,catch,0,0,,0,0,2.36,,
13,1,True,0,14,1,3,0,,,,catch,0,0,,0,0,2.62,,
14,1,True,0,15,1,3,0,,,,catch,0,0,,0,0,3.08,,
15,1,True,1,15,1,2,1,,,,catch,0,0,,0,0,2.42,,
16,1,True,1,15,1,3,1,,,,catch,0,0,,0,0,2.56,,
17,1,True,1,14,1,4,1,,,,catch,0,0,,0,0,2.51,,
18,1,True,0,14,1,8,0,,,,catch,0,0,,0,0,2.17,,
19,1,True,1,15,1,4,1,,,,catch,0,0,,0,0,2.8,,
20,1,True,1,15,1,4,1,,,,catch,0,0,,0,0,2.16,,
21,1,True,0,14,0,5,1,,,,catch,0,0,,0,0,2.47,,
22,1,True,0,14,0,4,1,,,,catch,0,0,,0,0,2.46,,
23,1,True,0,13,0,2,1,,,,catch,0,0,,0,0,2.52,,
24,1,True,1,13,1,2,1,,,,catch,0,0,,0,0,2.27,,
25,1,True,0,12,1,5,0,,,,catch,0,0,,0,0,2.07,,
26,1,True,1,13,1,3,1,,,,catch,0,0,,0,0,2.24,,
27,1,True,1,13,1,4,1,,,,catch,0,0,,0,0,2.41,,
28,1,True,0,12,0,2,1,,,,catch,0,0,,0,0,2.17,,
29,1,True,0,12,0,2,1,,,,catch,0,0,,0,0,2.14,,
30,1,True,0,11,1,2,0,,,,catch,0,0,,0,0,2.15,,
31,2,True,1,12,1,2,1,,,,catch,0,0,,0,0,2.17,,
32,2,True,0,12,0,2,1,,,,catch,0,0,,0,0,2.16,,
33,2,True,1,11,1,2,1,,,,catch,0,0,,0,0,2.2,,
34,2,True,1,11,1,3,1,,,,catch,0,0,,0,0,1.94,,
35,2,True,1,10,1,3,1,,,,catch,0,0,,0,0,2.01,,
36,2,True,1,10,0,2,0,,,,catch,0,0,,0,0,2.24,,
37,2,True,1,11,1,4,1,,,,catch,0,0,,0,0,2.14,,
38,2,True,0,11,0,3,1,,,,catch,0,0,,0,0,2.22,,
39,2,True,0,10,0,2,1,,,,catch,0,0,,0,0,2.03,,
40,2,True,1,10,1,4,1,,,,catch,0,0,,0,0,1.92,,
41,2,True,0,9,0,1,1,,,,catch,0,0,,0,0,2.09,,
42,2,True,0,9,0,2,1,,,,catch,0,0,,0,0,1.88,,
43,2,True,0,8,0,2,1,,,,catch,0,0,,0,0,2.23,,
44,2,True,1,8,0,3,0,,,,catch,0,0,,0,0,2.16,,
45,2,True,1,9,1,2,1,,,,catch,0,0,,0,0,2.18,,
