trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,38,1,,,,catch,0,0,,0,0,6.58,,
2,1,True,1,15,0,15,0,,,,catch,0,0,,0,0,6.04,,
3,1,True,1,15,1,36,1,,,,catch,0,0,,0,0,2.12,,
4,1,True,1,15,0,36,0,,,,catch,0,0,,0,0,2.44,,
5,1,True,1,15,1,31,1,,,,catch,0,0,,0,0,1.55,,
6,1,True,1,15,1,33,1,,,,catch,0,0,,0,0,1.64,,
7,1,True,0,14,0,47,1,,,,catch,0,0,,0,0,1.81,,
8,1,True,1,14,1,41,1,,,,catch,0,0,,0,0,1.84,,
9,1,True,0,13,1,26,0,,,,catch,0,0,,0,0,1.58,,
10,1,True,0,14,0,38,1,,,,catch,0,0,,0,0,1.56,,
11,1,True,0,14,0,44,1,,,,catch,0,0,,0,0,1.82,,
12,1,True,1,13,0,41,0,,,,catch,0,0,,0,0,1.62,,
13,1,True,0,14,0,15,1,,,,catch,0,0,,0,0,1.5,,
14,1,True,0,14,0,2,1,,,,catch,0,0,,0,0,2.3,,
15,1,True,1,13,1,34,1,,,,catch,0,0,,0,0,2.13,,
16,1,True,0,13,0,44,1,,,,catch,0,0,,0,0,2.09,,
17,1,True,1,12,1,47,1,,,,catch,0,0,,0,0,1.7,,
18,1,True,0,12,0,32,1,,,,catch,0,0,,0,0,1.66,,
19,1,True,0,11,0,39,1,,,,catch,0,0,,0,0,1.82,,
20,1,True,1,11,0,32,0,,,,catch,0,0,,0,0,1.87,,
21,1,True,1,12,1,37,1,,,,catch,0,0,,0,0,1.69,,
22,1,True,0,12,0,31,1,,,,catch,0,0,,0,0,1.66,,
23,1,True,0,11,0,34,1,,,,catch,0,0,,0,0,1.57,,
24,1,True,1,11,0,32,0,,,,catch,0,0,,0,0,1.33,,
25,1,True,0,12,0,14,1,,,,catch,0,0,,0,0,1.52,,
26,1,True,0,12,0,29,1,,,,catch,0,0,,0,0,1.42,,
27,1,True,1,11,0,41,0,,,,catch,0,0,,0,0,1.44,,
28,1,True,0,12,0,12,1,,,,catch,0,0,,0,0,1.36,,
29,1,True,0,12,0,2,1,,,,catch,0,0,,0,0,1.78,,
30,1,True,1,11,0,23,0,,,,catch,0,0,,0,0,1.49,,
31,2,True,1,12,0,26,0,,,,catch,0,0,,0,0,1.7,,
32,2,True,1,13,1,43,1,,,,catch,0,0,,0,0,1.63,,
33,2,True,0,13,0,24,1,,,,catch,0,0,,0,0,1.5,,
34,2,True,0,12,0,25,1,,,,catch,0,0,,0,0,1.96,,
35,2,True,1,12,0,22,0,,,,catch,0,0,,0,0,1.39,,
36,2,True,0,13,0,36,1,,,,catch,0,0,,0,0,1.81,,
37,2,True,0,13,0,37,1,,,,catch,0,0,,0,0,1.29,,
38,2,True,1,12,1,49,1,,,,catch,0,0,,0,0,1.82,,
39,2,True,1,12,1,39,1,,,,catch,0,0,,0,0,1.46,,
40,2,True,1,11,1,7,1,,,,catch,0,0,,0,0,1.47,,
41,2,True,0,11,0,2,1,,,,catch,0,0,,0,0,2.34,,
42,2,True,0,10,0,20,1,,,,catch,0,0,,0,0,2.06,,
43,2,True,0,10,0,36,1,,,,catch,0,0,,0,0,1.85,,
44,2,True,1,9,1,20,1,,,,catch,0,0,,0,0,2.05,,
45,2,True,1,9,0,8,0,,,,catch,0,0,,0,0,2.11,,
46,2,True,1,10,1,47,1,,,,catch,0,0,,0,0,1.71,,
47,2,True,0,10,1,30,0,,,,catch,0,0,,0,0,1.15,,
48,2,True,1,11,1,25,1,,,,catch,0,0,,0,0,1.34,,
49,2,True,0,11,0,4,1,,,,catch,0,0,,0,0,1.55,,
50,2,True,0,10,0,12,1,,,,catch,0,0,,0,0,1.3,,
51,2,True,0,10,1,28,0,,,,catch,0,0,,0,0,1.55,,
52,2,True,1,11,1,20,1,,,,catch,0,0,,0,0,1.44,,
53,2,True,0,11,1,3,0,,,,catch,0,0,,0,0,1.93,,
54,2,True,0,12,0,14,1,,,,catch,0,0,,0,0,1.68,,
55,2,True,1,12,1,35,1,,,,catch,0,0,,0,0,1.42,,
56,2,True,0,11,1,8,0,,,,catch,0,0,,0,0,1.73,,
57,2,True,1,12,1,32,1,,,,catch,0,0,,0,0,1.46,,
58,2,True,1,12,1,50,1,,,,catch,0,0,,0,0,1.35,,
59,2,True,0,11,0,20,1,,,,catch,0,0,,0,0,1.44,,
60,2,True,0,11,0,32,1,,,,catch,0,0,,0,0,1.39,,
61,3,True,0,10,1,26,0,,,,catch,0,0,,0,0,1.43,,
62,3,True,1,11,1,44,1,,,,catch,0,0,,0,0,1.48,,
63,3,True,0,11,0,23,1,,,,catch,0,0,,0,0,1.43,,
64,3,True,0,10,0,42,1,,,,catch,0,0,,0,0,1.46,,
65,3,True,0,10,0,45,1,,,,catch,0,0,,0,0,1.27,,
66,3,True,1,9,1,48,1,,,,catch,0,0,,0,0,1.95,,
67,3,True,0,9,0,19,1,,,,catch,0,0,,0,0,1.27,,
68,3,True,0,8,0,32,1,,,,catch,0,0,,0,0,1.52,,
69,3,True,1,8,1,26,1,,,,catch,0,0,,0,0,1.7,,
70,3,True,1,7,1,38,1,,,,catch,0,0,,0,0,1.37,,
71,3,True,1,7,1,21,1,,,,catch,0,0,,0,0,1.24,,
72,3,True,1,6,1,8,1,,,,catch,0,0,,0,0,1.91,,
73,3,True,0,6,0,24,1,,,,catch,0,0,,0,0,1.64,,
74,3,True,1,5,0,38,0,,,,catch,0,0,,0,0,1.58,,
75,3,True,1,6,1,44,1,,,,catch,0,0,,0,0,1.72,,
76,3,True,0,6,0,18,1,,,,catch,0,0,,0,0,1.52,,
77,3,True,1,5,0,16,0,,,,catch,0,0,,0,0,1.3,,
78,3,True,1,6,0,2,0,,,,catch,0,0,,0,0,1.38,,
79,3,True,1,7,0,16,0,,,,catch,0,0,,0,0,1.58,,
80,3,True,1,8,0,1,0,,,,catch,0,0,,0,0,1.96,,
81,3,True,0,9,0,27,1,,,,catch,0,0,,0,0,1.31,,
82,3,True,0,9,0,21,1,,,,catch,0,0,,0,0,1.23,,
83,3,True,0,8,0,25,1,,,,catch,0,0,,0,0,1.14,,
84,3,True,1,8,1,17,1,,,,catch,0,0,,0,0,1.2,,
85,3,True,0,7,0,28,1,,,,catch,0,0,,0,0,1.38,,
86,3,True,1,7,1,32,1,,,,catch,0,0,,0,0,1.37,,
