trialNumber,block,staircase,wherelarger,dotdifference,int1,cj1,cor1,int2,cj2,cor2,trialType,whichAdvisor,whereChoice,advAnswer,advCorrect,advConfidence,rt1,rt2,ctcTime
1,1,True,1,15,1,8,1,,,,catch,0,0,,0,0,7.97,,
2,1,True,1,15,0,13,0,,,,catch,0,0,,0,0,2.86,,
3,1,True,1,15,0,19,0,,,,catch,0,0,,0,0,3.52,,
4,1,True,0,15,0,19,1,,,,catch,0,0,,0,0,2.31,,
5,1,True,1,15,0,22,0,,,,catch,0,0,,0,0,2.07,,
6,1,True,1,15,0,26,0,,,,catch,0,0,,0,0,2.29,,
7,1,True,1,15,1,11,1,,,,catch,0,0,,0,0,1.69,,
8,1,True,1,15,0,5,0,,,,catch,0,0,,0,0,2.86,,
9,1,True,0,15,0,9,1,,,,catch,0,0,,0,0,1.55,,
10,1,True,1,15,0,10,0,,,,catch,0,0,,0,0,1.63,,
11,1,True,1,15,0,5,0,,,,catch,0,0,,0,0,1.84,,
12,1,True,0,15,1,7,0,,,,catch,0,0,,0,0,1.74,,
13,1,True,1,15,0,6,0,,,,catch,0,0,,0,0,2.56,,
14,1,True,1,15,0,6,0,,,,catch,0,0,,0,0,2.16,,
15,1,True,0,15,0,11,1,,,,catch,0,0,,0,0,2.52,,
16,1,True,1,15,0,9,0,,,,catch,0,0,,0,0,37.06,,
17,1,True,1,15,1,10,1,,,,catch,0,0,,0,0,1.51,,
18,1,True,1,15,0,14,0,,,,catch,0,0,,0,0,1.59,,
19,1,True,1,15,0,17,0,,,,catch,0,0,,0,0,1.79,,
20,1,True,0,15,0,8,1,,,,catch,0,0,,0,0,1.46,,
21,1,True,1,15,1,6,1,,,,catch,0,0,,0,0,1.46,,
22,1,True,1,14,0,3,0,,,,catch,0,0,,0,0,1.66,,
23,1,True,1,15,0,13,0,,,,catch,0,0,,0,0,1.69,,
24,1,True,1,15,0,15,0,,,,catch,0,0,,0,0,1.6,,
25,1,True,1,15,1,8,1,,,,catch,0,0,,0,0,1.49,,
26,1,True,1,15,0,8,0,,,,catch,0,0,,0,0,2.72,,
27,1,True,0,15,0,7,1,,,,catch,0,0,,0,0,1.26,,
28,1,True,0,15,0,8,1,,,,catch,0,0,,0,0,1.76,,
29,1,True,1,14,0,11,0,,,,catch,0,0,,0,0,77.64,,
30,1,True,0,15,0,16,1,,,,catch,0,0,,0,0,1.36,,
31,2,True,0,15,1,6,0,,,,catch,0,0,,0,0,1.97,,
32,2,True,0,15,0,20,1,,,,catch,0,0,,0,0,2.07,,
33,2,True,0,15,0,27,1,,,,catch,0,0,,0,0,1.62,,
34,2,True,0,14,0,9,1,,,,catch,0,0,,0,0,1.69,,
35,2,True,0,14,1,14,0,,,,catch,0,0,,0,0,1.61,,
36,2,True,0,15,0,10,1,,,,catch,0,0,,0,0,2.67,,
37,2,True,0,15,0,23,1,,,,catch,0,0,,0,0,1.64,,
38,2,True,1,14,0,26,0,,,,catch,0,0,,0,0,2.27,,
39,2,True,1,15,1,12,1,,,,catch,0,0,,0,0,1.71,,
40,2,True,1,15,0,7,0,,,,catch,0,0,,0,0,1.32,,
41,2,True,1,15,1,9,1,,,,catch,0,0,,0,0,1.92,,
42,2,True,0,15,0,14,1,,,,catch,0,0,,0,0,1.68,,
43,2,True,1,14,0,8,0,,,,catch,0,0,,0,0,1.63,,
44,2,True,1,15,0,19,0,,,,catch,0,0,,0,0,1.88,,
45,2,True,1,15,1,5,1,,,,catch,0,0,,0,0,1.12,,
46,2,True,1,15,0,15,0,,,,catch,0,0,,0,0,40.46,,
47,2,True,1,15,1,11,1,,,,catch,0,0,,0,0,7.52,,
48,2,True,1,15,0,5,0,,,,catch,0,0,,0,0,1.51,,
49,2,True,0,15,0,6,1,,,,catch,0,0,,0,0,2.04,,
50,2,True,1,15,1,9,1,,,,catch,0,0,,0,0,1.91,,
51,2,True,0,14,0,8,1,,,,catch,0,0,,0,0,1.41,,
52,2,True,1,14,0,12,0,,,,catch,0,0,,0,0,1.38,,
53,2,True,0,15,0,8,1,,,,catch,0,0,,0,0,1.34,,
54,2,True,1,15,0,12,0,,,,catch,0,0,,0,0,1.41,,
55,2,True,0,15,1,5,0,,,,catch,0,0,,0,0,1.57,,
56,2,True,0,15,0,13,1,,,,catch,0,0,,0,0,1.59,,
57,2,True,1,15,0,18,0,,,,catch,0,0,,0,0,1.57,,
58,2,True,1,15,1,6,1,,,,catch,0,0,,0,0,2.67,,
59,2,True,0,15,0,9,1,,,,catch,0,0,,0,0,1.36,,
60,2,True,0,14,0,5,1,,,,catch,0,0,,0,0,6.46,,
61,3,True,1,14,1,5,1,,,,catch,0,0,,0,0,1.47,,
62,3,True,1,13,1,10,1,,,,catch,0,0,,0,0,1.38,,
63,3,True,1,13,0,7,0,,,,catch,0,0,,0,0,0.92,,
64,3,True,1,14,1,5,1,,,,catch,0,0,,0,0,1.11,,
65,3,True,0,14,0,11,1,,,,catch,0,0,,0,0,1.83,,
66,3,True,0,13,0,17,1,,,,catch,0,0,,0,0,1.31,,
67,3,True,1,13,1,22,1,,,,catch,0,0,,0,0,2.44,,
68,3,True,0,12,1,22,0,,,,catch,0,0,,0,0,1.49,,
69,3,True,1,13,0,16,0,,,,catch,0,0,,0,0,1.72,,
70,3,True,1,14,1,19,1,,,,catch,0,0,,0,0,4.47,,
71,3,True,0,14,1,20,0,,,,catch,0,0,,0,0,1.84,,
72,3,True,0,15,1,10,0,,,,catch,0,0,,0,0,3.61,,
73,3,True,1,15,1,9,1,,,,catch,0,0,,0,0,1.49,,
74,3,True,1,15,1,9,1,,,,catch,0,0,,0,0,1.56,,
75,3,True,0,14,0,16,1,,,,catch,0,0,,0,0,1.79,,
76,3,True,1,14,1,10,1,,,,catch,0,0,,0,0,1.41,,
77,3,True,0,13,0,19,1,,,,catch,0,0,,0,0,1.39,,
78,3,True,0,13,0,16,1,,,,catch,0,0,,0,0,1.49,,
79,3,True,1,12,0,22,0,,,,catch,0,0,,0,0,1.71,,
80,3,True,0,13,0,20,1,,,,catch,0,0,,0,0,1.69,,
81,3,True,0,13,0,29,1,,,,catch,0,0,,0,0,1.87,,
82,3,True,0,12,0,29,1,,,,catch,0,0,,0,0,1.68,,
83,3,True,0,12,1,5,0,,,,catch,0,0,,0,0,2.92,,
84,3,True,0,13,0,22,1,,,,catch,0,0,,0,0,1.49,,
85,3,True,1,13,0,9,0,,,,catch,0,0,,0,0,2.44,,
86,3,True,1,14,0,16,0,,,,catch,0,0,,0,0,2.11,,
87,3,True,1,15,0,24,0,,,,catch,0,0,,0,0,1.99,,
88,3,True,1,15,0,18,0,,,,catch,0,0,,0,0,2.71,,
89,3,True,1,15,0,20,0,,,,catch,0,0,,0,0,1.43,,
90,3,True,0,15,0,19,1,,,,catch,0,0,,0,0,1.62,,
91,4,False,1,15,1,10,1,0,10,0,choice,2,2,0,0,0,4.84,9.04,13.12
92,4,False,1,15,1,7,1,0,4,0,choice,2,1,0,0,0,2.29,5.83,8.2
93,4,False,0,15,0,11,1,0,18,1,choice,2,1,0,1,0,2.02,2.99,5.62
94,4,False,0,15,0,14,1,0,16,1,force,1,0,0,1,0,1.74,4.81,5.82
95,4,False,0,15,0,5,1,1,8,0,force,2,0,1,0,0,2.92,6.66,7.67
96,4,False,0,15,0,20,1,1,6,0,choice,2,1,1,0,0,1.77,2.53,5.88
97,4,False,0,15,0,28,1,0,29,1,force,2,0,0,1,0,2.09,2.71,3.72
98,4,False,0,15,0,29,1,0,32,1,force,1,0,0,1,0,1.57,3.43,4.43
